Name,Type,Breed,Color,Sex,Size,Date Of Birth,Impound Number,Kennel Number,Animal ID,Intake Date,Outcome Date,Days in Shelter,Intake Type,Intake Subtype,Outcome Type,Outcome Subtype,Intake Condition,Outcome Condition,Intake Jurisdiction,Outcome Jurisdiction,Outcome Zip Code,Location,Count
KAGE,DOG,LABRADOR RETR/MIX,BLACK,Neutered,LARGE,10/22/2017,K19-034215,DS83,A393258,10/22/2019,10/23/2019,1,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_IDTAG,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,95124,"95124(37.257218, -121.922723)",1
NINA,DOG,PIT BULL/MIX,FAWN/WHITE,Female,SMALL,05/24/2019,K19-034199,DS91,A393232,10/22/2019,10/24/2019,2,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_CALL,UNKNOWN,PENDING,COUNTY,SANTA ROSA,95405,"95405(38.439152, -122.672541)",1
LOLA,DOG,GERM SHEPHERD,BLACK/TAN,Spayed,LARGE,12/28/2012,K19-034209,DS79,A381322,10/22/2019,11/08/2019,17,STRAY,OVER THE COUNTER,TRANSFER,HSSC,HEALTHY,HEALTHY,COUNTY,COUNTY,95407,"95407(38.403734, -122.736775)",1
,DOG,PIT BULL,GRAY/WHITE,Female,LARGE,,K19-034202,DS78,A393245,10/22/2019,11/08/2019,17,STRAY,FIELD,TRANSFER,HSSC,HEALTHY,HEALTHY,COUNTY,COUNTY,95407,"95407(38.403734, -122.736775)",1
SHADOW,DOG,GERM SHEPHERD,BLACK/BROWN,Neutered,LARGE,04/10/2018,K19-034213,DQ113,A391838,10/22/2019,11/09/2019,18,ADOPTION RETURN,OVER THE COUNTER,TRANSFER,B A GERMAN,UNKNOWN,PENDING,SANTA ROSA,OUT OF COUNTY,94947,"94947(38.098743, -122.592459)",1
KYLIE,DOG,BEAGLE/PARSON RUSS TER,BROWN/WHITE,Female,SMALL,,K19-034200,DS74,A393233,10/22/2019,10/24/2019,2,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_CALL,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95405,"95405(38.439152, -122.672541)",1
BEAR,DOG,GOLDEN RETR,GOLD,Neutered,LARGE,10/22/2017,K19-034214,DS64,A393257,10/22/2019,10/23/2019,1,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_IDTAG,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,95124,"95124(37.257218, -121.922723)",1
P.J.,DOG,CHIHUAHUA SH/MIX,TAN/WHITE,Male,SMALL,12/17/2015,K19-034207,DS92,A393251,10/22/2019,11/08/2019,17,STRAY,FIELD,TRANSFER,HSSC,HEALTHY,HEALTHY,*WINDSOR,COUNTY,95407,"95407(38.403734, -122.736775)",1
*DAVID,DOG,DUTCH SHEPHERD/MIX,CHOCOLATE/WHITE,Neutered,PUPPY,08/10/2019,K19-034208,DA44,A392177,10/22/2019,10/22/2019,0,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,WALKIN,UNKNOWN,PENDING,COUNTY,COUNTY,95472,"95472(38.394388, -122.850998)",1
*CALVIN,DOG,BORDER COLLIE,BLACK/WHITE,Male,MED,11/07/2018,K19-034239,DS70,A393285,10/23/2019,11/08/2019,16,STRAY,MUN_SHELT,TRANSFER,HSSC,HEALTHY,HEALTHY,COUNTY,COUNTY,95407,"95407(38.403734, -122.736775)",1
JAZZI,DOG,CHIHUAHUA LH,TAN,Spayed,TOY,05/15/2018,K19-034232,DA01,A393279,10/23/2019,11/16/2019,24,STRAY,FIELD,ADOPTION,SCAS WEB,UNKNOWN,PENDING,SANTA ROSA,*WINDSOR,95403,"95403(38.486997, -122.749134)",1
