Name,Type,Breed,Color,Sex,Size,Date Of Birth,Impound Number,Kennel Number,Animal ID,Intake Date,Outcome Date,Days in Shelter,Intake Type,Intake Subtype,Outcome Type,Outcome Subtype,Intake Condition,Outcome Condition,Intake Jurisdiction,Outcome Jurisdiction,Outcome Zip Code,Location,Count,Zip Codes
,CAT,SIAMESE,BLACK/BLACK,Female,KITTN,,K22-042204,CS05,A412797,08/08/2022,08/09/2022,1,STRAY,FIELD,TRANSFER,FORGOTTEN,TREATABLE/REHAB,TREATABLE/REHAB,SANTA ROSA,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1,26076
,CAT,SIAMESE,GRAY/BLACK,Female,KITTN,,K22-042201,CS05,A412794,08/08/2022,08/09/2022,1,STRAY,FIELD,TRANSFER,FORGOTTEN,TREATABLE/REHAB,TREATABLE/REHAB,SANTA ROSA,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1,26076
,CAT,SIAMESE,GRAY/BLACK,Female,KITTN,,K22-042202,CS05,A412795,08/08/2022,08/09/2022,1,STRAY,FIELD,TRANSFER,FORGOTTEN,TREATABLE/REHAB,TREATABLE/REHAB,SANTA ROSA,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1,26076
,CAT,DOMESTIC SH,BLACK,Female,SMALL,12/30/2020,K22-041790,SMM,A412222,06/30/2022,08/10/2022,41,STRAY,FIELD,TRANSFER,WE CARE,UNKNOWN,HEALTHY,COUNTY,OUT OF COUNTY,94574,"94574(38.525993, -122.432854)",1,1166
,CAT,DOMESTIC SH,BLACK,Male,SMALL,08/03/2015,K22-042137,CS06,A412709,08/03/2022,08/09/2022,6,STRAY,OVER THE COUNTER,TRANSFER,FORGOTTEN,UNKNOWN,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1,26076
DIO,DOG,GERM SHEPHERD/MIX,TRICOLOR,Male,LARGE,09/25/2020,K22-042190,DQ117,A412781,08/09/2022,08/09/2022,0,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_CALL,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95401,"95401(38.446019, -122.766748)",1,26075
FLYNT,DOG,PIT BULL,BR BRINDLE/WHITE,Neutered,MED,12/02/2020,K22-041182,,A411219,04/25/2022,,0,STRAY,FIELD,,,UNKNOWN,,SANTA ROSA,,,,1,
,CAT,DOMESTIC SH,ORG TABBY,Unknown,SMALL,,K22-042200,TRUCK,A412793,08/09/2022,08/09/2022,0,STRAY,FIELD,EUTHANIZE,INJ SEVERE,TREATABLE/REHAB,UNTREATABLE,SANTA ROSA,,,,1,
SAGERY,DOG,AUST CATTLE DOG,GRAY/BROWN,Male,MED,10/11/2021,K22-041082,DQ110,A410926,04/11/2022,08/09/2022,120,QUARANTINE,FIELD,RETURN TO OWNER,OVER THE COUNTER_PRVS,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95407,"95407(38.403734, -122.736775)",1,26079
DIAMOND,DOG,PIT BULL,WHITE/TAN,Male,SMALL,08/29/2021,K22-042161,DS95,A412211,08/04/2022,08/09/2022,5,CONFISCATE,FIELD,RETURN TO OWNER,MEDICAL,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95401,"95401(38.446019, -122.766748)",0,26075
,CAT,SIAMESE,BLACK/BLACK,Female,KITTN,,K22-042203,CS05,A412796,08/08/2022,08/09/2022,1,STRAY,FIELD,TRANSFER,FORGOTTEN,TREATABLE/REHAB,TREATABLE/REHAB,SANTA ROSA,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1,26076
,CAT,DOMESTIC SH,BLACK/WHITE,Unknown,SMALL,,K22-042106,CS06,A412664,07/29/2022,08/09/2022,11,STRAY,OVER THE COUNTER,TRANSFER,FORGOTTEN,UNKNOWN,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1,26076
,CAT,SIAMESE,GRAY/BLACK,Female,SMALL,,K22-042177,CS05,A412767,08/08/2022,08/09/2022,1,STRAY,FIELD,TRANSFER,FORGOTTEN,TREATABLE/REHAB,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1,26076
RUPERT,CAT,DOMESTIC LH,BRN TABBY,Unknown,SMALL,,K22-042084,CS06,A412625,07/27/2022,08/09/2022,13,STRAY,PHONE,TRANSFER,FORGOTTEN,UNKNOWN,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1,26076
