"fiscal_year","department","division","program","sub_program","description","revenue_category","adopted_budget","amended_budget","actual_revenue","fund"
"2008","Public Works","Stormwater","N/A","N/A","Non-use Credit","Service Charges","-61600","-61600","-90390.43","Stormwater Utility"
"2008","Public Works","Stormwater","N/A","N/A","General","Capital Contributions","0","0","72010.6","Stormwater Utility"
"2008","Public Works","Stormwater","N/A","N/A","Interest on Investments","Interest, Rents, Fines","0","0","13569.3","Stormwater Utility"
"2008","Public Works","Stormwater","N/A","N/A","Storm Water FEMA Assistance","State & Federal Aids","0","0","423593.52","Stormwater Utility"
"2008","Public Works","Water","N/A","N/A","Connect Charges","Service Charges","0","0","2785","Water Utility"
"2008","Public Works","Water","N/A","N/A","Misc Operating Income","Service Charges","0","0","2061.2","Water Utility"
"2008","Public Works","Wastewater","N/A","N/A","Lateral Contribution","Capital Contributions","0","0","145096.01","Wastewater Utility"
"2008","Public Works","Operations","N/A","N/A","Vehicle Replacement","Service Charges","0","0","928645.84","Vehicle Operation & Maintenance"
"2008","Public Works","Operations","Industrial Waste Disposal","N/A","City Contribution","Other Revenue","0","0","4971.93","Industrial Waste Disposal"
"2008","Public Works","Operations","Solid Waste Disposal","N/A","Resident Demo/Construction","Service Charges","0","0","-4109.65","Sanitation"
"2008","Neighborhood & Community Services","N/A","Rent Assistance","N/A","Fraud Collection","Service Charges","0","0","5203.85","Section 8"
"2008","Neighborhood & Community Services","N/A","Rent Assistance","N/A","Interest on Investments","Interest, Rents, Fines","0","0","7291.8","Section 8"
"2008","Neighborhood & Community Services","N/A","Rent Assistance","N/A","Voucher Admin Portability","Service Charges","0","0","2000.74","Section 8"
"2008","Neighborhood & Community Services","N/A","WRRP Revolving","N/A","Interest on Investments","Interest, Rents, Fines","0","0","6592.4","Other Housing Grants"
"2008","Neighborhood & Community Services","N/A","WRRP Revolving","N/A","WRRP Revolving","Service Charges","0","0","3731.5","Other Housing Grants"
"2008","Neighborhood & Community Services","N/A","Historic Publication Sales","N/A","Interest on Investments","Interest, Rents, Fines","0","0","85.8","Other Housing Grants"
"2008","Neighborhood & Community Services","N/A","Housing Cost Reduction Initiativ","N/A","Interest on Investments","Interest, Rents, Fines","0","0","49.5","Other Housing Grants"
"2008","Neighborhood & Community Services","N/A","Rental Energy Rehab Program","N/A","Interest on Investments","Interest, Rents, Fines","0","0","317.7","Other Housing Grants"
"2008","Neighborhood & Community Services","N/A","Rental Energy Rehab Program","N/A","Rental Energy","Service Charges","0","0","2797.24","Other Housing Grants"
"2008","Neighborhood & Community Services","N/A","Owners Match","N/A","Owners Escrow","Service Charges","0","0","138.5","Other Housing Grants"
"2008","Neighborhood & Community Services","N/A","Owners Match","N/A","Owners Match","Service Charges","0","0","476","Other Housing Grants"
"2008","Neighborhood & Community Services","N/A","Owners Match","N/A","Owners Match Rental Rehab","Service Charges","0","0","5000","Other Housing Grants"
"2008","Neighborhood & Community Services","N/A","Housing & Home Ownership","N/A","Local Home Ownership Revolving","Service Charges","0","0","51448.48","CDA Block Grant"
"2008","Neighborhood & Community Services","N/A","Neighborhood Activities","N/A","Neigh - Neigh Action Teams","State & Federal Aids","0","0","933.03","CDA Block Grant"
"2008","Administrative Services","N/A","Insurance","N/A","Health Insurance Reimbursement","Other Revenue","0","0","43786.29","Insurance"
"2008","N/A","N/A","N/A","N/A","Adult Entertainment","License","0","0","150","General Fund"
"2008","N/A","N/A","N/A","N/A","Bail Receipts","Interest, Rents, Fines","0","0","462.9","General Fund"
"2008","N/A","N/A","N/A","N/A","Bike License","License","0","0","213","General Fund"
"2008","N/A","N/A","N/A","N/A","Bowling Alley License","License","0","0","1280","General Fund"
"2008","N/A","N/A","N/A","N/A","Cat License","License","0","0","5314.25","General Fund"
"2008","N/A","N/A","N/A","N/A","Copies","Other Revenue","0","0","1361.74","General Fund"
"2008","N/A","N/A","N/A","N/A","Direct Seller","License","0","0","1300","General Fund"
"2008","N/A","N/A","N/A","N/A","Donations","Other Revenue","0","0","10000","General Fund"
"2008","N/A","N/A","N/A","N/A","Fireworks Stand License","License","0","0","2525","General Fund"
"2008","N/A","N/A","N/A","N/A","Late Fees/Penalties","Interest, Rents, Fines","0","0","25604.03","General Fund"
"2008","N/A","N/A","N/A","N/A","Massage Parlor","License","0","0","600","General Fund"
"2008","N/A","N/A","N/A","N/A","Nuisance Reinspection Charge","Other Revenue","0","0","450","General Fund"
"2008","N/A","N/A","N/A","N/A","Roller Rink","License","0","0","50","General Fund"
"2008","N/A","N/A","N/A","N/A","Rooming House","License","0","0","150","General Fund"
"2008","N/A","N/A","N/A","N/A","Salvage Dealer","License","0","0","600","General Fund"
"2008","N/A","N/A","N/A","N/A","Second Hand Dealer","License","0","0","1257.8","General Fund"
"2008","N/A","N/A","N/A","N/A","Sign Erector","License","0","0","1735","General Fund"
"2008","N/A","N/A","N/A","N/A","Taxi","License","0","0","320","General Fund"
"2008","N/A","N/A","N/A","N/A","Theater","License","0","0","140","General Fund"
"2008","N/A","N/A","N/A","N/A","Waste Hauler","License","0","0","2275","General Fund"
"2008","Police","N/A","N/A","N/A","Police Copies","Service Charges","0","0","5689.53","General Fund"
"2008","Police","N/A","N/A","N/A","Police Other","Service Charges","0","0","1344.19","General Fund"
"2008","Police","N/A","N/A","N/A","Witness Fees","Service Charges","0","0","275.12","General Fund"
"2008","Fire","N/A","N/A","N/A","State Aid - Fire Inspections","State & Federal Aids","0","0","119116.68","General Fund"
"2008","Public Works","N/A","N/A","N/A","Bid Deposits","Service Charges","0","0","8860","General Fund"
"2008","Public Works","N/A","N/A","N/A","Code Books & Maps","Service Charges","0","0","461.51","General Fund"
"2008","Leisure Services","Recreation","Senior Center","N/A","Mailing Fees","Service Charges","0","0","285.3","General Fund"
"2008","Leisure Services","Recreation","Senior Center","N/A","Senior Recreation Trips","Service Charges","0","0","3930.1","General Fund"
"2008","Leisure Services","Recreation","Recreation Admin","N/A","City Promotional Sales","Service Charges","0","0","65.7","General Fund"
"2008","Leisure Services","Recreation","Recreation Admin","N/A","Co-Sponsored Programs","Service Charges","0","0","11753.55","General Fund"
"2008","Leisure Services","Recreation","Recreation Admin","N/A","Family Programming","Service Charges","0","0","14849.4","General Fund"
"2008","Leisure Services","Recreation","Recreation Admin","N/A","Permits","Service Charges","0","0","115.64","General Fund"
"2008","Leisure Services","Recreation","Youth Programs","N/A","Kids Count Camp 1/2 Day","Service Charges","0","0","8293.84","General Fund"
"2008","Leisure Services","Recreation","Adult Programs","N/A","Lessons","Service Charges","0","0","330","General Fund"
"2008","Leisure Services","Recreation","Aquatics","N/A","Rockport Facility Rental","Service Charges","0","0","1227.96","General Fund"
"2008","Community & Economic Development","Community Development","Building and Development","N/A","Bldg Permit - Alteration/Addtn","Permits","0","67440","19482.19","General Fund"
"2008","Community & Economic Development","Community Development","Building and Development","N/A","Building- Garage/Accessory","Permits","0","6430","4750","General Fund"
