"measure_name","fiscal_year","data_type","measure_value","measure_target","benchmark_value"
"Homeless Census - Unsheltered","2009-01-01T00:00:00.000","ACTUAL","803",,
"Homeless Census - Sheltered","2009-01-01T00:00:00.000","ACTUAL","993",,
"Homeless Census - Unsheltered","2011-01-01T00:00:00.000","ACTUAL","1162",,
"Homeless Census - Sheltered","2011-01-01T00:00:00.000","ACTUAL","982",,
"Homeless Census - Unsheltered","2013-01-01T00:00:00.000","ACTUAL","1299",,
"Homeless Census - Sheltered","2013-01-01T00:00:00.000","ACTUAL","987",,
"Homeless Census - Unsheltered","2015-01-01T00:00:00.000","ACTUAL","775",,
"Homeless Census - Sheltered","2015-01-01T00:00:00.000","ACTUAL","708",,
"Homeless Census - Unsheltered","2017-01-01T00:00:00.000","ACTUAL","637",,
"Homeless Census - Sheltered","2017-01-01T00:00:00.000","ACTUAL","616",,
"Homeless Census - Unsheltered","2019-01-01T00:00:00.000","ACTUAL","901",,
"Homeless Census - Sheltered","2019-01-01T00:00:00.000","ACTUAL","611",,
