"job_class_code","title","hourly_a","hourly_b","hourly_c","hourly_d","hourly_e","hourly_f","biweekly_a","biweekly_b","biweekly_c","biweekly_d","biweekly_e","biweekly_f","monthly_a","monthly_b","monthly_c","monthly_d","monthly_e","monthly_f","representation_status_bargaining_unit","pre_employment_physical","security_clearance","probation_period_hours","work_group","dmv_a_and_d_testing","dmv_a_and_d_testing_some_positions_in_class","tuberculosis_exam","respiratory_exam","exit_exam","hepatitis_b_immunization","auditory_exam","mmr"
"B050","Communicable Disease Investigator - Unclassified","35.28","37.28","39.41","41.69","44.08",,"2822.40","2982.40","3152.80","3335.20","3526.40",,"6115.08","6461.74","6830.94","7226.13","7640.39",,"AFSCME: Inspection & Regulation(A02)","2 - Moderate Physical Demands; requires pre-employment exam (Physical Exam Codes)",,"0","Work Group 1: FLSA - OT Paid or Comp Time",,,"Yes","Yes",,"Yes",,"Yes"
"B133","Communications Dispatcher I - Unclassified",,,"37.53","39.69","41.95",,,,"3002.40","3175.20","3356.00",,,,"6505.07","6879.47","7271.19",,"AFSCME:Comm Dispatch(E10)","2 - Moderate Physical Demands; requires pre-employment exam (Physical Exam Codes)",,"0","Work Group 1: FLSA - OT Paid or Comp Time",,,,,"Yes","Yes","Yes",
"B162","Assistant Public Safety Communications Manager-Unclassified","63.04","66.64","70.49","74.52","78.81",,"5043.20","5331.20","5639.20","5961.60","6304.80",,"10926.72","11550.71","12218.03","12916.55","13660.14",,"Management: General(M50B)","1 - Light Physical Demands (Physical Exam Codes)",,"2080","Work Group 4: Not FLSA - Only Comp Time/Max 260",,,,,"Yes","Yes","Yes",
"D062","Communications Program Services Manager","57.17","60.45","63.92","67.60","71.45",,"4573.60","4836.00","5113.60","5408.00","5716.00",,"9909.28","10477.80","11079.25","11717.11","12384.43",,"Management: Comm Dispatch(M50H)","1 - Light Physical Demands (Physical Exam Codes)",,"2080","Work Group 4: Not FLSA - Only Comp Time/Max 260",,,,,"Yes","Yes","Yes",
"D063","Supervising Communications Dispatcher","51.87","54.83","57.98","61.31","64.83",,"4149.60","4386.40","4638.40","4904.80","5186.40",,"8990.63","9503.68","10049.67","10626.86","11236.98",,"Management: Comm Dispatch(M50H)","1 - Light Physical Demands (Physical Exam Codes)",,"2080","Work Group 5: Not FLSA - OT Paid or Comp Time/Max 80 hours",,,,,,"Yes","Yes",
"D065","Public Safety Communications Director - Unclassified","76.61","81.02","85.67","90.58","95.77",,"6128.80","6481.60","6853.60","7246.40","7661.60",,"13278.81","14043.20","14849.18","15700.23","16599.81",,"Management: General(M50B)","1 - Light Physical Demands (Physical Exam Codes)",,"2080","Work Group 4: Not FLSA - Only Comp Time/Max 260",,,,,"Yes","Yes","Yes",
"D089","Assistant Public Safety Communications Director","63.04","66.64","70.49","74.52","78.81",,"5043.20","5331.20","5639.20","5961.60","6304.80",,"10926.72","11550.71","12218.03","12916.55","13660.14",,"Management: General(M50B)","1 - Light Physical Demands (Physical Exam Codes)",,"2080","Work Group 4: Not FLSA - Only Comp Time/Max 260",,,,,"Yes","Yes","Yes",
"D105","Communications Officer","57.17","60.45","63.92","67.60","71.45",,"4573.60","4836.00","5113.60","5408.00","5716.00",,"9909.28","10477.80","11079.25","11717.11","12384.43",,"Management: General(M50B)","1 - Light Physical Demands (Physical Exam Codes)",,"2080","Work Group 4: Not FLSA - Only Comp Time/Max 260",,,,,,,,
"D190","Chief Communications Officer","65.73","69.50","73.50","77.72","82.19",,"5258.40","5560.00","5880.00","6217.60","6575.20",,"11392.98","12046.44","12739.76","13471.21","14245.99",,"Management: General(M50B)","1 - Light Physical Demands (Physical Exam Codes)",,"2080","Work Group 4: Not FLSA - Only Comp Time/Max 260",,,,,,,,
"E054","Retirement Communication Specialist","47.72","50.46","53.34","56.42","59.65",,"3817.60","4036.80","4267.20","4513.60","4772.00",,"8271.31","8746.23","9245.42","9779.28","10339.13",,"SEIU: Accounting & Admin Services(S35)","1 - Light Physical Demands (Physical Exam Codes)",,"1040","Work Group 5: Not FLSA - OT Paid or Comp Time/Max 80 hours",,,,,,,,
