"begin_date","end_date","facility_name","facility_id","eligibility","cost","notes","sponsor","street1","street2","city","state","postal_code","country","location_1","location_1_address","location_1_city","location_1_state","location_1_zip"
"2017-10-29T08:00:00.000","2017-10-29T14:00:00.000","All Souls Church","30",,"0",,"SF Host Lions Club","315 Walnut Ave.",,"South San Francisco","94080","CA","US","POINT (-122.41409 37.656707)","315 Walnut Ave South","San Francisco","CA","94080"
"2016-10-23T08:00:00.000","2016-10-23T14:00:00.000","All Souls Church","30",,"0",,"SF Host Lions Club","315 Walnut Ave.",,"South San Francisco","CA","94080","US","POINT (-122.41409 37.656707)","315 Walnut Ave.","South San Francisco","CA","94080"
"2017-11-04T10:00:00.000","2017-11-04T13:00:00.000","Belmont Library","1","2 years and older","0",,"Stanford Flu Crew","1110 Alameda de las Pulgas",,"Belmont","94002","CA","US","POINT (-122.292788 37.509205)","1110 Alameda","de las Pulgas Belmont","CA","94002"
"2016-11-05T10:00:00.000","2016-11-05T14:00:00.000","Belmont Library","1","2 years and older","0",,"Stanford Flu Crew","1110 Alameda de las Pulgas",,"Belmont","CA","94002","US","POINT (-122.292788 37.509205)","1110 Alameda de las Pulgas","Belmont","CA","94002"
"2017-11-02T16:00:00.000","2017-11-02T19:00:00.000","Coastside Hope","14",,"0",,"SMC Health System","99 Avenue Alhambra",,"El Granada","94018","CA","US","POINT (-122.461004 37.654879)","99 Avenue","Alhambra El Granada","CA","94018"
"2016-11-03T16:00:00.000","2016-11-03T19:00:00.000","Coastside Hope","14",,"0",,"SMC Health System","99 Avenue Alhambra",,"El Granada","CA","94018","US","POINT (-122.461004 37.654879)","99 Avenue Alhambra","El Granada","CA","94018"
"2017-11-04T08:30:00.000","2017-11-04T10:30:00.000","Coastside Senior Housing","18",,"0",,"SMC Health System","925 Main Street",,"Half Moon Bay","94019","CA","US","POINT (-122.430049 37.45658)","925 Main Street","Half Moon Bay","CA","94019"
"2016-11-05T08:30:00.000","2016-11-05T10:30:00.000","Coastside Senior Housing","18",,"0",,"SMC Health System","925 Main Street",,"Half Moon Bay","CA","94019","US","POINT (-122.430049 37.45658)","925 Main Street","Half Moon Bay","CA","94019"
"2017-11-15T16:00:00.000","2017-11-15T19:00:00.000","Daly City Clinic","10",,"0",,,"380 90th Street","1st Floor","Daly City","94015","CA","US","POINT (-122.474096 37.691126)","380 90th Street","Daly City","CA","94015"
"2017-10-16T16:00:00.000","2017-10-16T19:00:00.000","Daly City Clinic","10",,"0",,,"380 90th Street","1st Floor","Daly City","94015","CA","US","POINT (-122.474096 37.691126)","380 90th Street","Daly City","CA","94015"
"2017-11-27T16:00:00.000","2017-11-27T19:00:00.000","Daly City Clinic","10",,"0",,,"380 90th Street","1st Floor","Daly City","94015","CA","US","POINT (-122.474096 37.691126)","380 90th Street","Daly City","CA","94015"
"2016-12-12T17:30:00.000","2016-12-12T20:00:00.000","Daly City Clinic","10",,"0",,,"380 90th Street","1st Floor","Daly City","CA","94015","US","POINT (-122.474096 37.691126)","380 90th Street","Daly City","CA","94015"
"2016-11-14T17:30:00.000","2016-11-14T20:00:00.000","Daly City Clinic","10",,"0",,,"380 90th Street","1st Floor","Daly City","CA","94015","US","POINT (-122.474096 37.691126)","380 90th Street","Daly City","CA","94015"
"2016-11-12T10:00:00.000","2016-11-12T14:00:00.000","East Palo Alto Library","13","2 years and older","0",,"Stanford Flu Crew","2415 University Avenue","Community Room","East Palo Alto","CA","94303","US","POINT (-122.139556 37.47225)","2415 University Avenue","East Palo Alto","CA","94303"
"2017-11-04T10:00:00.000","2017-11-04T13:00:00.000","Fair Oaks Community Center","25",,"0",,"SMC Health System","2600 Middlefield Rd.",,"Redwood City","94063","CA","US","POINT (-122.212938 37.477693)","2600 Middlefield Rd","Redwood City","CA","94063"
"2016-11-05T10:00:00.000","2016-11-05T14:00:00.000","Fair Oaks Community Center","25",,"0",,"SMC Health System","2600 Middlefield Rd.",,"Redwood City","CA","94063","US","POINT (-122.212938 37.477693)","2600 Middlefield Rd.","Redwood City","CA","94063"
"2017-11-16T09:00:00.000","2017-11-16T13:00:00.000","Foster City Recreation Center","15",,"0",,"Senior Showcase Ã¢ÂÂ SMC Health System","650 Shell Blvd",,"Foster City","94404","CA","US","POINT (-122.268583 37.557044)","650 Shell Blvd","Foster City","CA","94404"
