"id","service_provider","agency_type","parent_agency","comments","contact_phone","zipcode","website","location","location_address","location_city","location_state","location_zip"
"698","SAN MATEO COUNTY LIBRARY BRISBANE","COUNTY","SAN MATEO COUNTY LIBRARY","Library","(415) 467-2060","94005","http://www.smcl.org/en/content/brisbane","POINT (-122.40352628377957 37.682728704466285)","250 VISITACION AVENUE","BRISBANE","CA","94005"
"912","SAN MATEO COUNTY DEPARTMENT OF CHILD SUPPORT SERVICES","COUNTY","SAN MATEO COUNTY DEPARTMENT OF CHILD SUPPORT SERVICES","Handles Problems Related To Child Support, Paternity, And Medical Insurance From An Absent Parent","(866) 901-3212","94063","WWW.SMCDCSS.COM","POINT (-122.22958397010784 37.488601910697554)","555 COUNTY CENTER","REDWOOD CITY","CA","94063"
"697","SAN MATEO COUNTY LIBRARY BELMONT","COUNTY","SAN MATEO COUNTY LIBRARY","Library","(650) 591-8286","94002","http://www.smcl.org/en/content/belmont","POINT (-122.29272980976981 37.50906962060844)","1110 ALAMEDA","DE LAS PULGAS BELMONT","CA","94002"
"750","CHILD WELFARE TEAM","COUNTY","SAN MATEO COUNTY NETWORK OF CARE","Provides Initial Mental Health Assessments To Youth Who Have Been Removed From Their Home And Placed Into Foster Care, Group Home Placement Or Shelter Care","(650) 312-5350","94403",,"POINT (-122.32027604352726 37.54503350856015)","2000 ALAMEDA","DE LAS PULGAS SAN MATEO","CA","94403"
"914","SAN MATEO COUNTY SUPERIOR COURT FAMILY LAW FACILITATORS","COUNTY","SAN MATEO COUNTY SUPERIOR COURT","Assists Those With Child Support Issues Who Do Not Have Attorneys","(650) 363-4590","94080",,"POINT (-122.43599180903732 37.65878875204629)","1050 MISSION ROAD SOUTH","SAN FRANCISCO","CA","94080"
"800","SAN MATEO COUNTY HALF MOON VILLAGE","COUNTY","SAN MATEO COUNTY HOUSING DEPARTMENT","Affordable Residential Locations","(650) 712-0333","94019",,"POINT (-122.42972770605009 37.45744962851756)","9 BLOOM LANE","HALF MOON BAY","CA","94019"
"780","SAN MATEO COUNTY CONTROLLERS OFFICE","COUNTY","SAN MATEO COUNTY CONTROLLERS OFFICE","Provides Financial Services To County Departments, Agencies, Special Districts, Cities, School Districts And Citizens","(650) 363-4777","94063",,"POINT (-122.22958397010784 37.488601910697554)","555 COUNTY CENTER","REDWOOD CITY","CA","94063"
"859","SAN MATEO COUNTY SHERIFFS OFFICE MOSS BEACH SUBSTATION LIVESCAN","COUNTY","SAN MATEO COUNTY SHERIFFS OFFICE","Livescan Fingerprinting Is Electronically Submitted To The Department Of Justice","(650) 573-2801","94063",,"POINT (-122.2301898864619 37.488356290572696)","400 COUNTY CENTER","REDWOOD CITY","CA","94063"
"739","SKYVIEW THERAPEUTIC DAY SCHOOL","COUNTY","SAN MATEO COUNTY NETWORK OF CARE","Program Provides A Special Education And Mental Health Service For Adolescents At Risk Of Failing In School Because Of Social, Emotional And Learning Difficulties","(650) 583-8928","94066",,"POINT (-122.42871662010853 37.610592734431265)","300 PIEDMONT AVENUE","SAN BRUNO","CA","94066"
"789","SAN MATEO COUNTY DISTRICT ATTORNEYS OFFICE REDWOOD CITY BRANCH","COUNTY","SAN MATEO COUNTY DISTRICT ATTORNEYS OFFICE","Services Offered Are Consumer, Environmental, Real Estate Fraud, Criminal, Domestic Violence, Bad Check Restitution Program, Identity Theft, Juvenile, Law Enforcement, Sexual Assault, Statutory Rapre, And Victim Services","(650) 363-4677","94063",,"POINT (-122.2301898864619 37.488356290572696)","400 COUNTY CENTER","REDWOOD CITY","CA","94063"
"761","ARCHWAY REDWOOD CITY","COUNTY","PROBATION SERVICES ANGER MANAGEMENT","Agency Is A Partner In The Countys Criminal Justice System To Contribute To A Safer Communiter, Court Services, Supervision And Treatment Referral","(650) 366-8433","94063",,"POINT (-122.2305686711046 37.49323255967249)","609 PRICE STREET","REDWOOD CITY","CA","94063"
"167","FAMILY SERVICE AGENCY OF SAN MATEO COUNTY","COUNTY","SAN MATEO COUNTY FAMILY SERVICE AGENCY","Provides Children Development And Learning Centers  Email - Info@Fssm.Org","(650) 403-4300","94401","HTTP://WWW.FAMILYSERVICEAGENCY.ORG","POINT (-122.3263546751323 37.56384372717809)","24 SECOND AVENUE","SAN MATEO","CA","94401"
