"jl_code","initiative_name","fiscal_year","number_of_children_aged_0_5","percent_of_the_25","percent_of_the_40","percent_20_families","children_at_risk_for_expulsion","receiving_cpp","families_aged_0_3","of_the_50_families"
"ECHCT","Early Childhood Community Team","FY 15-16 Actual","501","100","88","83","96","87","70","78"
"ECHCT","Early Childhood Community Team","FY 17-18 Target","400","65","80","80","85","80","125","90"
"ECHCT","Early Childhood Community Team","FY 17-18 Actual","381","84","88","100","100","94","162","100"
"ECHCT","Early Childhood Community Team","FY 16-17 Actual","478","90","80","100","92","100","125","91"
"ECHCT","Early Childhood Community Team","FY 16-17 Target","350","60","80","80","85","80","50","90"
"ECHCT","Early Childhood Community Team","FY 15-16 Target","350","15","80","80","85","80","50","90"
"ECHCT","Early Childhood Community Team","FY 18-19 Actual","397","85","90","90","100","100","274","100"
"ECHCT","Early Childhood Community Team","FY 18-19 Target","350","75","80","80","85","80","125","90"
"ECHCT","Early Childhood Community Team","FY 19-20 Actual","406","86","70","70","100","100","179","91"
"ECHCT","Early Childhood Community Team","FY 19-20 Target","400","65","80","80","85","80","175","90"
