"measure_name","fiscal_year","data_type","measure_value","measure_target","benchmark_value"
"Cost per mandatory CalWORKs Employment Services client","FY 2011-12","ACTUAL","2602.00",,
"Cost per mandatory CalWORKs Employment Services client","FY 2012-13","ACTUAL","3242.00",,
"Cost per mandatory CalWORKs Employment Services client","FY 2013-14","ACTUAL","4817.00","4000.00",
"Cost per mandatory CalWORKs Employment Services client","FY 2014-15","ACTUAL","5941.00","5000.00",
"Cost per mandatory CalWORKs Employment Services client","FY 2015-16","ACTUAL","8053.00","5000.00",
"Cost per mandatory CalWORKs Employment Services client","FY 2016-17","ACTUAL","10826.00","5000.00",
"Cost per mandatory CalWORKs Employment Services client","FY 2017-18","ACTUAL","15602.00","8000.00",
"Cost per mandatory CalWORKs Employment Services client","FY 2018-19","ACTUAL","17755.00","8000.00",
"Cost per mandatory CalWORKs Employment Services client","FY 2019-20","TARGET","20000.00","20000.00",
"Cost per mandatory CalWORKs Employment Services client","FY 2020-21","TARGET","20000.00","20000.00",
