"id","service_provider","agency_type","parent_agency","comments","contact_phone","zipcode","website","location","location_address","location_city","location_state","location_zip","location_text"
"859","SAN MATEO COUNTY SHERIFFS OFFICE MOSS BEACH SUBSTATION LIVESCAN","COUNTY","SAN MATEO COUNTY SHERIFFS OFFICE","Livescan Fingerprinting Is Electronically Submitted To The Department Of Justice","(650) 573-2801","94063",,"POINT (-122.2301898864619 37.488356290572696)","400 COUNTY CENTER","REDWOOD CITY","CA","94063","400 COUNTY CENTER
REDWOOD CITY, CA 94063
(37.488356290572696, -122.2301898864619)"
"860","SAN MATEO COUNTY SHERIFFS OFFICE RECORDS BUREAU","COUNTY","SAN MATEO COUNTY SHERIFFS OFFICE","Records Bureau Is The Official Record Keeper For The Sheriffs Office","(650) 363-4525","94063",,"POINT (-122.2301898864619 37.488356290572696)","400 COUNTY CENTER","REDWOOD CITY","CA","94063","400 COUNTY CENTER
REDWOOD CITY, CA 94063
(37.488356290572696, -122.2301898864619)"
"856","SAN MATEO COUNTY SHERIFFS OFFICE","COUNTY","SAN MATEO COUNTY SHERIFFS OFFICE","Sheriffs Office Protects Life And Property, Prevents Crime, Apprehends Criminals, Processes Civil Actions, And Provides Security For Courts, Health Services, County Employees, Samtrans/Caltrain, And Public Visiting County Facilities","(650) 363-4911","94063",,"POINT (-122.2301898864619 37.488356290572696)","400 COUNTY CENTER","REDWOOD CITY","CA","94063","400 COUNTY CENTER
REDWOOD CITY, CA 94063
(37.488356290572696, -122.2301898864619)"
"19","DALY CITY FIRE STATION 91","FIRE STATION","DALY CITY FIRE STATION 91",,,"94015",,"POINT (-122.48540056132708 37.702252985722396)","151 LAKE MERCED BLVD","DALY CITY","CA","94015","151 LAKE MERCED BLVD.
DALY CITY, CA 94015
(37.702252985722396, -122.48540056132708)"
"857","SAN MATEO COUNTY SHERIFFS OFFICE MAGUIRE CORRECTIONAL FACILITY","COUNTY","SAN MATEO COUNTY SHERIFFS OFFICE","Center Provides Incarceration And Rehabilitative Services To Pretrial And Court Sentenced Inmates","(650) 363-4000","94063",,"POINT (-122.23227042020592 37.487702360986965)","300 BRADFORD STREET","REDWOOD CITY","CA","94063","300 BRADFORD STREET
REDWOOD CITY, CA 94063
(37.487702360986965, -122.23227042020592)"
"858","SAN MATEO COUNTY SHERIFFS OFFICE LIVESCAN","COUNTY","SAN MATEO COUNTY SHERIFFS OFFICE","Livescan Fingerprinting Is Electronically Submitted To The Department Of Justice","(650) 599-1570","94063",,"POINT (-122.2301898864619 37.488356290572696)","400 COUNTY CENTER","REDWOOD CITY","CA","94063","400 COUNTY CENTER
REDWOOD CITY, CA 94063
(37.488356290572696, -122.2301898864619)"
"988","DALY CITY FIRE STATION 93","FIRE STATION","DALY CITY FIRE STATION 93","Based On Northcountyfire.Org Data",,"94014",,"POINT (-122.4208234258803 37.70268157102481)","464 MARTIN ST","DALY CITY","CA","94014","464 MARTIN ST.
DALY CITY, CA 94014
(37.70268157102481, -122.4208234258803)"
"994","SAN BRUNO FIRE STATION 51","FIRE STATION","SAN BRUNO FIRE STATION 51","Revision Based On Google Maps",,"94066",,"POINT (-122.4141413313607 37.6248004099706)","555 EL","CAMINO REAL SAN BRUNO","CA","94066","555 EL CAMINO REAL
SAN BRUNO, CA 94066
(37.6248004099706, -122.4141413313607)"
"1371","SOUTH SAN FRANCISCO FIRE STATION 65","FIRE STATION","SOUTH SAN FRANCISCO FIRE STATION 65","Revision Based On Google Maps",,"94080",,"POINT (-122.41791543624839 37.669679541821154)","1151 S SAN FRANCISCO DR SOUTH","SAN FRANCISCO","CA","94080","1151 S. SAN FRANCISCO DR.
SOUTH SAN FRANCISCO, CA 94080
(37.669679541821154, -122.41791543624839)"
"1289","SAN MATEO COUNTY FIRE DEPARTMENT LOMA MAR STA 55","FIRE STATION","SAN MATEO COUNTY FIRE DEPARTMENT LOMA MAR STA 55","37.2742,-122.3011",,"94021",,"POINT (-122.28544697372051 37.28021192089143)","9992 PESCADERO CREEK RD","LOMA MAR UNINC","CA","94021","9992 PESCADERO CREEK RD.
LOMA MAR UNINC, CA 94021
(37.28021192089143, -122.28544697372051)"
"1232","MENLO PARK FIRE PROTECTION DISTRICT STATION 2","FIRE STATION","MENLO PARK FIRE PROTECTION DISTRICT STATION 2",,,"94303",,"POINT (-122.14133793935747 37.4684112716638)","2290 UNIVERSITY AVE EAST","PALO ALTO","CA","94303","2290 UNIVERSITY AVE.
EAST PALO ALTO, CA 94303
(37.4684112716638, -122.14133793935747)"
