"measure_name","fiscal_year","data_type","measure_value","measure_target","benchmark_value"
"Overall satisfaction rated good or better for all VRS services","FY 2011-12","ACTUAL","100",,
"Overall satisfaction rated good or better for all VRS services","FY 2012-13","ACTUAL","93.00",,
"Overall satisfaction rated good or better for all VRS services","FY 2013-14","ACTUAL","91.00","90.0","90.0"
"Overall satisfaction rated good or better for all VRS services","FY 2014-15","ACTUAL","90.0","90.0","90.0"
"Overall satisfaction rated good or better for all VRS services","FY 2015-16","ACTUAL","93.00","90.0","90.0"
"Overall satisfaction rated good or better for all VRS services","FY 2016-17","ACTUAL","92.00","90.0","90.0"
"Overall satisfaction rated good or better for all VRS services","FY 2017-18","ACTUAL","92.00","90.0","90.0"
"Overall satisfaction rated good or better for all VRS services","FY 2018-19","ACTUAL","93.00","90.0","90.0"
"Overall satisfaction rated good or better for all VRS services","FY 2019-20","TARGET","94.00","94.00","90.0"
"Overall satisfaction rated good or better for all VRS services","FY 2020-21","TARGET","95.00","95.00","90.0"
