"name","address","address_2","city","state","zip_code","phone","website","services","open_hours","location1","location1_address","location1_city","location1_state","location1_zip"
"American  Legion Post 409","757 San Mateo Ave",,"San Bruno","CA","94066","(650) 589 3102",,,"2nd Wednesday 7pm","POINT (-122.411334 37.629499)","757 San Mateo Ave","San Bruno","CA","94066"
"American Legion Post 82","130 South Blvd",,"San Mateo ","CA","94402","(650) 345 7388",,,"3rd Thursdays 5pm","POINT (-122.311968 37.554261)","130 South Blvd","San Mateo","CA","94402"
"CVSO Human Service Agency","1487 Huntington Ave",,"South San Francisco","CA","94080","(650) 802-6598","http://hsa.smcgov.org/veterans","Assistance with benefits and claims submission","Thursday 9:00am - 3:30pm","POINT (-122.421913 37.644432)","1487 Huntington Ave South","San Francisco","CA","94080"
"Pacifica Resource Center","1809 Palmetto Drive ",,"Pacifica","CA","94044","(650) 738 7470",,"Serves Areas: Pacifica, North of Devils Slide",,"POINT (-122.492055 37.635073)","1809 Palmetto Drive","Pacifica","CA","94044"
"Veteran Resource Center","795 Willow Rd","Building 323-C","Menlo Park","CA","94025","(650) 566-0240","http://www.vetsresource.org/vrc-next-step.html","Assistance with benefits and claims submission","Tuesday 8:30am-3:00pm","POINT (-122.156885 37.466105)","795 Willow Rd","Menlo Park","CA","94025"
"American legion Post 105","651 El Camino Real",,"Redwood City","CA","94063","(650) 365 1337",,,"2nd Wednesday 7pm","POINT (-122.236873 37.487981)","651 El","Camino Real Redwood City","CA","94063"
"Cañada College","4200 Farm Hill Blvd","Building 9, 2nd floor","Redwood City","CA","94061","(650) 381-3528","http://canadacollege.edu/veterans/index.php","Assistance with benefits and claims submission","Every 1st Wednesday 9:00am - 3:00pm","POINT (-122.260384 37.447061)","4200 Farm Hill Blvd","Redwood City","CA","94061"
"YMCA Community Resource Center","1486 Huntington Ave",,"South San Francisco","CA","94080","(650) 276 4101",,"Serves Areas: South San Francisco, San Bruno, Brisbane ",,"POINT (-122.422096 37.644575)","1486 Huntington Ave South","San Francisco","CA","94080"
"County Veterans Services Office","400 Harbor Blvd","Building B","Belmont","CA","94002","(650) 802-6598","http://hsa.smcgov.org/veterans","Assistance with benefits and claims submission","M-F 8am-5PM","POINT (-122.267839 37.520567)","400 Harbor Blvd","Belmont","CA","94002"
"Fair Oaks Community Center ","2600 Middlefield Road",,"Redwood City","CA","94063","(650) 780 7500",,"Serves Areas: Redwood City, Portola Valley, North Fair Oaks, Woodside, Atherton",,"POINT (-122.212938 37.477693)","2600 Middlefield Road","Redwood City","CA","94063"
"American legion Post 238","555 Buel Rd",,"Pacifica","CA","94044","(650) 355 4346",,,"3rd Thursday 7pm","POINT (-122.492592 37.606246)","555 Buel Rd","Pacifica","CA","94044"
"Skyline College","3300 College Dr","Building 2, Room 2-350","San bruno","CA","94066","(650) 738-7060","http://www.skylinecollege.edu/veterans/","Assistance with benefits and claims submission","Every 3rd Wednesday 9:00am - 3:00pm","POINT (-122.464556 37.63202)","3300 College Dr","San bruno","CA","94066"
"EL Concilio of San Mateo","1798 Bay Road ",,"East Palo Alto","CA","94303","(650) 330 7432",,"Serves Areas: East Palo Alto and Menlo Park",,"POINT (-122.134412 37.471846)","1798 Bay Road East","Palo Alto","CA","94303"
"Coastside Hope","99 Avenue Alhambra",,"El Granada","CA","94019","(650) 726 9071",,"Serves Areas: El Granada, Half Moon Bay, La Honda, Montara, Moss Beach, Pescadero, San Gregorio",,"POINT (-122.480215 37.505239)","99 Avenue","Alhambra El Granada","CA","94019"
"American Legion Post 474","470 Capistrano Rd",,"Half Moon Bay","CA","94019","(650) 728 9224",,,"3rd Tuesday 7pm","POINT (-122.486469 37.505052)","470 Capistrano Rd","Half Moon Bay","CA","94019"
"VA Palo Alto","3801 Miranda Ave","Building 4, 2nd floor","San Carlos","CA","94070","(650) 493-5000","http://www.paloalto.va.gov/","Assistance with benefits and claims submission","Every other Monday 9:00am - 3:00pm",,"3801 Miranda Ave","San Carlos","CA","94070"
"Samaritan House ","4031 Pacific Blvd ",,"San Mateo","CA","94402","(650) 347 3648",,"Serves Areas: San Mateo, Burlingame, Millbrae, Hillsborough, Belmont, San Carlos, Foster City",,"POINT (-122.288398 37.530648)","4031 Pacific Blvd","San Mateo","CA","94402"
"Daly City Community Services Center","350 90th Street",,"Daly City","CA","94015","(650) 991 8007",,"Serves Areas: Daly City, Broadmoor, Colma",,"POINT (-122.473556 37.691122)","350 90th Street","Daly City","CA","94015"
"College of San Mateo","1700 W Hillsdale Blvd","Building 16, Room 150","San mateo","CA","94402","(650) 574-6675","http://collegeofsanmateo.edu/veterans/","Assistance with benefits and claims submission","Every 2nd Wednesday 9:00am - 3:00pm","POINT (-122.33404 37.531674)","1700 W Hillsdale Blvd","San mateo","CA","94402"
"VA San Bruno ","1001 Sneath Lane","Suite 300","San Bruno","CA","94066","(650) 615-6000","http://www.sanfrancisco.va.gov/locations/sanbruno.asp","Assistance with benefits and claims submission","Every other Monday 9:00am - 3:00pm","POINT (-122.425896 37.634683)","1001 Sneath Lane","San Bruno","CA","94066"
"American Legion Post 585","1159 Bush St",,"San Carlos","CA","94070","(650) 595 7998",,,"3rd Tuesday 6pm","POINT (-122.263085 37.508539)","1159 Bush St","San Carlos","CA","94070"
"Peninsula Vet Center","345 Middlefield Rd",,"Menlo Park","CA","94025","(650) 617-4300","http://www.va.gov/directory/guide/facility.asp?ID=5072","Assistance with benefits and claims submission","Every last Friday 9:00am - 3:00pm","POINT (-122.170302 37.457682)","345 Middlefield Rd","Menlo Park","CA","94025"
