"measure_name","fiscal_year","data_type","measure_value","measure_target","benchmark_value"
"Percent of employees meeting the 20 hour annual training requirement","FY 2011-12","ACTUAL","46.00","0","0"
"Percent of employees meeting the 20 hour annual training requirement","FY 2012-13","ACTUAL","50.0","0","0"
"Percent of employees meeting the 20 hour annual training requirement","FY 2013-14","ACTUAL","53.00","60.0","0"
"Percent of employees meeting the 20 hour annual training requirement","FY 2014-15","ACTUAL","74.00","60.0","0"
"Percent of employees meeting the 20 hour annual training requirement","FY 2015-16","ACTUAL","55.00","80.0","0"
"Percent of employees meeting the 20 hour annual training requirement","FY 2016-17","ACTUAL","67.00","90.0","90.0"
"Percent of employees meeting the 20 hour annual training requirement","FY 2017-18","ACTUAL","87.00","90.0","90.0"
"Percent of employees meeting the 20 hour annual training requirement","FY 2018-19","ACTUAL","97.00","90.0","90.0"
"Percent of employees meeting the 20 hour annual training requirement","FY 2019-20","TARGET","90.0","90.0","90.0"
"Percent of employees meeting the 20 hour annual training requirement","FY 2020-21","TARGET","90.0","90.0","90.0"
