"measure_name","fiscal_year","data_type","measure_value","measure_target","benchmark_value"
"Cost per client receiving Vocational Rehabilitation services","FY 2011-12","ACTUAL","3213.00",,
"Cost per client receiving Vocational Rehabilitation services","FY 2012-13","ACTUAL","3306.00",,
"Cost per client receiving Vocational Rehabilitation services","FY 2013-14","ACTUAL","3864.00","3500.00",
"Cost per client receiving Vocational Rehabilitation services","FY 2014-15","ACTUAL","3633.00","3500.00",
"Cost per client receiving Vocational Rehabilitation services","FY 2015-16","ACTUAL","3231.00","3500.00",
"Cost per client receiving Vocational Rehabilitation services","FY 2016-17","ACTUAL","3154.00","3500.00",
"Cost per client receiving Vocational Rehabilitation services","FY 2017-18","ACTUAL","2402.00","4500.00",
"Cost per client receiving Vocational Rehabilitation services","FY 2018-19","ACTUAL","2757.00","4500.00",
"Cost per client receiving Vocational Rehabilitation services","FY 2019-20","TARGET","4500.00","4500.00",
"Cost per client receiving Vocational Rehabilitation services","FY 2020-21","TARGET","4500.00","4500.00",
