"facility_name","address","city","state","zip_code","type_of_facility","units","phone","fax","contact","count","location_1","location_1_address","location_1_city","location_1_state","location_1_zip"
"Newell Avenue Apartments","44-48 Newell Avenue","East Palo Alto","CA","94303","Sr. Housing Apt","26","650-324-2525",,,"1",,"44-48 Newell Avenue","East Palo Alto","CA","94303"
"Pacific Oaks","750 Oddstand Boulevard","Pacifica","CA","94044","Sr. Housing Apt","104","650-359-7559","650-359-8491","Shirley Berardy","1",,"750 Oddstand Boulevard","Pacifica","CA","94044"
"Pescadero Apartments","950 Redwood Shore Parkway","Redwood City","CA","94065","Sr. Housing Apt","170","650-591-6666","650-591-7891","Valerie Waldorf","1",,"950 Redwood Shore Parkway","Redwood City","CA","94065"
"Redwood Oaks Apartments ","330-340 Redwood Avenue","Redwood City","CA","94061","Sr. Housing Apt","36","650-369-2844","650-369-2811","Anira Khoury","1",,"330-340 Redwood Avenue","Redwood City","CA","94061"
"The Gateway ","1121-1385 Willow Road","Menlo Park","CA","94025","Sr. Housing Apt","130","650-323-5615","650-323-8443","Maria Camader","1",,"1121-1385 Willow Road","Menlo Park","CA","94025"
"The Sundial","2154 4th Lane","South San Francisco","CA","94080","Sr. Housing Apt","11","650-616-4570","650-616-4571","Lekisha Sweet","1",,"2154 4th Lane","South San Francisco","CA","94080"
"Willow Terrace","1105-1141 Willow Road","Menlo Park","CA","94025","Sr. Housing Apt","6","650-323-5615","650-323-8443","Maria Camader","1",,"1105-1141 Willow Road","Menlo Park","CA","94025"
"Metro Center Senior Housing","100 Village Lane","Foster City","CA","94404","Sr. Housing Apt","60","650-349-9959","650-650-349-9959","Melissa Boucher","1","POINT (-122.275125 37.558258)","100 Village Lane","Foster City","CA","94404"
"Redwood City Commons","875 Walnut Street","Redwood City","CA","94063","Sr. Housing Apt","58","650-367-8176","650-367-8176","Kathleen Cook","1","POINT (-122.225193 37.485391)","875 Walnut Street","Redwood City","CA","94063"
"Heron Court Cooperative","350 Gunter Lane","Redwood City","CA","94065","Sr. Housing Apt","104","650-593-1915","650-593-0155","Oliva Nelson","1","POINT (-122.253501 37.526454)","350 Gunter Lane","Redwood City","CA","94065"
"Foster's Landing","700 Bounty Drive","Foster City","CA","94404","Sr. Housing Apt","490","650-574-3060","650-650-574-3060","Tom Holman","1","POINT (-122.264173 37.555446)","700 Bounty Drive","Foster City","CA","94404"
"City Centre Plaza","950 Main","Redwood City","CA","94063","Sr. Housing Apt","81","650-261-1750","650-261-9450","Georgette Brown","1","POINT (-122.226166 37.484693)","950 Main","Redwood City","CA","94063"
"Bridgepointe","1987 Bridgepointe Parkway","San Mateo","CA","94404","Sr. Housing Apt","399","650-358-8511","650-358-8516","Leon Kenney","1","POINT (-122.282199 37.562194)","1987 Bridgepointe Parkway","San Mateo","CA","94404"
"Oceana Terrace","903 Oceana Boulevard","Pacifica","CA","94044","Sr. Housing Apt","42","650-359-6161","650-355-0584","Yelena Kogan","1","POINT (-122.490688 37.641497)","903 Oceana Boulevard","Pacifica","CA","94044"
"Runnymede Gardens","2301 Cooley Avenue","East Palo Alto","CA","94303","Sr. Housing Apt","78","650-323-1106","650-650-323-1106","Christina Perez","1","POINT (-122.139424 37.468935)","2301 Cooley Avenue","East Palo Alto","CA","94303"
"Rotary Hacienda ","2700 Hacienda Street","San Mateo","CA","94403","Sr. Housing Apt","81","650-574-1232","650-574-7690","Lester Fontecha","1","POINT (-122.308141 37.540154)","2700 Hacienda Street","San Mateo","CA","94403"
"Cherry Street Apartments","1244 Cherry Street","San Carlos","CA","94070","Sr. Housing Apt","6","650-348-6660","650-348-0284","Yvonne Folsom","1","POINT (-122.260267 37.504793)","1244 Cherry Street","San Carlos","CA","94070"
"Belmont Building","220 East Third Avenue","San Mateo","CA","94401","Sr. Housing Apt","6","650-292-0991",,,"1","POINT (-122.322675 37.565324)","220 East Third Avenue","San Mateo","CA","94401"
"Redwood Plaza","850 Main Street","Redwood City","CA","94063","Sr. Housing Apt","87","650-367-0119",,,"1","POINT (-122.226257 37.485866)","850 Main Street","Redwood City","CA","94063"
"Amberwood Apartments","205 Cerro Drive","Daly City","CA","94015","Sr. Housing Apt","123","650-992-3801","650-992-3805","Edgar Trividad","1","POINT (-122.475546 37.674322)","205 Cerro Drive","Daly City","CA","94015"
"Edgewater Isle","1510 Marina Vista","San Mateo","CA","94404","Sr. Housing Apt","92","650-341-3367","650-341-3450","Cecilia Morphis ","1","POINT (-122.286377 37.554851)","1510 Marina Vista","San Mateo","CA","94404"
"Partridge Kennedy Apartments","817 Partridge Avenue","Menlo Park","CA","94025","Sr. Housing Apt","30","650-324-3160","650-324-3160","Cameron Larsen","1","POINT (-122.177112 37.446628)","817 Partridge Avenue","Menlo Park","CA","94025"
"Treetop Apartments","Skyline at Sharp Park Road","San Bruno","CA","94066","Sr. Housing Apt","308","650-355-9200",,,"1","POINT (-122.464093 37.638777)","Skyline at Sharp Park Road","San Bruno","CA","94066"
"Linden Senior Housing","240 Linden Street","Redwood City","CA","94063","Sr. Housing Apt","38","650-365-1800",,,"1","POINT (-122.219603 37.473632)","240 Linden Street","Redwood City","CA","94063"
"Hillside Terrace","1293 Hillside Boulevard","Daly City","CA","94014","Sr. Housing Apt","18","650-756-6445","650-348-0284","Yvonne Folsom","1","POINT (-122.45894 37.685138)","1293 Hillside Boulevard","Daly City","CA","94014"
"Serramonte Ridge","862 Campus Drive","Daly City","CA","94015","Sr. Housing Apt","396","650-997-0400","650-997-0510","Stephanie Sanchez","1","POINT (-122.476695 37.665741)","862 Campus Drive","Daly City","CA","94015"
"El Dorado Apartments","106 North El Dorado Street","San Mateo","CA","94404","Sr. Housing Apt","6","650-348-6660","650-348-0284","Yvonne Folsom","1","POINT (-122.323596 37.571588)","106 North El Dorado Street","San Mateo","CA","94404"
"Redwood Shores Apartments","850 Davit Lane","Redwood City","CA","94063","Sr. Housing Apt","61","650-591-8906","650-591-3084","Melanie Celis","1","POINT (-122.243846 37.535462)","850 Davit Lane","Redwood City","CA","94063"
"Flores Gardens","2604 Flores Street","San Mateo","CA","94403","Sr. Housing Apt","72","650-341-8092","650-341-3747","Anna Shvets","1","POINT (-122.306695 37.543096)","2604 Flores Street","San Mateo","CA","94403"
"Greenridge","1565 El Camino Real","South San Francisco","CA","94080","Sr. Housing Apt","34","650-616-4570","650-616-4571","Lekisha Sweet","1","POINT (-122.448869 37.66412)","1565 El Camino Real","South San Francisco","CA","94080"
"Vista Grande","6730 Mission Street","Daly City","CA","94014","Sr. Housing Apt","24","650-997-0670","650-997-0676","Faina Tauzhnyanskaya ","1","POINT (-122.463717 37.700536)","6730 Mission Street","Daly City","CA","94014"
"Midway Village","47 Midway Drive","Daly City","CA","94014","Sr. Housing Apt","150","415-467-4240","415-467-4568","Pedro Fonseca","1","POINT (-122.413388 37.702)","47 Midway Drive","Daly City","CA","94014"
"Marymount Greenhills Retirement Center","1201 Broadway","Millbrae","CA","94030","Sr. Housing Apt","159","650-742-9150","650-742-9176","Pooja Sadara","1","POINT (-122.400225 37.607776)","1201 Broadway","Millbrae","CA","94030"
"Willow Gardens","395 Susie Way","South San Francisco","CA","94080","Sr. Housing Apt","8","650-616-4570","650-616-4571","Lekisha Sweet","1","POINT (-122.431126 37.664169)","395 Susie Way","South San Francisco","CA","94080"
"St. Clare Apartments","2683 Marlborough Avenue","Redwood City","CA","94063","Sr. Housing Apt","24","650-556-1992",,,"1","POINT (-122.214986 37.473326)","2683 Marlborough Avenue","Redwood City","CA","94063"
"Villa Fontana","50 East Market Street","Daly City","CA","94014","Sr. Housing Apt","120","650-994-8010","650-994-2765","Regina Revelle","1","POINT (-122.464664 37.689745)","50 East Market Street","Daly City","CA","94014"
"Half Moon Village ","2 Bloom Lane","Half Moon Bay","CA","94019","Sr. Housing Apt","60","415-467-4240","415-467-4568","Pedro Fonseca","1","POINT (-122.430124 37.457388)","2 Bloom Lane","Half Moon Bay","CA","94019"
"Light Tree Apartments","1900 Clarke Avenue","East Palo Alto","CA","94303","Sr. Housing Apt","99","650-328-4700","650-566-1984","Eva Canul","1","POINT (-122.134539 37.457465)","1900 Clarke Avenue","East Palo Alto","CA","94303"
"St. Andrew Senior Community","2070 Sullivan Avenue","Daly City","CA","94015","Sr. Housing Apt","50","650-755-7358","650-755-6445","Christopher Chin","1","POINT (-122.473139 37.676982)","2070 Sullivan Avenue","Daly City","CA","94015"
