"fiscal_year","bureau","office","program","union_group","job_code","job_title","position_id","sum_of_total_comp"
"FY22","1145-Department of Human Rights And Ethics","1002-Human Rights And Ethics (Office)","14940-Human Rights and Ethics","NON-UNION","0263","0263-Director","0004150","147784.00"
"FY22","1145-Department of Human Rights And Ethics","1002-Human Rights And Ethics (Office)","14940-Human Rights and Ethics","NON-UNION","0292","0292-Administrative Analyst II","0008822","62302.62"
"FY22","1145-Department of Human Rights And Ethics","1002-Human Rights And Ethics (Office)","14940-Human Rights and Ethics","NON-UNION","0620","0620-Legislative Coordinator I","0002411","1.00"
"FY22","1145-Department of Human Rights And Ethics","1002-Human Rights And Ethics (Office)","14940-Human Rights and Ethics","NON-UNION","0854","0854-Public Information Officer","0002410","1.00"
"FY22","1145-Department of Human Rights And Ethics","1002-Human Rights And Ethics (Office)","14940-Human Rights and Ethics","NON-UNION","5205","5205-Deputy Director","0006922","109242.00"
"FY22","1145-Department of Human Rights And Ethics","1002-Human Rights And Ethics (Office)","14940-Human Rights and Ethics","NON-UNION","5368","5368-Legal Counsel","0024614","100000.00"
"FY22","1145-Department of Human Rights And Ethics","1002-Human Rights And Ethics (Office)","14940-Human Rights and Ethics","NON-UNION","8753","8753-Investigator - Human Rights & Ethics","0067883","73481.58"
"FY22","1145-Department of Human Rights And Ethics","1002-Human Rights And Ethics (Office)","14940-Human Rights and Ethics","NON-UNION","8753","8753-Investigator - Human Rights & Ethics","0067885","73481.58"
"FY22","1145-Department of Human Rights And Ethics","1002-Human Rights And Ethics (Office)","14940-Human Rights and Ethics","NON-UNION","8753","8753-Investigator - Human Rights & Ethics","0067887","70537.01"
"FY22","1145-Department of Human Rights And Ethics","1002-Human Rights And Ethics (Office)","14940-Human Rights and Ethics","NON-UNION","8753","8753-Investigator - Human Rights & Ethics","0067890","99256.74"
"FY22","1145-Department of Human Rights And Ethics","1002-Human Rights And Ethics (Office)","14940-Human Rights and Ethics","NON-UNION","8769","8769-Community Outreach and Training Coordinator","0065787","79932.32"
"FY22","1145-Department of Human Rights And Ethics","1002-Human Rights And Ethics (Office)","60162-ARPA - Revenue Loss","NON-UNION","5818","5818-Executive Assistant I","0107009","69511.52"
"FY22","1076-Chief Financial Officer","1007-Revenue (Office)","10155-Administration","AFSCME","0153","0153-Property Tax Accountant III","0012748","52355.68"
"FY22","1076-Chief Financial Officer","1007-Revenue (Office)","10155-Administration","NON-UNION","0253","0253-Business Manager III","0012747","76042.72"
"FY22","1076-Chief Financial Officer","1007-Revenue (Office)","10155-Administration","NON-UNION","0263","0263-Director","0000741","153398.00"
"FY22","1076-Chief Financial Officer","1007-Revenue (Office)","10155-Administration","NON-UNION","5205","5205-Deputy Director","0000747","136794.24"
"FY22","1076-Chief Financial Officer","1007-Revenue (Office)","10155-Administration","NON-UNION","5205","5205-Deputy Director","0008198","137716.00"
"FY22","1076-Chief Financial Officer","1007-Revenue (Office)","10155-Administration","NON-UNION","5531","5531-Special Asst for Legal Affairs","0007326","112031.70"
"FY22","1076-Chief Financial Officer","1007-Revenue (Office)","10155-Administration","NON-UNION","5819","5819-Executive Assistant II","0000746","84545.49"
"FY22","1076-Chief Financial Officer","1007-Revenue (Office)","10155-Administration","NON-UNION","6008","6008-Paralegal","0107571","62911.68"
"FY22","1076-Chief Financial Officer","1007-Revenue (Office)","10155-Administration","NON-UNION","7784","7784-Financial Analyst","0047054","65706.50"
"FY22","1076-Chief Financial Officer","1007-Revenue (Office)","10155-Administration","NON-UNION","7784","7784-Financial Analyst","0102026","69164.16"
"FY22","1076-Chief Financial Officer","1007-Revenue (Office)","11880-Collections","AFSCME","5813","5813-Cashier Revenue","0007770","46897.76"
"FY22","1076-Chief Financial Officer","1007-Revenue (Office)","11880-Collections","AFSCME","5813","5813-Cashier Revenue","0007824","48894.56"
"FY22","1076-Chief Financial Officer","1007-Revenue (Office)","11880-Collections","AFSCME","5890","5890-Internal Auditor - Revenue","0007813","72021.04"
"FY22","1076-Chief Financial Officer","1007-Revenue (Office)","11880-Collections","AFSCME","6254","6254-Senior Collections Analyst","0012755","73598.72"
"FY22","1076-Chief Financial Officer","1007-Revenue (Office)","11880-Collections","AFSCME","6279","6279-Collections Analyst","0007772","66743.04"
"FY22","1076-Chief Financial Officer","1007-Revenue (Office)","11880-Collections","AFSCME","6399","6399-Taxpayer Customer Associate","0002630","41181.85"
"FY22","1076-Chief Financial Officer","1007-Revenue (Office)","11880-Collections","AFSCME","6399","6399-Taxpayer Customer Associate","0008199","46897.76"
"FY22","1076-Chief Financial Officer","1007-Revenue (Office)","11880-Collections","AFSCME","6399","6399-Taxpayer Customer Associate","0008200","48324.75"
"FY22","1076-Chief Financial Officer","1007-Revenue (Office)","11880-Collections","AFSCME","6399","6399-Taxpayer Customer Associate","0035060","48894.56"
"FY22","1076-Chief Financial Officer","1007-Revenue (Office)","11880-Collections","NON-UNION","0110","0110-Dir of Financial Control I","0012745","94032.60"
"FY22","1076-Chief Financial Officer","1007-Revenue (Office)","11881-Revenue Recovery Division","AFSCME","6407","6407-Revenue Assessment Analyst II","0008208","82187.04"
"FY22","1076-Chief Financial Officer","1007-Revenue (Office)","11881-Revenue Recovery Division","NON-UNION","8739","8739-Revenue Recovery Mgr","0067382","79932.32"
"FY22","1076-Chief Financial Officer","1007-Revenue (Office)","11881-Revenue Recovery Division","NON-UNION","8740","8740-Revenue Recovery Agent","0067473","48782.24"
"FY22","1076-Chief Financial Officer","1007-Revenue (Office)","15220-Investigations","AFSCME","4830","4830-Investigator I - Revenue","0007542","64022.40"
"FY22","1076-Chief Financial Officer","1007-Revenue (Office)","15220-Investigations","AFSCME","4830","4830-Investigator I - Revenue","0007544","63938.26"
"FY22","1076-Chief Financial Officer","1007-Revenue (Office)","15220-Investigations","AFSCME","4830","4830-Investigator I - Revenue","0007816","62892.99"
"FY22","1076-Chief Financial Officer","1007-Revenue (Office)","15220-Investigations","AFSCME","4830","4830-Investigator I - Revenue","0012739","62960.95"
"FY22","1076-Chief Financial Officer","1007-Revenue (Office)","15220-Investigations","AFSCME","4830","4830-Investigator I - Revenue","0012753","56511.52"
"FY22","1076-Chief Financial Officer","1007-Revenue (Office)","15220-Investigations","AFSCME","4830","4830-Investigator I - Revenue","0106999","54206.88"
"FY22","1076-Chief Financial Officer","1007-Revenue (Office)","15220-Investigations","AFSCME","4830","4830-Investigator I - Revenue","0107834","54206.88"
"FY22","1076-Chief Financial Officer","1007-Revenue (Office)","15220-Investigations","AFSCME","5528","5528-Investigator II-Revenue","0004154","71865.12"
"FY22","1076-Chief Financial Officer","1007-Revenue (Office)","15220-Investigations","AFSCME","5528","5528-Investigator II-Revenue","0007543","74674.08"
"FY22","1076-Chief Financial Officer","1007-Revenue (Office)","15220-Investigations","AFSCME","5528","5528-Investigator II-Revenue","0007815","74674.08"
"FY22","1076-Chief Financial Officer","1007-Revenue (Office)","15220-Investigations","AFSCME","5528","5528-Investigator II-Revenue","0007817","75892.83"
"FY22","1076-Chief Financial Officer","1007-Revenue (Office)","15220-Investigations","AFSCME","5530","5530-Investigator IV-Revenue","0012740","97040.32"
"FY22","1076-Chief Financial Officer","1007-Revenue (Office)","15220-Investigations","AFSCME","5554","5554-Traffic Compliance Admin","0007760","94087.99"
"FY22","1076-Chief Financial Officer","1007-Revenue (Office)","15220-Investigations","AFSCME","5812","5812-Compliance Analyst-Revenue","0007771","75106.17"
"FY22","1076-Chief Financial Officer","1007-Revenue (Office)","15220-Investigations","AFSCME","5891","5891-Investigation Coordinator","0007814","75395.64"
