"hospital_name","facility_id","type_of_service","type_of_insurance","patient_gender","discharged_dead_or_alive","patient_age_group","discharge_year","number_of_discharges","average_length_of_stay","hospital_volume_ranking_2010"
"Adirondack Medical Center-Saranac Lake Site","324","Surgical","Commercial","Female","Discharged Alive","75+","2016","1","4","164"
"Adirondack Medical Center-Saranac Lake Site","324","Medical","Other","Female","Discharged Alive","41-64","2016","2","8","164"
"Adirondack Medical Center-Saranac Lake Site","324","Medical","Medicare","Male","Discharged Dead","41-64","2016","2","2","164"
"Adirondack Medical Center-Saranac Lake Site","324","Surgical","Commercial","Male","Discharged Alive","65-74","2016","7","2.713867188","164"
"Adirondack Medical Center-Saranac Lake Site","324","Medical","Medicare","Female","Discharged Dead","75+","2016","5","5.599609375","164"
"Adirondack Medical Center-Saranac Lake Site","324","Surgical","Commercial","Male","Discharged Alive","13-17","2016","1","8","164"
"Adirondack Medical Center-Saranac Lake Site","324","Medical","Medicare","Female","Discharged Dead","41-64","2016","1","1","164"
"Adirondack Medical Center-Saranac Lake Site","324","Surgical","Commercial","Male","Discharged Alive","41-64","2016","99","3.464355469","164"
"Adirondack Medical Center-Saranac Lake Site","324","Medical","Medicaid","Female","Discharged Alive","41-64","2016","73","6.35546875","164"
"Adirondack Medical Center-Saranac Lake Site","324","Medical","Commercial","Female","Discharged Alive","18-40","2016","88","2.192871094","164"
"Adirondack Medical Center-Saranac Lake Site","324","Medical","Commercial","Female","Discharged Alive","1-12","2016","2","2","164"
"Adirondack Medical Center-Saranac Lake Site","324","Medical","Medicare","Male","Discharged Dead","65-74","2016","2","11.5","164"
"Adirondack Medical Center-Saranac Lake Site","324","Medical","Medicaid","Female","Discharged Alive","1-12","2016","2","1.5","164"
"Adirondack Medical Center-Saranac Lake Site","324","Surgical","Medicare","Male","Discharged Alive","41-64","2016","25","5.83984375","164"
"Adirondack Medical Center-Saranac Lake Site","324","Medical","Medicaid","Male","Discharged Alive","41-64","2016","39","3.794433594","164"
"Adirondack Medical Center-Saranac Lake Site","324","Surgical","Commercial","Male","Discharged Alive","1-12","2016","1","4","164"
"Adirondack Medical Center-Saranac Lake Site","324","Medical","Medicaid","Female","Discharged Alive","18-40","2016","66","2.923828125","164"
"Adirondack Medical Center-Saranac Lake Site","324","Surgical","Medicaid","Male","Discharged Alive","1-12","2016","1","4","164"
"Adirondack Medical Center-Saranac Lake Site","324","Medical","Commercial","Male","Discharged Alive","41-64","2016","73","3.068359375","164"
"Adirondack Medical Center-Saranac Lake Site","324","Medical","Medicare","Female","Discharged Alive","65-74","2016","86","7.801757813","164"
"Adirondack Medical Center-Saranac Lake Site","324","Surgical","Medicaid","Female","Discharged Alive","13-17","2016","1","2","164"
"Adirondack Medical Center-Saranac Lake Site","324","Medical","Other","Male","Discharged Alive","75+","2016","1","3","164"
"Adirondack Medical Center-Saranac Lake Site","324","Surgical","Medicare","Female","Discharged Alive","18-40","2016","6","6.833007813","164"
"Adirondack Medical Center-Saranac Lake Site","324","Medical","Commercial","Male","Discharged Alive","65-74","2016","6","11.5","164"
"Adirondack Medical Center-Saranac Lake Site","324","Medical","Medicare","Male","Discharged Dead","75+","2016","4","6.5","164"
"Adirondack Medical Center-Saranac Lake Site","324","Surgical","Commercial","Male","Discharged Dead","65-74","2016","2","18","164"
"Adirondack Medical Center-Saranac Lake Site","324","Surgical","Medicare","Female","Discharged Alive","65-74","2016","66","4.317382813","164"
"Adirondack Medical Center-Saranac Lake Site","324","Surgical","Other","Male","Discharged Alive","18-40","2016","1","6","164"
"Adirondack Medical Center-Saranac Lake Site","324","Medical","Commercial","Female","Discharged Alive","13-17","2016","1","4","164"
"Adirondack Medical Center-Saranac Lake Site","324","Medical","Other","Male","Discharged Dead","75+","2016","1","2","164"
"Adirondack Medical Center-Saranac Lake Site","324","Medical","Medicare","Female","Discharged Alive","18-40","2016","9","3.77734375","164"
"Adirondack Medical Center-Saranac Lake Site","324","Medical","Medicare","Male","Discharged Alive","18-40","2016","4","3.5","164"
"Adirondack Medical Center-Saranac Lake Site","324","Surgical","Medicare","Female","Discharged Dead","41-64","2016","1","8","164"
"Adirondack Medical Center-Saranac Lake Site","324","Medical","Other","Male","Discharged Alive","0","2016","1","3","164"
"Adirondack Medical Center-Saranac Lake Site","324","Medical","Commercial","Male","Discharged Alive","18-40","2016","27","3.481445313","164"
"Adirondack Medical Center-Saranac Lake Site","324","Medical","Medicare","Female","Discharged Alive","41-64","2016","67","5.23828125","164"
"Adirondack Medical Center-Saranac Lake Site","324","Medical","Medicaid","Male","Discharged Alive","13-17","2016","2","1.5","164"
"Adirondack Medical Center-Saranac Lake Site","324","Surgical","Medicare","Female","Discharged Dead","65-74","2016","3","3.666503906","164"
"Adirondack Medical Center-Saranac Lake Site","324","Surgical","Medicaid","Male","Discharged Alive","41-64","2016","31","4.612304688","164"
"Adirondack Medical Center-Saranac Lake Site","324","Surgical","Medicare","Female","Discharged Alive","75+","2016","70","4.599609375","164"
"Adirondack Medical Center-Saranac Lake Site","324","Medical","Commercial","Male","Discharged Alive","0","2016","53","2.037597656","164"
"Adirondack Medical Center-Saranac Lake Site","324","Medical","Commercial","Male","Discharged Alive","75+","2016","3","2.666503906","164"
"Adirondack Medical Center-Saranac Lake Site","324","Medical","Commercial","Female","Discharged Alive","0","2016","46","2.064941406","164"
"Adirondack Medical Center-Saranac Lake Site","324","Medical","Medicare","Female","Discharged Alive","75+","2016","159","5.709960938","164"
"Adirondack Medical Center-Saranac Lake Site","324","Medical","Commercial","Male","Discharged Dead","65-74","2016","1","2","164"
"Adirondack Medical Center-Saranac Lake Site","324","Medical","Commercial","Male","Discharged Alive","1-12","2016","4","1.5","164"
"Adirondack Medical Center-Saranac Lake Site","324","Surgical","Other","Male","Discharged Alive","41-64","2016","3","5.666015625","164"
