"year","birth_defect_name","sex","residence","birth_defect_count","live_births","prevalence"
"1992","Anencephaly","All","All","21","287481","0.73"
"1992","Anophthalmia/microphthalmia","All","All","42","287481","1.46"
"1992","Anotia/microtia","All","All","40","287481","1.39"
"1992","Aortic valve stenosis","All","All","45","287481","1.57"
"1992","Atrial septal defect","All","All","419","287481","14.57"
"1992","Atrioventricular septal defect (endocardial cushion defect)","All","All","92","287481","3.20"
"1992","Biliary atresia","All","All","37","287481","1.29"
"1992","Bladder exstrophy","All","All","8","287481","0.28"
"1992","Choanal atresia","All","All","72","287481","2.50"
"1992","Cleft lip alone (without cleft palate)","All","All","68","287481","2.37"
"1992","Cleft lip with cleft palate","All","All","167","287481","5.81"
"1992","Cleft palate alone (without cleft lip)","All","All","152","287481","5.29"
"1992","Clubfoot","All","All","383","287481","13.32"
"1992","Coarctation of aorta","All","All","109","287481","3.79"
"1992","Common truncus (truncus arteriosus or TA)","All","All","30","287481","1.04"
"1992","Congenital cataract","All","All","57","287481","1.98"
"1992","Craniosynostosis","All","All","123","287481","4.28"
"1992","Dextro-Transposition of great arteries (d-TGA)","All","All","24","287481","0.83"
"1992","Diaphragmatic hernia","All","All","64","287481","2.23"
"1992","Double outlet right ventricle (DORV)","All","All","74","287481","2.57"
"1992","Ebstein anomaly","All","All","6","287481","0.21"
"1992","Encephalocele","All","All","35","287481","1.22"
"1992","Esophageal atresia/tracheoesophageal fistula","All","All","85","287481","2.96"
"1992","Gastroschisis","All","All","36","287481","1.25"
"1992","Holoprosencephaly","All","All","13","287481","0.45"
"1992","Hypoplastic left heart syndrome","All","All","54","287481","1.88"
"1992","Interrupted aortic arch (IAA)","All","All","20","287481","0.70"
"1992","Limb deficiencies (reduction defects)","All","All","127","287481","4.42"
"1992","Omphalocele","All","All","42","287481","1.46"
"1992","Pulmonary valve atresia","All","All","32","287481","1.11"
"1992","Pulmonary valve atresia and stenosis","All","All","258","287481","8.97"
"1992","Rectal and large intestinal atresia/stenosis","All","All","122","287481","4.24"
"1992","Renal agenesis/hypoplasia","All","All","86","287481","2.99"
"1992","Single ventricle","All","All","32","287481","1.11"
"1992","Small intestinal atresia/stenosis","All","All","102","287481","3.55"
"1992","Spina bifida without anencephaly","All","All","112","287481","3.90"
"1992","Tetralogy of Fallot (TOF)","All","All","148","287481","5.15"
"1992","Total anomalous pulmonary venous connection (TAPVC)","All","All","27","287481","0.94"
"1992","Transposition of the great arteries (TGA)","All","All","30","287481","1.04"
"1992","Tricuspid valve atresia and stenosis","All","All","31","287481","1.08"
"1992","Trisomy 13","All","All","26","287481","0.90"
"1992","Trisomy 18","All","All","39","287481","1.36"
"1992","Trisomy 21 (Down Syndrome)","All","All","325","287481","11.31"
"1992","Ventricular septal defect","All","All","1008","287481","35.06"
"1993","Anencephaly","All","All","25","282326","0.89"
"1993","Anophthalmia/microphthalmia","All","All","39","282326","1.38"
"1993","Anotia/microtia","All","All","30","282326","1.06"
"1993","Aortic valve stenosis","All","All","38","282326","1.35"
"1993","Atrial septal defect","All","All","561","282326","19.87"
"1993","Atrioventricular septal defect (endocardial cushion defect)","All","All","120","282326","4.25"
"1993","Biliary atresia","All","All","35","282326","1.24"
"1993","Bladder exstrophy","All","All","10","282326","0.35"
"1993","Choanal atresia","All","All","55","282326","1.95"
"1993","Cleft lip alone (without cleft palate)","All","All","68","282326","2.41"
