"year","pfi","county","region","maternity_facility","total_births","infants_2000_gm","adj_births","total_infants_vaccinated","infants_vaccinated1"
"2015","324","Franklin","CDRO","Adirondack Medical Center","184","0","184","162","88"
"2015","1","Albany","CDRO","Albany Medical Center Hospital","2081","247","1834","1530","83.42"
"2015","325","Franklin","CDRO","Alice Hyde Medical Center","229","1","228","202","88.60"
"2015","116","Chemung","WRO","Arnot Ogden Medical Center","1360","55","1305","1067","81.76"
"2015","85","Cayuga","CNYRO","Auburn Memorial Hospital","392","5","387","363","93.80"
"2015","739","Otsego","CDRO","Aurelia Osborn Fox Memorial Hospital","225","5","220","213","96.82"
"2015","848","Schenectady","CDRO","Bellevue Women's Hospital","2756","40","2716","2202","81.08"
"2015","98","Chautauqua","WRO","Brooks Memorial ","458","5","453","429","94.70"
"2015","815","St. Lawrence","CNYRO","Canton-Potsdam Hospital","517","3","514","455","88.52"
"2015","379","Jefferson","CNYRO","Carthage Area Hospital ","396","7","389","315","80.98"
"2015","971","Sullivan","MARO","Catskill Regional Medical Center","598","10","588","519","88.27"
"2015","977","Tompkins","CNYRO","Cayuga Medical Center","894","12","882","764","86.62"
"2015","135","Clinton","CDRO","Champlain Valley Physicians Hospital","900","5","895","795","88.83"
"2015","128","Chenango","CNYRO","Chenango Memorial Hospital ","249","6","243","237","97.53"
"2015","798","St. Lawrence","CNYRO","Claxton-Hepburn Medical Center","211","1","210","200","95.24"
"2015","146","Columbia","CDRO","Columbia Memorial Hospital","419","5","414","370","89.37"
"2015","628","Onondaga","CNYRO","Community-General Hospital-SYRACUSE","1107","5","1102","1057","95.92"
"2015","866","Steuben","WRO","Corning Hospital","562","5","557","531","95.33"
"2015","158","Cortland","CNYRO","Cortland Regional Medical Center","429","8","421","406","96.44"
"2015","636","Onondaga","CNYRO","Crouse Hospital","3845","265","3580","3620","100.00"
"2015","599","Oneida","CNYRO","Faxton-Saint Luke's","1927","37","1890","1777","94.02"
"2015","678","Ontario","WRO","F F Thompson Hospital","644","1","643","491","76.36"
"2015","1005","Warren","CDRO","Glens Falls Hospital","1231","7","1224","1100","89.87"
"2015","925","Suffolk","MARO","Good Samaritan Hospital Medical Center","2722","103","2619","1376","52.54"
"2015","779","Rockland","MARO","Good Samaritan Hospital of SUFFERN","2778","18","2760","1140","41.30"
"2015","409","Monroe","WRO","Highland Hospital","3126","22","3104","2627","84.63"
"2015","1039","Westchester","MARO","Hudson Valley Hospital Center","826","8","818","554","67.73"
"2015","913","Suffolk","MARO","Huntington Hospital","1411","12","1399","1160","82.92"
"2015","39","Allegany","WRO","Jones Memorial Hospital","393","3","390","228","58.46"
"2015","990","Ulster","MARO","Kingston Hospital","333","1","332","255","76.81"
"2015","1122","Westchester","MARO","Lawrence Hospital","1338","26","1312","1248","95.12"
"2015","383","Lewis","CNYRO","Lewis County General Hospital","279","2","277","257","92.78"
