"county","priority_area_order","priority_area","focus_area_order","focus_area","contractor","contract_information","contractor_main_address","phone_number","email"
"Chautauqua","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","EHS, Inc.","Harm Reduction/Syringe Exchange","206 South Elmwood Ave Buffalo , NY 14201","(716) 847-0212","rganoe@evergreenhs.org"
"New York","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Gay Men's Health Crisis, Inc.","Regional Prevention and Support Programs (formerly CSPs)","446 West 33rd St 6th Fl New York , NY 10001","(212) 367-1524","billb@gmhc.org"
"Yates","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Trillium Health, Inc.","Harm Reduction/Syringe Exchange","259 Monroe Ave, Suite 100 Rochester, NY 14607","(585) 210-4160","ademeo@trillumhealth.org"
"New York","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Grand Street Settlement","Health and Human Services for LGBT Individuals, Families and Communities","80 Pitt St New York, NY 10002","(212) 674-1740","rcordero@grandstreet.org"
"Bronx","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Bronx Works, Inc.","Targeted Prevention and Support Services Programs (formerly MSAs)","60 East Tremont Ave Bronx , NY 10453","(646) 393-4023","etorres@bronxworks.org"
"Saratoga","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","American Indian Community House, Inc.","Targeted Prevention and Support Services Programs (formerly MSAs)","254 West 29th St 2nd Fl New York , NY 10001","(212) 598-0100","bengeboe@gmail.com"
"Wayne","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Trillium Health, Inc.","Expanded Syringe Access Program","259 Monroe Ave Suite 100 Rochester, NY 14607","(585) 210-4160","ademeo@trillumhealth.org"
"Kings","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","The Audre Lorde Project, Inc.","Health and Human Services for LGBT Individuals, Families and Communities","147 W 24th St 3rd Floor, New York, NY 10011","(212) 463-0342","cpage@alp.org "
"Tompkins","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Southern Tier AIDS Program, Inc.","Regional Prevention and Support Programs (formerly CSPs)","22 Riverside Drive, Binghamton, NY  13905","(607) 798-1706","jbarry@stapinc.org"
"Westchester","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","LOFT:  The Lesbian and Gay Community Services Center","Health and Human Services for LGBT Individuals, Families and Communities","252 Bryant Ave White Plains, NY 10605","(914) 948-2932","Judy@loftgaycenter.org"
"Seneca","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","American Indian Community House, Inc.","Community Mobilization Programs (formerly CDIs)","254 West 29th St, 2nd Fl New York, NY 10001","(212) 598-0100","bengeboe@gmail.com"
"New York","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Harlem United Community AIDS Center, Inc.","Targeted Prevention and Support Services Programs (formerly MSAs)","306 Lenox Ave 3rd Fl New York , NY 10027","(212) 803-2863","jkilmer@harlemunited.org"
"New York","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","New York City Department of Health & Mental Hygiene","Expanded Partner Services","42-09 28th St, CN #45B, 15th Fl, Desk 119 Long Island City, NY  11101","(347) 396-6037","rdaay@health.nyc.gov"
"Steuben","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","American Indian Community House, Inc.","Targeted Prevention and Support Services Programs (formerly MSAs)","254 West 29th St 2nd Fl New York , NY 10001","(212) 598-0100","bengeboe@gmail.com"
"Fulton","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Capital District Gay & Lesbian Community Council, Inc.","Health and Human Services for LGBT Individuals, Families and Communities","322 Hudson Ave Albany, NY 12210","(518) 462-6138","mharvey@capitalpridecenter.org"
"Dutchess","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Hudson Valley LGBTQ Community Center","Health and Human Services for LGBT Individuals, Families and Communities","300 Wall St PO Box 3994 Kingston, NY  12401","(845) 331-5300","J.rindler@lgbtqcenter.org"
"Clinton","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Roswell Park Cancer Institute Corporation","Criminal Justice Prison Hotline","Elm & Carlton Streets, RSC2 Buffalo, NY 14263","(716) 845-2339","Richard.Hershberger@roswellPark.org"
"Oswego","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","AIDS Community Resources, Inc.","HIV/STI/Hep C Prev & Related Svcs for Gay Men/MSM","627 West Genesee St Syracuse , NY 13204","(315) 475-2430","wmurtaugh@acrhealth.org"
"Richmond","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Community Health Action of Staten Island, Inc.","Regional Prevention and Support Programs (formerly CSPs)","56 Bay St 4th Fl Staten Island , NY 10301","(718) 808-1402","diane.arneth@chasiny.org"
"Sullivan","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Hudson Valley Community Services, Inc.","Regional Prevention and Support Programs (formerly CSPs)","40 Saw Mill River Rd Hawthorne , NY 10532","(914)785-8265","astraus@hudsonvalleycs.org"
"New York","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Harlem Dowling-Westside Center for Children and Families, Inc.","Targeted Prevention and Support Services Programs (formerly MSAs)","2090 Adam Clayton Powell Jr Blvd Suite 108 New York , NY 10027","(212) 749-3656","kdixon@harlemdowling.org"
"Schuyler","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","American Indian Community House, Inc.","Targeted Prevention and Support Services Programs (formerly MSAs)","254 West 29th St 2nd Fl New York , NY 10001","(212) 598-0100","bengeboe@gmail.com"
"Schoharie","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","American Indian Community House, Inc.","Community Mobilization Programs (formerly CDIs)","254 West 29th St, 2nd Fl New York, NY 10001","(212) 598-0100","bengeboe@gmail.com"
"Wayne","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Trillium Health, Inc.","Health & Human Svcs for LGBT Individuals, Families and Communities","259 Monroe Ave Rochester , NY 14607","(585) 545-7200","bbelecz@trilliumhealth.org"
"Albany","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","In Our Own Voices, Inc.","HIV/STI/Hep C Prevention & Related Services for Lesbians/Women who have Sex with Women","245 Lark St Albany , NY 12210","(518) 432-4188","tlagrone@inourownvoices.org"
"Orange","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Hudson Valley Community Services, Inc.","Expanded Syringe Access Program","40 Saw Mill River Rd Hawthorne , NY 10532","(914) 785-8265","astraus@hudsonvalleycs.org"
"Montgomery","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","American Indian Community House, Inc.","Community Mobilization Programs (formerly CDIs)","254 West 29th St, 2nd Fl New York, NY 10001","(212) 598-0100","bengeboe@gmail.com"
"Orleans","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","EHS, Inc.","Harm Reduction/Syringe Exchange","206 South Elmwood Ave Buffalo , NY 14201","(716) 847-0212","rganoe@evergreenhs.org"
"Oswego","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","AIDS Community Resources, Inc.","HIV/STI/Hep C Prev & Related Svcs for Heterosexual Men & Women","627 West Genesee St Syracuse , NY 13204","(315) 475-2430","wmurtaugh@acrhealth.org"
