"measurement_year","payer","plan_id","plan_name","measure","measure_description","age_category","gender","rate","percentile_10th","percentile_25th","percentile_50th","percentile_75th","percentile_90th","level_of_significance","membermonths","events","days"
"2018","Commercial HMO","1000001","Statewide","IP Maternity ALOS","Inpatient Maternity Average Length Of Stay","All","Both genders","2.6",,,,,,,"19668108","19154","50733"
"2018","Commercial HMO","1000001","Statewide","IP Medicine ALOS","Inpatient Medicine Average Length Of Stay","All","Both genders","3.5",,,,,,,"22482260","32039","112982"
"2018","Commercial HMO","1000001","Statewide","IP Surgery ALOS","Inpatient Surgery Average Length Of Stay","All","Both genders","4.4",,,,,,,"22482260","27997","122368"
"2018","Commercial HMO","1000001","Statewide","IP Total ALOS","Inpatient Total Average Length Of Stay","All","Both genders","3.6",,,,,,,"22482260","79196","286124"
"2018","Commercial PPO","1000001","Statewide","IP Maternity ALOS","Inpatient Maternity Average Length Of Stay","All","Both genders","2.9",,,,,,,"45075920","53893","153665"
"2018","Commercial PPO","1000001","Statewide","IP Medicine ALOS","Inpatient Medicine Average Length Of Stay","All","Both genders","3.9",,,,,,,"52749790","72966","282307"
"2018","Commercial PPO","1000001","Statewide","IP Surgery ALOS","Inpatient Surgery Average Length Of Stay","All","Both genders","4.8",,,,,,,"52749790","53077","256910"
"2018","Commercial PPO","1000001","Statewide","IP Total ALOS","Inpatient Total Average Length Of Stay","All","Both genders","3.9",,,,,,,"52749790","179938","692887"
"2018","Health and Recovery Plans","1000001","Statewide","IP Maternity ALOS","Inpatient Maternity Average Length Of Stay","All","Both genders","3.6",,,,,,,"1332921","1638","5835"
"2018","Health and Recovery Plans","1000001","Statewide","IP Medicine ALOS","Inpatient Medicine Average Length Of Stay","All","Both genders","5",,,,,,,"1350838","25195","125165"
"2018","Health and Recovery Plans","1000001","Statewide","IP Surgery ALOS","Inpatient Surgery Average Length Of Stay","All","Both genders","9.1",,,,,,,"1350838","6356","57713"
"2018","Health and Recovery Plans","1000001","Statewide","IP Total ALOS","Inpatient Total Average Length Of Stay","All","Both genders","5.7",,,,,,,"1350838","33188","188570"
"2018","HIV Special Needs Plans","1000001","Statewide","IP Maternity ALOS","Inpatient Maternity Average Length Of Stay","All","Both genders","3.3",,,,,,,"164065","59","195"
"2018","HIV Special Needs Plans","1000001","Statewide","IP Medicine ALOS","Inpatient Medicine Average Length Of Stay","All","Both genders","6.3",,,,,,,"170374","3590","22585"
"2018","HIV Special Needs Plans","1000001","Statewide","IP Surgery ALOS","Inpatient Surgery Average Length Of Stay","All","Both genders","11.8",,,,,,,"170374","552","6523"
"2018","HIV Special Needs Plans","1000001","Statewide","IP Total ALOS","Inpatient Total Average Length Of Stay","All","Both genders","7",,,,,,,"170374","4201","29303"
"2018","Medicaid Managed Care","1000001","Statewide","IP Maternity ALOS","Inpatient Maternity Average Length Of Stay","All","Both genders","2.9",,,,,,,"40775207","110141","315245"
"2018","Medicaid Managed Care","1000001","Statewide","IP Medicine ALOS","Inpatient Medicine Average Length Of Stay","All","Both genders","4.5",,,,,,,"56480359","142733","637665"
"2018","Medicaid Managed Care","1000001","Statewide","IP Surgery ALOS","Inpatient Surgery Average Length Of Stay","All","Both genders","7",,,,,,,"56480359","58559","408236"
"2018","Medicaid Managed Care","1000001","Statewide","IP Total ALOS","Inpatient Total Average Length Of Stay","All","Both genders","4.4",,,,,,,"56480359","311438","1361183"
