Facility Name,Address,County,City,Zip,Phone,Fax,Facility ID,Operator,Certificate Number,Number of Beds,Assisted Living Program Beds,Assisted Living Residence (ALR) Beds,Enhanced ALR Beds,Special Needs ALR Beds,Type,Classification,Regional Office,Location
Ashton Place,190 Ashton Court,Ontario,Clifton Springs,14432,3154623140,3154625770,14916,"Clifton Park Associates, LLC",530-S-005,60,,,,,Enriched Housing Program,LLC,Western Regional Office - Buffalo,
Valehaven Home for Adults,"2989 North Main Street, Box 683",Clinton,Peru,12972,5186432740,5186430923,14661,James E. Kane Sr. James E. Kane Jr.,090-F-003,40,39,,,,Adult Home,Individual,Capital District Regional Office,
Dominican Village Enriched Housing Program 1,565-567 Albany Avenue,Suffolk,Amityville,11701,6318426091,6318426131,15070,Dominican Village EHP,700-S-287,66,,66,66,,Enriched Housing Program,Not for Profit Corporation,Metropolitan Area Regional Office - Long Island,
Keepsake Village at Greenpoint,138 Old Liverpool Road,Onondaga,Liverpool,13088,3154514567,3154531026,14890,"Greenpoint Special Needs, Inc.",520-F-143,57,,57,10,57,Adult Home,Business Corporation,Central New York Regional Office,"138 Old Liverpool Road
Liverpool, NY 13088
(43.08298, -76.18158)"
Sunrise at Sheepshead Bay,2211 Emmons Avenue,Kings,Brooklyn,11235,7186161850,7186161841,14757,"GWC-Sheepshead Bay, Inc.",331-S-012,189,,189,189,41,Enriched Housing Program,Business Corporation,Metropolitan Area Regional Office - New York City,"2211 Emmons Avenue
Brooklyn, NY 11235
(40.583788, -73.945741)"
The 80th Street Residence,430 East 80th Street,New York,New York,10075,2127178888,2125853544,14852,"Upper East Side Senior Residence, LLC",420-F-379,70,,70,70,70,Adult Home,LLC,Metropolitan Area Regional Office - New York City,"430 East 80th Street
New York, NY 10075
(40.772336, -73.950568)"
Islip Pearl Garden,36 Locust Avenue,Suffolk,Islip,11751,6318593228,6312771081,15045,Islip Pearl Garden LLC,700-F-963,26,,,,,Adult Home,LLC,Metropolitan Area Regional Office - Long Island,"36 Locust Avenue
Islip, NY 11751
(40.730446, -73.212945)"
The New Golden Acres SP LLC,11 Prospect Street,Rockland,Spring Valley,10977,8453562440,8453564158,14989,The New Golden Acres SP LLC,620-F-091,79,79,,,,Adult Home,LLC,Metropolitan Area Regional Office - New York City,"11 Prospect Street
Spring Valley, NY 10977
(41.119827, -74.039409)"
Alice Hyde Assisted Living Program,45 Sixth Street,Franklin,Malone,12953,5184818401,5184818403,14723,Alice Hyde Medical Center,270-E-007,30,30,,,,Adult Home,Not for Profit Corporation,Capital District Regional Office,"45 Sixth Street
Malone, NY 12953
(44.861149, -74.28875)"
Eden Heights of West Seneca,3030 Clinton Street,Erie,West Seneca,14224,7168224466,7168225107,14687,"Eden Management of West Seneca, Inc.",240-F-848,120,,,,,Adult Home,Business Corporation,Western Regional Office - Buffalo,"3030 Clinton Street
West Seneca, NY 14224
(42.861862, -78.767163)"
Westwood Commons Adult Home,50 Union Square Boulevard,Monroe,North Chili,14514,5852932060,5852932183,14765,"DePaul Adult Care Communities, Inc.",370-E-196,120,,,,,Adult Home,Not for Profit Corporation,Western Regional Office - Buffalo,"50 Union Square Boulevard
North Chili, NY 14514
(43.112632, -77.809366)"
The Terrace at The Eddy Memorial,2256 Burdett Avenue,Rensselaer,Troy,12180,5182749890,5182745407,14968,"The James A. Eddy Memorial Geriatric Center, Inc.",600-S-001,69,,,,,Enriched Housing Program,Not for Profit Corporation,Capital District Regional Office,"2256 Burdett Avenue
Troy, NY 12180
(42.735162, -73.670931)"
Assisted Living at Northern Riverview,89 South Route 9W,Rockland,Haverstraw,10927,8454294300,8454296267,14979,"Assisted Living At Northern Riverview, Inc.",620-E-019,105,100,23,,18,Adult Home,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,"89 South Route 9W
Haverstraw, NY 10927
(41.202123, -73.983721)"
Esplanade of Woodmere,130 Irving Place,Nassau,Woodmere,11598,5166651645,5168940800,15247,Woodmere Operating Company LLC,400-F-345,70,,70,70,70,Adult Home,LLC,Metropolitan Area Regional Office - Long Island,"130 Irving Place
Woodmere, NY 11598
(40.63256, -73.709734)"
Hilltop Manor West,286 Deyo Hill Road,Broome,Johnson City,13790,6077987818,6077989382,14625,UMH NY Corp.,030-E-008,98,26,72,72,36,Adult Home,Not for Profit Corporation,Central New York Regional Office,"286 Deyo Hill Road
Johnson City, NY 13790
(42.144802, -75.959459)"
