"county","priority_area_order","priority_area","focus_area_order","focus_area","partner","partner_information","partner_main_address","phone_number","email"
"Chautauqua","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","EHS, Inc.","Harm Reduction/Syringe Exchange","206 South Elmwood Ave Buffalo , NY 14201","(716) 847-0212","rganoe@evergreenhs.org"
"Albany","1","Promote a Healthy and Safe Environment","3","Built Environment","Albany County","Childhood Lead Poisoning Primary Prevention Program","175 Green Street, Albany, NY 12202","(518) 447-4580","marcia.lenehan@albanycounty.com"
"Albany","1","Promote a Healthy and Safe Environment","3","Built Environment","Albany County","Lead Poisoning Prevention Program","175 Green Street, Albany, NY 12202","(518) 447-4580","marcia.lenehan@albanycounty.com"
"Albany","1","Promote a Healthy and Safe Environment","3","Built Environment","Albany County","State Indoor Radon Program","24 Martin Road, Voorheesville, NY 12186","(518) 577-0912","nkl1@cornell.edu"
"Albany","1","Promote a Healthy and Safe Environment","4","Injuries, Violence And Occupational Health","Albany County Crime Victim and Sexual Violence Center","Rape Crisis & Sexual Violence Prevention","112 State Street, Room 1100, Albany, NY 12207","(518) 447-7100","karen.ziegler@albanycounty.com"
"Queens","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","Moving For Life, Inc.","Community-Based Breast Cancer Support and Wellness Services","515 Canal St.  Unit 1C  New York, NY 10013","212-222-1351","janice@movingforlife.org"
"New York","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Gay Men's Health Crisis, Inc.","Regional Prevention and Support Programs (formerly CSPs)","446 West 33rd St 6th Fl New York , NY 10001","(212) 367-1524","billb@gmhc.org"
"Herkimer","4","Promote Healthy Women, Infants, and Children","2","Child Health","Herkimer County Department of Health","Children with Special Health Care Needs Program","10 Little Britain Rd., Suite 203, Newburgh, NY 12550","(315) 867-1176","cfairweather@misn-ny.org"
"New York","2","Prevent Chronic Diseases","1","Reduce Obesity in Children and Adults","Fund for Public Health in New York, Inc.","Pediatric Obesity Prevention:  Creating Breastfeeding Friendly Communities","22 Cortlandt St. Suite 802  New York, NY 10007","646-710-4840","sgardner@fphnyc.org"
"Yates","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Trillium Health, Inc.","Harm Reduction/Syringe Exchange","259 Monroe Ave, Suite 100 Rochester, NY 14607","(585) 210-4160","ademeo@trillumhealth.org"
"New York","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Grand Street Settlement","Health and Human Services for LGBT Individuals, Families and Communities","80 Pitt St New York, NY 10002","(212) 674-1740","rcordero@grandstreet.org"
"Bronx","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Bronx Works, Inc.","Targeted Prevention and Support Services Programs (formerly MSAs)","60 East Tremont Ave Bronx , NY 10453","(646) 393-4023","etorres@bronxworks.org"
"Saratoga","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","American Indian Community House, Inc.","Targeted Prevention and Support Services Programs (formerly MSAs)","254 West 29th St 2nd Fl New York , NY 10001","(212) 598-0100","bengeboe@gmail.com"
"New York","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","New York Presbyterian Hospital","Comprehensive Care Centers for Eating Disorders","1051 Riverside Dr. Unit 98  New York, NY 10032","646-774-8085","kas9171@nyp.org"
"Wayne","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","Trillium Health, Inc.","Expanded Syringe Access Program","259 Monroe Ave Suite 100 Rochester, NY 14607","(585) 210-4160","ademeo@trillumhealth.org"
"Kings","3","Prevent HIV, STDs, Vaccine Preventable Diseases and Healthcare Associated Infections","1","Prevent HIV and STDS","The Audre Lorde Project, Inc.","Health and Human Services for LGBT Individuals, Families and Communities","147 W 24th St 3rd Floor, New York, NY 10011","(212) 463-0342","cpage@alp.org "
"Niagara","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","University of Rochester","Comprehensive Care Centers for Eating Disorders","518 Hylan Building  RC Box 270140  Rochester, NY 14627","585-273-2137","anne.corriveau@rochester.edu"
