Year,Region,Program Name,Indicator Name,Master ID,Eligible Patients,Indicator Value,Quintile,Facility Type,Address,City,ZIP,Location,New York Zip Codes,Counties,NYS Senate Districts,Local Waterfront Revitalization Program (LWRP) Communities,School Districts 2016.shp
2011,Long Island,Long Island_AVERAGE (After Redaction),Tobacco Use Screening,TOB_1,671,99.5,,,,,,,,,,,
2011,Lower Hudson,Lower Hudson_AVERAGE (Before Redaction),Tobacco Use Screening,TOB_1,434,96.7,,,,,,,,,,,
2011,Bronx,Care for the Homeless,Genital Chlamydia Testing,STI_3,8,12.5,Fifth,Community Health Center,1921 Jerome Avenue,Bronx,10453,"(40.850861, -73.91048)",649,2032,14,37,177
2011,Staten Island,Staten Island_AVERAGE (After Redaction),Tobacco Use Screening,TOB_1,162,99.4,,,,,,,,,,,
2011,Staten Island,Staten Island University Hospital Center (Water Street)-North Shore LIJ,Tobacco Use Screening,TOB_1,35,100,,Drug Treatment Center,11 Water Street,Staten Island,10301,"(40.62727, -74.07496)",607,2139,39,37,7
2011,Bronx,Montefiore Health System-Substance Abuse Treatment Program- Unit III,Genital Chlamydia Testing,STI_3,39,15.4,Fifth,Drug Treatment Center,2005 Jerome Ave.,Bronx,10453,"40 8531590840
(33.77518160000005, -118.11188419999996)",,1195,,,
2011,Lower Hudson,Lower Hudson_AVERAGE (After Redaction),Genital Gonorrhea Testing,STI_7,434,71.5,Second,,,,,,,,,,
2011,Bronx,Community Healthcare Network-Bronx Health Center,Suppressed at Last VL of Review Period,VL_1,58,41.4,Fifth,Community Health Center,975 Westchester Avenue,Bronx,10459,"(40.823206, -73.89525)",655,2032,21,37,140
2011,Bronx,All Med Medical and Rehabilitation of New York-3rd Avenue Site,Tobacco Use Screening,TOB_1,67,92.5,,Community Health Center,"2604 3rd Ave., 4th Floor",Bronx,10454,"(40.811892, -73.92507)",650,2095,14,37,131
2011,Bronx,St. Barnabas Hospital-Pathways Center for Comprehensive Care,Genital Chlamydia Testing,STI_3,88,38.6,Third,Designated AIDS Center,4422 Third Avenue,Bronx,10457,"(40.852491, -73.8914)",653,2032,51,37,177
2011,Bronx,"Urban Health Plan, Inc. - El Nuevo San Juan",Genital Gonorrhea Testing,STI_7,57,64.9,Second,Community Health Center,1065 Southern Boulevard,Bronx,10459,"(40.825041, -73.89224)",655,2032,21,37,140
