County,Type,Name,Phone,Website,Location,New York Zip Codes,Counties,NYS Senate Districts,Local Waterfront Revitalization Program (LWRP) Communities,School Districts 2016.shp
HAMILTON,Organ Procurement Organizations,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(43.618468, -74.395268)",1409,622,42,,888
PUTNAM,Eye Bank,Eye-Bank for Sight Restoration,212-742-9000,http://www.eyedonation.org,"(41.41131, -73.717443)",1201,627,29,,272
NASSAU,Tissue Bank,LiveOnNY,646-291-4444,http://www.liveonny.org,"(40.715749, -73.601185)",1455,2094,6,,93
ALBANY,Organ Procurement Organizations,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(42.678066, -73.814233)",40,2030,34,1,573
MADISON,Eye Bank,Central New York Eye and Tissue Bank,315-476-0199,http://www.cnyetb.com,"(42.986917, -75.720031)",351,2092,46,,723
ST. LAWRENCE,Tissue Bank,Central New York Eye and Tissue Bank,315-476-0199,http://www.cnyetb.com,"(44.689468, -75.24045)",1581,2140,41,,919
ONONDAGA,Eye Bank,Central New York Eye and Tissue Bank,315-476-0199,http://www.cnyetb.com,"(43.065629, -76.168033)",713,2132,43,,755
ALLEGANY,Eye Bank,ConnectLife,716-529-4300,http://www.connectlife.org,"(42.226801, -78.020567)",1759,2031,57,,434
ONTARIO,Organ Procurement Organizations,Finger Lakes Donor Recovery Network,800-810-5494,http://www.donorrecovery.org/,"(42.894571, -77.252045)",178,2133,54,,691
WAYNE,Eye Bank,Lions Eye Bank at Rochester,585-272-7890,http://www.lionseyebankrochester.org,"(43.144336, -77.117995)",318,631,54,,809
BROOME,Tissue Bank,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(42.122015, -75.933191)",479,2033,45,,346
FRANKLIN,Organ Procurement Organizations,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(44.705699, -74340621)",,,,,
QUEENS,Eye Bank,Lions Eye Bank Long Island,516-256-6990,http://www.lebli.org,"(40.749338, 73.789673)",,,,,
ROCKLAND,Organ Procurement Organizations,LiveOnNY,646-291-4444,http://www.liveonny.org,"(41.127287, -74.017033)",1546,628,27,,154
ST. LAWRENCE,Tissue Bank,Musculoskeletal Transplant Foundation of Syracuse,800-946-9008,http://www.mtf.org,"(42.270053, -77.324618)",1757,2178,58,,454
TIOGA,Organ Procurement Organizations,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(42.120252, -76.29595)",450,630,45,,330
CORTLAND,Tissue Bank,Musculoskeletal Transplant Foundation of Syracuse,800-946-9008,http://www.mtf.org,"(42.597101, -76.143291)",362,620,44,,537
CHEMUNG,Organ Procurement Organizations,Finger Lakes Donor Recovery Network,800-810-5494,http://www.donorrecovery.org/,"(42.116644, -76.812331)",926,2036,58,,315
COLUMBIA,Eye Bank,Lions Eye Bank at Albany,518-489-7606,http://www.lionseyebankalbany.org,"(42.276913, -73.682168)",977,619,33,,388
CHEMUNG,Eye Bank,Lions Eye Bank at Albany,518-489-7606,http://www.lionseyebankalbany.org,"(42.116644, -76.812331)",926,2036,58,,315
ERIE,Eye Bank,ConnectLife,716-529-4300,http://www.connectlife.org,"(42.888143, -78.795544)",62,2041,63,,646
CATTAURAGUS,Organ Procurement Organizations,ConnectLife,716-529-4300,http://www.connectlife.org,"(42.224267, -78.606673)",1719,2034,57,,427
SULLIVAN,Eye Bank,Lions Eye Bank at Albany,518-489-7606,http://www.lionseyebankalbany.org,"(41.705166, -74.711705)",1024,2180,32,,283
ONEIDA,Tissue Bank,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(43.149482, -75.361773)",1281,625,40,,794
ORANGE,Organ Procurement Organizations,LiveOnNY,646-291-4444,http://www.liveonny.org,"(41.422459, -74.241929)",1496,2134,32,,76
WARREN,Organ Procurement Organizations,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(43.403024, -73.716044)",128,2183,35,,522
SCHENECTADY,Organ Procurement Organizations,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(42.809233, -73.946838)",74,2142,42,,617
TOMPKINS,Organ Procurement Organizations,Finger Lakes Donor Recovery Network,800-810-5494,http://www.donorrecovery.org/,"(42.461024, -76.478784)",1786,2181,58,,496
CAYUGA,Tissue Bank,Musculoskeletal Transplant Foundation of Syracuse,800-946-9008,http://www.mtf.org,"(42.940095, -76.560755)",343,618,43,,660
DUTCHESS,Organ Procurement Organizations,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(41.686216, -73.840468)",1022,2040,30,,63
MONROE,Organ Procurement Organizations,Finger Lakes Donor Recovery Network,800-810-5494,http://www.donorrecovery.org/,"(43.161748, -77.620143)",1666,2093,56,50,844
ROCKLAND,Tissue Bank,LiveOnNY,646-291-4444,http://www.liveonny.org,"(41.127287, -74.017033)",1546,628,27,,154
FRANKLIN,Tissue Bank,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(44.705699, -74340621)",,,,,
KINGS,Eye Bank,Lions Eye Bank Long Island,516-256-6990,http://www.lebli.org,"(40.65642, -73.950691)",809,2090,31,37,27
CHENANGO,Tissue Bank,Central New York Eye and Tissue Bank,315-476-0199,http://www.cnyetb.com,"(42.481798, -75.570013)",451,2037,45,,493
SCHUYLER,Eye Bank,Lions Eye Bank at Rochester,585-272-7890,http://www.lionseyebankrochester.org,"(42.38593, -76.872032)",,2143,58,,494
SUFFOLK,Eye Bank,Lions Eye Bank Long Island,516-256-6990,http://www.lebli.org,"(40.820237, -73.119032)",1421,2179,3,,137
YATES,Eye Bank,Lions Eye Bank at Rochester,585-272-7890,http://www.lionseyebankrochester.org,"(42.634338, -77.078311)",,2225,58,,581
NIAGARA,Organ Procurement Organizations,ConnectLife,716-529-4300,http://www.connectlife.org,"(43.134634, -78.856419)",1107,2131,62,,835
ONTARIO,Eye Bank,Lions Eye Bank at Rochester,585-272-7890,http://www.lionseyebankrochester.org,"(42.894571, -77.252045)",178,2133,54,,691
LEWIS,Tissue Bank,Musculoskeletal Transplant Foundation of Syracuse,800-946-9008,http://www.mtf.org,"(43.785537, -75.446296)",571,623,40,,694
RENSSELAER,Eye Bank,Lions Eye Bank at Albany,518-489-7606,http://www.lionseyebankalbany.org,"(42.70098, -73.628669)",38,2138,33,40,473
FULTON,Eye Bank,Lions Eye Bank at Albany,518-489-7606,http://www.lionseyebankalbany.org,"(43.06014, -74.331296)",1227,2085,42,,830
OSWEGO,Organ Procurement Organizations,Finger Lakes Donor Recovery Network,800-810-5494,http://www.donorrecovery.org/,"(43.39123, -76.31133)",623,2135,41,,533
MADISON,Tissue Bank,Central New York Eye and Tissue Bank,315-476-0199,http://www.cnyetb.com,"(42.986917, -75.720031)",351,2092,46,,723
OSWEGO,Eye Bank,Lions Eye Bank at Rochester,585-272-7890,http://www.lionseyebankrochester.org,"(43.39123, -76.31133)",623,2135,41,,533
ONONDAGA,Tissue Bank,Central New York Eye and Tissue Bank,315-476-0199,http://www.cnyetb.com,"(43.065629, -76.168033)",713,2132,43,,755
ALBANY,Tissue Bank,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(42.678066, -73.814233)",40,2030,34,1,573
JEFFERSON,Organ Procurement Organizations,Finger Lakes Donor Recovery Network,800-810-5494,http://www.donorrecovery.org/,"(44.019295, -75.898971)",1466,2089,41,,705
WESTCHESTER,Organ Procurement Organizations,LiveOnNY,646-291-4444,http://www.liveonny.org,"(41.039278, -73.805386)",1440,2185,53,,224
BRONX,Eye Bank,Eye-Bank for Sight Restoration,212-742-9000,http://www.eyedonation.org,"(40.85589, -73.868294)",675,2032,52,37,176
FULTON,Organ Procurement Organizations,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(43.06014, -74.331296)",1227,2085,42,,830
ONONDAGA,Organ Procurement Organizations,Finger Lakes Donor Recovery Network,800-810-5494,http://www.donorrecovery.org/,"(43.065629, -76.168033)",713,2132,43,,755
LIVINGSTON,Organ Procurement Organizations,Finger Lakes Donor Recovery Network,800-810-5494,http://www.donorrecovery.org/,"(42.763754, -77.765392)",232,2091,59,,645
WAYNE,Organ Procurement Organizations,Finger Lakes Donor Recovery Network,800-810-5494,http://www.donorrecovery.org/,"(43.144336, -77.117995)",318,631,54,,809
NASSAU,Organ Procurement Organizations,LiveOnNY,646-291-4444,http://www.liveonny.org,"(40.715749, -73.601185)",1455,2094,6,,93
CHENANGO,Eye Bank,Central New York Eye and Tissue Bank,315-476-0199,http://www.cnyetb.com,"(42.481798, -75.570013)",451,2037,45,,493
CORTLAND,Tissue Bank,Central New York Eye and Tissue Bank,315-476-0199,http://www.cnyetb.com,"(42.597101, -76.143291)",362,620,44,,537
SCHOHARIE,Organ Procurement Organizations,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(42.643426, -74.434606)",1173,629,44,,572
HAMILTON,Eye Bank,Lions Eye Bank at Albany,518-489-7606,http://www.lionseyebankalbany.org,"(43.618468, -74.395268)",1409,622,42,,888
ULSTER,Organ Procurement Organizations,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(41.848374, -74.099412)",264,2182,32,,198
CHAUTAUQUA,Organ Procurement Organizations,ConnectLife,716-529-4300,http://www.connectlife.org,"(42.246904, -79.315313)",1743,2035,57,,447
OTSEGO,Eye Bank,Lions Eye Bank at Albany,518-489-7606,http://www.lionseyebankalbany.org,"(42.564852, -75.0603334)",432,2136,44,,529
SCHUYLER,Tissue Bank,Musculoskeletal Transplant Foundation of Rochester,800-946-9008,http://www.mtf.org,"(42.38593, -76.872032)",,2143,58,,494
CLINTON,Tissue Bank,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(44.731944, -73.548883)",202,2038,35,,920
MADISON,Tissue Bank,Musculoskeletal Transplant Foundation of Syracuse,800-946-9008,http://www.mtf.org,"(42.986917, -75.720031)",351,2092,46,,723
WARREN,Eye Bank,Lions Eye Bank at Albany,518-489-7606,http://www.lionseyebankalbany.org,"(43.403024, -73.716044)",128,2183,35,,522
GREENE,Tissue Bank,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(42.298326, -73.973376)",88,2087,36,,435
MONTGOMERY,Tissue Bank,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(42.933637, -74.341972)",1221,624,36,,699
SARATOGA,Eye Bank,Lions Eye Bank at Albany,518-489-7606,http://www.lionseyebankalbany.org,"(43.00894, -73.786779)",1148,2141,42,,733
BROOME,Organ Procurement Organizations,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(42.122015, -75.933191)",479,2033,45,,346
TIOGA,Eye Bank,Lions Eye Bank at Rochester,585-272-7890,http://www.lionseyebankrochester.org,"(42.120252, -76.29595)",450,630,45,,330
ESSEX,Organ Procurement Organizations,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(44.166026, -73.685145)",287,2084,35,,911
ST. LAWRENCE,Eye Bank,Central New York Eye and Tissue Bank,315-476-0199,http://www.cnyetb.com,"(44.689468, -75.24045)",1581,2140,41,,919
QUEENS,Eye Bank,Eye-Bank for Sight Restoration,212-742-9000,http://www.eyedonation.org,"(40.749338, 73.789673)",,,,,
ONEIDA,Organ Procurement Organizations,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(43.149482, -75.361773)",1281,625,40,,794
ORANGE,Eye Bank,Lions Eye Bank at Albany,518-489-7606,http://www.lionseyebankalbany.org,"(41.422459, -74.241929)",1496,2134,32,,76
KINGS,Eye Bank,Eye-Bank for Sight Restoration,212-742-9000,http://www.eyedonation.org,"(40.65642, -73.950691)",809,2090,31,37,27
ULSTER,Tissue Bank,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(41.848374, -74.099412)",264,2182,32,,198
YATES,Tissue Bank,Musculoskeletal Transplant Foundation of Rochester,800-946-9008,http://www.mtf.org,"(42.723641, -78.204473)",415,2186,59,,622
MONTGOMERY,Organ Procurement Organizations,Center for Donation and Transplant,800-256-7811,http://www.cdtny.org,"(42.933637, -74.341972)",1221,624,36,,699
ST. LAWRENCE,Eye Bank,Lions Eye Bank at Rochester,585-272-7890,http://www.lionseyebankrochester.org,"(44.689468, -75.24045)",1581,2140,41,,919
BROOME,Eye Bank,Lions Eye Bank at Albany,518-489-7606,http://www.lionseyebankalbany.org,"(42.122015, -75.933191)",479,2033,45,,346
ORLEANS,Organ Procurement Organizations,ConnectLife,716-529-4300,http://www.connectlife.org,"(43.248394, -78.218438)",170,626,62,,873
CORTLAND,Eye Bank,Lions Eye Bank at Rochester,585-272-7890,http://www.lionseyebankrochester.org,"(42.597101, -76.143291)",362,620,44,,537
OSWEGO,Tissue Bank,Musculoskeletal Transplant Foundation of Syracuse,800-946-9008,http://www.mtf.org,"(43.39123, -76.31133)",623,2135,41,,533
HERKIMER,Eye Bank,Lions Eye Bank at Albany,518-489-7606,http://www.lionseyebankalbany.org,"(43.070026, -74.994246)",559,2088,44,,758
ORLEANS,Eye Bank,ConnectLife,716-529-4300,http://www.connectlife.org,"(43.248394, -78.218438)",170,626,62,,873
NEW YORK,Organ Procurement Organizations,LiveOnNY,646-291-4444,http://www.liveonny.org,"(40.726966, -74.005966)",737,2095,50,37,108
ALBANY,Eye Bank,Lions Eye Bank at Albany,518-489-7606,http://www.lionseyebankalbany.org,"(42.678066, -73.814233)",40,2030,34,1,573
WESTCHESTER,Tissue Bank,LiveOnNY,646-291-4444,http://www.liveonny.org,"(41.039278, -73.805386)",1440,2185,53,,224
SENECA,Organ Procurement Organizations,Finger Lakes Donor Recovery Network,800-810-5494,http://www.donorrecovery.org/,"(42.833627, -76.82753)",689,2144,54,,631
