"year","region","race_or_ethnicity","sex","age_group","opioid_poisoning_deaths"
"2003","NYC","Black Non Hispanic","F","1-9","0"
"2003","NYC","Black Non Hispanic","F","10-19","0"
"2003","NYC","Black Non Hispanic","F","65-74","0"
"2003","NYC","Black Non Hispanic","F","75-84","0"
"2003","NYC","Black Non Hispanic","F","85+","0"
"2003","NYC","Black Non Hispanic","F","<1","0"
"2003","NYC","Black Non Hispanic","F","20-24","1"
"2003","NYC","Black Non Hispanic","F","25-34","3"
"2003","NYC","Black Non Hispanic","F","55-64","3"
"2003","NYC","Black Non Hispanic","F","35-44","10"
"2003","NYC","Black Non Hispanic","F","45-54","12"
"2003","NYC","Black Non Hispanic","F","Total","29"
"2003","NYC","Black Non Hispanic","M","1-9","0"
"2003","NYC","Black Non Hispanic","M","10-19","0"
"2003","NYC","Black Non Hispanic","M","20-24","0"
"2003","NYC","Black Non Hispanic","M","75-84","0"
"2003","NYC","Black Non Hispanic","M","85+","0"
"2003","NYC","Black Non Hispanic","M","<1","0"
"2003","NYC","Black Non Hispanic","M","65-74","4"
"2003","NYC","Black Non Hispanic","M","55-64","6"
"2003","NYC","Black Non Hispanic","M","25-34","7"
"2003","NYC","Black Non Hispanic","M","35-44","20"
"2003","NYC","Black Non Hispanic","M","45-54","35"
"2003","NYC","Black Non Hispanic","M","Total","72"
"2003","NYC","Hispanic","F","1-9","0"
"2003","NYC","Hispanic","F","65-74","0"
"2003","NYC","Hispanic","F","85+","0"
"2003","NYC","Hispanic","F","<1","0"
"2003","NYC","Hispanic","F","10-19","1"
"2003","NYC","Hispanic","F","20-24","1"
"2003","NYC","Hispanic","F","55-64","1"
"2003","NYC","Hispanic","F","75-84","1"
"2003","NYC","Hispanic","F","25-34","4"
"2003","NYC","Hispanic","F","35-44","14"
"2003","NYC","Hispanic","F","45-54","15"
"2003","NYC","Hispanic","F","Total","37"
"2003","NYC","Hispanic","M","1-9","0"
"2003","NYC","Hispanic","M","75-84","0"
"2003","NYC","Hispanic","M","85+","0"
"2003","NYC","Hispanic","M","<1","0"
"2003","NYC","Hispanic","M","65-74","2"
"2003","NYC","Hispanic","M","10-19","4"
"2003","NYC","Hispanic","M","55-64","5"
"2003","NYC","Hispanic","M","20-24","6"
"2003","NYC","Hispanic","M","25-34","27"
"2003","NYC","Hispanic","M","45-54","29"
"2003","NYC","Hispanic","M","35-44","48"
"2003","NYC","Hispanic","M","Total","121"
"2003","NYC","Not Stated","F","1-9","0"
"2003","NYC","Not Stated","F","20-24","0"
"2003","NYC","Not Stated","F","25-34","0"
"2003","NYC","Not Stated","F","45-54","0"
"2003","NYC","Not Stated","F","65-74","0"
