"sitename_std","roomno","address1_std","city_std","truecountyfips","truecountyname","state_std","zip_std","latitude","longitude","desser","npi","licno","pfi","mmisno","commind","mcaidind","chpind","harpind","maind","pcapind","mapind","paceind","fidaind","fidaiddind","hivsnpind","bhpind","bhpaind","nonmcomedind","servtype01","servtype02","servtype03","servtype04","servtype05","servtype06","servtype07","servtype08","servtype09","servtype10","servtype11","servtype12","servtype13","servtype14","servtype15","servtype16","servtype17","servtype18","servtype19","servtype20","servtype21","servtype22","servtype23","servtype24","servtype25","hx_indv_med_ind_1","hx_indv_med_ind_2","hx_indv_med_ind_3","hx_indv_med_ind_4","hx_indv_med_ind_5","hx_indv_med_ind_6","hx_indv_med_ind_7","hx_indv_med_ind_8","hx_indv_med_ind_9","hx_indv_med_ind_10","hx_shp_med_ind_1","hx_shp_med_ind_2","hx_shp_med_ind_3","hx_shp_med_ind_4","hx_shp_med_ind_5","hx_shp_med_ind_6","hx_shp_med_ind_7","hx_shp_med_ind_8","hx_shp_med_ind_9","hx_shp_med_ind_10","servcnty1","servcnty2","servcnty3","servcnty4","servcnty5","planname","pndsid","quarter"
"A+ MEDITRANS","NA","23 RAILROAD AVE","ALBANY","36001","Albany","NY","12205","42.721239","-73.8558","671","1285820241","02879692",,"00309260","0","0","0","0","0","0","0","1","0","0","0","0","0","0","671","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","999","999","999","999","999","Eddy Senior Care","0028","Quarter4 2018"
"ACCENT HEALTH CARE SERVICES INC","NA","820 5TH AVE","TROY","36083","Rensselaer","NY","12182","42.783162","-73.669198","668","1770631400","9407L001",,"99999999","0","0","0","0","0","0","0","1","0","0","0","0","0","0","000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","83","93","999","999","999","Eddy Senior Care","0028","Quarter4 2018"
"ALBANY COUNTY NURSING HOME","NA","780 ALBANY SHAKER RD","ALBANY","36001","Albany","NY","12211","42.744227","-73.813865","660","1801815915","0153302N","000030","00309260","0","0","0","0","0","0","0","1","0","0","0","0","0","0","665","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","999","999","999","999","999","Eddy Senior Care","0028","Quarter4 2018"
"ALBANY REGIONAL EYE SURGERY CENTER","Suite 2","5 JOHNSON RD","LATHAM","36001","Albany","NY","12110","42.762532","-73.748559","100","1750626834","0153204R",,"02214982","0","0","0","0","0","0","0","1","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","999","999","999","999","999","Eddy Senior Care","0028","Quarter4 2018"
"AVEENAS LOVING COMPANION CARE","NA","9115 181ST ST","HOLLIS","36081","Queens","NY","11423","40.709408","-73.7798","914","1750742706",,,"04507704","0","0","0","0","0","0","0","1","0","0","0","0","0","0","675","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","999","999","999","999","999","Eddy Senior Care","0028","Quarter4 2018"
"FRESENIUS KIDNEY CARE ALBANY DIALYSIS CENTER","NA","64 SHAKER RD","ALBANY","36001","Albany","NY","12204","42.67218","-73.749347","913","1699879460","0101217R","004854","99999999","0","0","0","0","0","0","0","1","0","0","0","0","0","0","000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","999","999","999","999","999","Eddy Senior Care","0028","Quarter4 2018"
"FRESENIUS KIDNEY CARE ALBANY REG KIDNEY CENTER","NA","2 CLARA BARTON DR","ALBANY","36001","Albany","NY","12208","42.647071","-73.776529","913","1508960378","0101218R","007112","99999999","0","0","0","0","0","0","0","1","0","0","0","0","0","0","000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","999","999","999","999","999","Eddy Senior Care","0028","Quarter4 2018"
"AMAZING GRACE TRANSPORTATION","NA","1575 STATE ST","SCHENECTADY","36093","Schenectady","NY","12304","42.78808","-73.912061","671","1699124651","00038057",,"99999999","0","0","0","0","0","0","0","1","0","0","0","0","0","0","000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","999","999","999","999","999","Eddy Senior Care","0028","Quarter4 2018"
"FRESENIUS KIDNEY CARE AMSTERDAM DIALYSIS CENTER","NA","1810 RIVERFRONT CTR","AMSTERDAM","36057","Montgomery","NY","12010","42.9376","-74.1906","913","1417051285","0101217R","007618","99999999","0","0","0","0","0","0","0","1","0","0","0","0","0","0","000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","999","999","999","999","999","Eddy Senior Care","0028","Quarter4 2018"
"BAPTIST HEALTH NURSING AND REHABILITATION CENTER, INC","NA","297 N BALLSTON AVE","SCHENECTADY","36093","Schenectady","NY","12302","42.836632","-73.955315","660","1689662157","4620300N","000843","99999999","0","0","0","0","0","0","0","1","0","0","0","0","0","0","660","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","999","999","999","999","999","Eddy Senior Care","0028","Quarter4 2018"
"FMS-CAPITAL DISTRICT DIALYSIS CENTER","NA","650 MCCLELLAN ST","SCHENECTADY","36093","Schenectady","NY","12304","42.803593","-73.914639","913","1326142191","7002176R","003214","99999999","0","0","0","0","0","0","0","1","0","0","0","0","0","0","000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","999","999","999","999","999","Eddy Senior Care","0028","Quarter4 2018"
"CAREKINESIS","200","228 STRAWBRIDGE DR","MOORESTOWN","34005","Burlington","NJ","08057","39.951705","-74.949296","760","1053624593","00030726",,"99999999","0","0","0","0","0","0","0","1","0","0","0","0","0","0","000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","999","999","999","999","999","Eddy Senior Care","0028","Quarter4 2018"
