"sitename_std","roomno","address1_std","city_std","truecountyfips","truecountyname","state_std","zip_std","latitude","longitude","desser","npi","licno","pfi","mmisno","commind","mcaidind","chpind","harpind","maind","pcapind","mapind","paceind","fidaind","fidaiddind","hivsnpind","sipind","bhpind","bhpaind","nonmcomed1ind","nonmcomed2ind","nonmcomed3ind","nonmcomed4ind","nonmcomed5ind","nonmcomed6ind","nonmcomed7ind","nonmcomed8ind","servtype01","servtype02","servtype03","servtype04","servtype05","servtype06","servtype07","servtype08","servtype09","servtype10","servtype11","servtype12","servtype13","servtype14","servtype15","servtype16","servtype17","servtype18","servtype19","servtype20","servtype21","servtype22","servtype23","servtype24","servtype25","nysohmedical1ind","nysohmedical2ind","nysohmedical3ind","nysohmedical4ind","nysohmedical5ind","nysohmedical6ind","nysohmedical7ind","nysohmedical8ind","nysohmedical9ind","servcnty1","servcnty2","servcnty3","servcnty4","servcnty5","oasaspru","oasasprovider","omhid","planname","pndsid","quarter"
"@PHARMACY.COM","J & K","7901 SE POWELL BLVD","PORTLAND","41051","Multnomah","OR","97206","45.498412","-122.58035","760","1467793752",,"999999","99999999","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","760","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","0","0","0","0","0","0","0","0","0","999","999","999","999","999",,,,"Crystal Run Health Plan, LLC","23","Quarter2 2019"
"02 SOLUTIONS","NA","1406B ROUTE 9","CLIFTON PARK","36091","Saratoga","NY","12065","42.825185","-73.733752","307","1285632703",,,"02581831","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","0","0","0","0","0","0","0","0","0","083","095","113","115","999",,,,"Nascentia Health Options","91","Quarter2 2019"
"02 SOLUTIONS","NA","1406B ROUTE 9","CLIFTON PARK","36091","Saratoga","NY","12065","42.825185","-73.733752","307","1285632703",,,"02581831","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","0","0","0","0","0","0","0","0","0","001","021","035","039","057",,,,"Nascentia Health Options","91","Quarter2 2019"
"ELDERWOOD AT HORNELL","NA","1 BETHESDA DR","HORNELL","36101","Steuben","NY","14843","42.346187","-77.660521","664","1093101743","5034300N","003902","02994645","0","1","1","1","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","1","0","0","0","0","0","0","0","0","999","999","999","999","999",,,,"New York Quality Healthcare Corporation","44","Quarter2 2019"
"ELDERWOOD AT HORNELL","NA","1 BETHESDA DR","HORNELL","36101","Steuben","NY","14843","42.346187","-77.660521","680","1093101743","5034300N","003902","02994645","0","1","1","1","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","1","0","0","0","0","0","0","0","0","999","999","999","999","999",,,,"New York Quality Healthcare Corporation","44","Quarter2 2019"
"ELDERWOOD AT HORNELL","NA","1 BETHESDA DR","HORNELL","36101","Steuben","NY","14843","42.346187","-77.660521","660","1093101743","5034300N","003902","02994645","0","1","1","1","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","300","301","302","659","664","680","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","1","0","0","0","0","0","0","0","0","999","999","999","999","999",,,,"New York Quality Healthcare Corporation","44","Quarter2 2019"
"1 NATURAL WAY LLC","NA","4064 TECHNOLOGY DR","MAUMEE","39095","Lucas","OH","43537","41.567356","-83.700214","307","1740606409",,,"00000000","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","0","0","0","0","0","0","0","0","0","999","999","999","999","999",,,,"Partners Health Plan","78","Quarter2 2019"
"1 NATURAL WAY LLC","NA","4064 TECHNOLOGY DR","MAUMEE","39095","Lucas","OH","43537","41.567356","-83.700214","307","1740606409",,"999999","99999999","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","307","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","0","0","0","0","0","0","0","0","0","999","999","999","999","999",,,,"HealthNow New York Inc. : Medicaid & CHP","185","Quarter2 2019"
"1 NATURAL WAY, LLC","NA","4064 TECHNOLOGY DR","MAUMEE","39095","Lucas","OH","43537","41.567356","-83.700214","307","1740606409","48181774","999999","99999999","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","1","0","0","0","0","0","0","0","0","999","999","999","999","999",,,,"HealthNow New York Inc.","184","Quarter2 2019"
"1 NATURAL WAY, LLC","NA","4064 TECHNOLOGY DR","MAUMEE","39095","Lucas","OH","43537","41.567356","-83.700214","307","1740606409","48181774","999999","99999999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","0","0","0","0","0","0","0","0","0","999","999","999","999","999",,,,"HealthNow New York Inc. : Align Select","216","Quarter2 2019"
