"eligibility_year","eligibility_month","economic_region","plan_name","gender","age_group","race","number_of_enrollees"
"2022","8","Capital District","CDPHP","Female","0-5","Asian","61"
"2022","8","Capital District","CDPHP","Female","0-5","Black","71"
"2022","8","Capital District","CDPHP","Female","0-5","Native American","1"
"2022","8","Capital District","CDPHP","Female","0-5","Other","221"
"2022","8","Capital District","CDPHP","Female","0-5","White","830"
"2022","8","Capital District","CDPHP","Female","13-19","Asian","107"
"2022","8","Capital District","CDPHP","Female","13-19","Black","183"
"2022","8","Capital District","CDPHP","Female","13-19","Other","331"
"2022","8","Capital District","CDPHP","Female","13-19","White","1298"
"2022","8","Capital District","CDPHP","Female","6-12","Asian","118"
"2022","8","Capital District","CDPHP","Female","6-12","Black","172"
"2022","8","Capital District","CDPHP","Female","6-12","Native American","5"
"2022","8","Capital District","CDPHP","Female","6-12","Other","388"
"2022","8","Capital District","CDPHP","Female","6-12","White","1618"
"2022","8","Capital District","CDPHP","Male","0-5","Asian","69"
"2022","8","Capital District","CDPHP","Male","0-5","Black","67"
"2022","8","Capital District","CDPHP","Male","0-5","Native American","2"
"2022","8","Capital District","CDPHP","Male","0-5","Other","245"
"2022","8","Capital District","CDPHP","Male","0-5","White","869"
"2022","8","Capital District","CDPHP","Male","13-19","Asian","119"
"2022","8","Capital District","CDPHP","Male","13-19","Black","182"
"2022","8","Capital District","CDPHP","Male","13-19","Native American","5"
"2022","8","Capital District","CDPHP","Male","13-19","Other","390"
"2022","8","Capital District","CDPHP","Male","13-19","White","1393"
"2022","8","Capital District","CDPHP","Male","6-12","Asian","109"
"2022","8","Capital District","CDPHP","Male","6-12","Black","218"
"2022","8","Capital District","CDPHP","Male","6-12","Native American","3"
"2022","8","Capital District","CDPHP","Male","6-12","Other","364"
"2022","8","Capital District","CDPHP","Male","6-12","White","1770"
"2022","8","Capital District","FIDELIS HC NY","Female","0-5","Asian","58"
"2022","8","Capital District","FIDELIS HC NY","Female","0-5","Black","33"
"2022","8","Capital District","FIDELIS HC NY","Female","0-5","Other","197"
"2022","8","Capital District","FIDELIS HC NY","Female","0-5","White","449"
"2022","8","Capital District","FIDELIS HC NY","Female","13-19","Asian","135"
"2022","8","Capital District","FIDELIS HC NY","Female","13-19","Black","79"
"2022","8","Capital District","FIDELIS HC NY","Female","13-19","Native American","2"
"2022","8","Capital District","FIDELIS HC NY","Female","13-19","Other","388"
"2022","8","Capital District","FIDELIS HC NY","Female","13-19","White","898"
"2022","8","Capital District","FIDELIS HC NY","Female","6-12","Asian","127"
"2022","8","Capital District","FIDELIS HC NY","Female","6-12","Black","84"
"2022","8","Capital District","FIDELIS HC NY","Female","6-12","Native American","5"
"2022","8","Capital District","FIDELIS HC NY","Female","6-12","Other","425"
"2022","8","Capital District","FIDELIS HC NY","Female","6-12","White","1013"
"2022","8","Capital District","FIDELIS HC NY","Male","0-5","Asian","61"
"2022","8","Capital District","FIDELIS HC NY","Male","0-5","Black","39"
"2022","8","Capital District","FIDELIS HC NY","Male","0-5","Native American","2"
