"facility","address","date_of_inspection","violation_item","violation_description","critical_violation","total_critical_violations","total_crit_not_corrected","total_noncritical_violations","local_health_department","county","facility_code","facility_address","facility_city","facility_postal_zipcode","nysdoh_gazetteer_1980","facility_municipality","operation_name","permit_expiration_date","food_service_type","food_service_description","permitted_d_b_a","permitted_corp_name","perm_operator_last_name","perm_operator_first_name","nys_health_operation_id","inspection_type","inspection_comments","fs_facility_state","latitude","longitude"
"1000 ACRES RANCH","465 WARRENSBURG ROAD,  STONY CREEK","2016-08-10T00:00:00.000","15B","Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans","Not Critical Violation","0","0","2","Glens Falls District Office","WARREN","56-7521","465 WARRENSBURG ROAD","STONY CREEK","12878","565800","STONY CREEK","1000 ACRES RANCH-FSE","2022-03-31T00:00:00.000","Food Service Establishment","Restaurant",,,,,"921197","Inspection","All violations must be corrected and are subject to enforcement action if not addressed in a timely manner.","NY","43.425873","-73.874733"
"1000 ACRES RANCH","465 WARRENSBURG ROAD,  STONY CREEK","2016-08-10T00:00:00.000","14A","Insects, rodents present","Not Critical Violation","0","0","2","Glens Falls District Office","WARREN","56-7521","465 WARRENSBURG ROAD","STONY CREEK","12878","565800","STONY CREEK","1000 ACRES RANCH-FSE","2022-03-31T00:00:00.000","Food Service Establishment","Restaurant",,,,,"921197","Inspection","All violations must be corrected and are subject to enforcement action if not addressed in a timely manner.","NY","43.425873","-73.874733"
"1000 ACRES RANCH","465 WARRENSBURG ROAD,  STONY CREEK","2017-08-16T00:00:00.000","15B","Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans","Not Critical Violation","2","0","10","Glens Falls District Office","WARREN","56-7521","465 WARRENSBURG ROAD","STONY CREEK","12878","565800","STONY CREEK","1000 ACRES RANCH-FSE","2022-03-31T00:00:00.000","Food Service Establishment","Restaurant",,,,,"921197","Inspection","Comments only: 1. It is unclear if the ventilation inside the Red Dog Saloon Men's restroom is operational. Please follow up and report back to me no later than Friday, August 18th. 2. Discussed 6/19/17 complaint with operator. Kitchen manager, Makayla Baker is certified in a safe food handlers course. A line cook was recently fired. This employee was not performing safe kitchen practices and was therefore let go. The owner does not allow any animals into the dinning area. 3. All violations must be corrected and are subject to enforcement action if not addressed in a timely manner.","NY","43.425873","-73.874733"
"1000 ACRES RANCH","465 WARRENSBURG ROAD,  STONY CREEK","2017-08-16T00:00:00.000","4A","Toxic chemicals are improperly labeled, stored or used so that contamination of food can occur.","Critical Violation","2","0","10","Glens Falls District Office","WARREN","56-7521","465 WARRENSBURG ROAD","STONY CREEK","12878","565800","STONY CREEK","1000 ACRES RANCH-FSE","2022-03-31T00:00:00.000","Food Service Establishment","Restaurant",,,,,"921197","Inspection","Comments only: 1. It is unclear if the ventilation inside the Red Dog Saloon Men's restroom is operational. Please follow up and report back to me no later than Friday, August 18th. 2. Discussed 6/19/17 complaint with operator. Kitchen manager, Makayla Baker is certified in a safe food handlers course. A line cook was recently fired. This employee was not performing safe kitchen practices and was therefore let go. The owner does not allow any animals into the dinning area. 3. All violations must be corrected and are subject to enforcement action if not addressed in a timely manner.","NY","43.425873","-73.874733"
"1000 ACRES RANCH","465 WARRENSBURG ROAD,  STONY CREEK","2017-08-16T00:00:00.000","2C","Cooked or prepared foods are subject to cross-contamination from raw foods.","Critical Violation","2","0","10","Glens Falls District Office","WARREN","56-7521","465 WARRENSBURG ROAD","STONY CREEK","12878","565800","STONY CREEK","1000 ACRES RANCH-FSE","2022-03-31T00:00:00.000","Food Service Establishment","Restaurant",,,,,"921197","Inspection","Comments only: 1. It is unclear if the ventilation inside the Red Dog Saloon Men's restroom is operational. Please follow up and report back to me no later than Friday, August 18th. 2. Discussed 6/19/17 complaint with operator. Kitchen manager, Makayla Baker is certified in a safe food handlers course. A line cook was recently fired. This employee was not performing safe kitchen practices and was therefore let go. The owner does not allow any animals into the dinning area. 3. All violations must be corrected and are subject to enforcement action if not addressed in a timely manner.","NY","43.425873","-73.874733"
"1000 ACRES RANCH","465 WARRENSBURG ROAD,  STONY CREEK","2017-08-16T00:00:00.000","10B","Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish)","Not Critical Violation","2","0","10","Glens Falls District Office","WARREN","56-7521","465 WARRENSBURG ROAD","STONY CREEK","12878","565800","STONY CREEK","1000 ACRES RANCH-FSE","2022-03-31T00:00:00.000","Food Service Establishment","Restaurant",,,,,"921197","Inspection","Comments only: 1. It is unclear if the ventilation inside the Red Dog Saloon Men's restroom is operational. Please follow up and report back to me no later than Friday, August 18th. 2. Discussed 6/19/17 complaint with operator. Kitchen manager, Makayla Baker is certified in a safe food handlers course. A line cook was recently fired. This employee was not performing safe kitchen practices and was therefore let go. The owner does not allow any animals into the dinning area. 3. All violations must be corrected and are subject to enforcement action if not addressed in a timely manner.","NY","43.425873","-73.874733"
"1000 ACRES RANCH","465 WARRENSBURG ROAD,  STONY CREEK","2017-08-16T00:00:00.000","12D","Toilet facilities inadequate, inconvenient, dirty, in disrepair, toilet paper missing, not self-closing doors, missing hand wash signs","Not Critical Violation","2","0","10","Glens Falls District Office","WARREN","56-7521","465 WARRENSBURG ROAD","STONY CREEK","12878","565800","STONY CREEK","1000 ACRES RANCH-FSE","2022-03-31T00:00:00.000","Food Service Establishment","Restaurant",,,,,"921197","Inspection","Comments only: 1. It is unclear if the ventilation inside the Red Dog Saloon Men's restroom is operational. Please follow up and report back to me no later than Friday, August 18th. 2. Discussed 6/19/17 complaint with operator. Kitchen manager, Makayla Baker is certified in a safe food handlers course. A line cook was recently fired. This employee was not performing safe kitchen practices and was therefore let go. The owner does not allow any animals into the dinning area. 3. All violations must be corrected and are subject to enforcement action if not addressed in a timely manner.","NY","43.425873","-73.874733"
"1000 ACRES RANCH","465 WARRENSBURG ROAD,  STONY CREEK","2017-08-16T00:00:00.000","11A","Manual facilities inadequate, technique incorrect; mechanical facilities not operated in accordance with manufacturer's instructions","Not Critical Violation","2","0","10","Glens Falls District Office","WARREN","56-7521","465 WARRENSBURG ROAD","STONY CREEK","12878","565800","STONY CREEK","1000 ACRES RANCH-FSE","2022-03-31T00:00:00.000","Food Service Establishment","Restaurant",,,,,"921197","Inspection","Comments only: 1. It is unclear if the ventilation inside the Red Dog Saloon Men's restroom is operational. Please follow up and report back to me no later than Friday, August 18th. 2. Discussed 6/19/17 complaint with operator. Kitchen manager, Makayla Baker is certified in a safe food handlers course. A line cook was recently fired. This employee was not performing safe kitchen practices and was therefore let go. The owner does not allow any animals into the dinning area. 3. All violations must be corrected and are subject to enforcement action if not addressed in a timely manner.","NY","43.425873","-73.874733"
"1000 ACRES RANCH","465 WARRENSBURG ROAD,  STONY CREEK","2017-08-16T00:00:00.000","8A","Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked)","Not Critical Violation","2","0","10","Glens Falls District Office","WARREN","56-7521","465 WARRENSBURG ROAD","STONY CREEK","12878","565800","STONY CREEK","1000 ACRES RANCH-FSE","2022-03-31T00:00:00.000","Food Service Establishment","Restaurant",,,,,"921197","Inspection","Comments only: 1. It is unclear if the ventilation inside the Red Dog Saloon Men's restroom is operational. Please follow up and report back to me no later than Friday, August 18th. 2. Discussed 6/19/17 complaint with operator. Kitchen manager, Makayla Baker is certified in a safe food handlers course. A line cook was recently fired. This employee was not performing safe kitchen practices and was therefore let go. The owner does not allow any animals into the dinning area. 3. All violations must be corrected and are subject to enforcement action if not addressed in a timely manner.","NY","43.425873","-73.874733"
"1000 ACRES RANCH","465 WARRENSBURG ROAD,  STONY CREEK","2017-08-16T00:00:00.000","15A","Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces","Not Critical Violation","2","0","10","Glens Falls District Office","WARREN","56-7521","465 WARRENSBURG ROAD","STONY CREEK","12878","565800","STONY CREEK","1000 ACRES RANCH-FSE","2022-03-31T00:00:00.000","Food Service Establishment","Restaurant",,,,,"921197","Inspection","Comments only: 1. It is unclear if the ventilation inside the Red Dog Saloon Men's restroom is operational. Please follow up and report back to me no later than Friday, August 18th. 2. Discussed 6/19/17 complaint with operator. Kitchen manager, Makayla Baker is certified in a safe food handlers course. A line cook was recently fired. This employee was not performing safe kitchen practices and was therefore let go. The owner does not allow any animals into the dinning area. 3. All violations must be corrected and are subject to enforcement action if not addressed in a timely manner.","NY","43.425873","-73.874733"
