"county","priority_area_order","priority_area","focus_area_order","focus_area","contractor","contract_information","contractor_main_address","phone_number","email"
"Bronx","5","Promote Mental Health and Prevention Substance Abuse","1","Promote Mental, Emotional and Behavioral (MEB) Well-Being in Communities","NYC DOH and Mental Hygiene (NFP)","Maternal, Infant and Early Childhood Home Visiting","2 Layfayette Street, New York, NY 100007","(212) 442-1764","llandau@health.nyc.gov"
"Bronx","5","Promote Mental Health and Prevention Substance Abuse","2","Prevent Substance Abuse And Other MEB Disorders","NYC DOH and Mental Hygiene (NFP)","Maternal, Infant and Early Childhood Home Visiting","2 Layfayette Street, New York, NY 100007","(212) 442-1764","llandau@health.nyc.gov"
"Bronx","5","Promote Mental Health and Prevention Substance Abuse","3","Stengthen Infrastructure Across Systems","NYC DOH and Mental Hygiene (NFP)","Maternal, Infant and Early Childhood Home Visiting","2 Layfayette Street, New York, NY 100007","(212) 442-1764","llandau@health.nyc.gov"
"Monroe","5","Promote Mental Health and Prevention Substance Abuse","1","Promote Mental, Emotional and Behavioral (MEB) Well-Being in Communities","Monroe County DOH (NFP)","Maternal, Infant and Early Childhood Home Visiting","691 St. Paul Street - 4th Floor, Rochester, NY 14605","(585) 753-5526","Dbaskin@monroecounty.gov"
"Monroe","5","Promote Mental Health and Prevention Substance Abuse","2","Prevent Substance Abuse And Other MEB Disorders","Monroe County DOH (NFP)","Maternal, Infant and Early Childhood Home Visiting","691 St. Paul Street - 4th Floor, Rochester, NY 14605","(585) 753-5526","Dbaskin@monroecounty.gov"
"Monroe","5","Promote Mental Health and Prevention Substance Abuse","3","Stengthen Infrastructure Across Systems","Monroe County DOH (NFP)","Maternal, Infant and Early Childhood Home Visiting","691 St. Paul Street - 4th Floor, Rochester, NY 14605","(585) 753-5526","Dbaskin@monroecounty.gov"
"Sullivan","5","Promote Mental Health and Prevention Substance Abuse","3","Stengthen Infrastructure Across Systems","Maternal Infant Services Network","Maternal Infant Health Collaborative","10 Little Britain Rd., Suite 203, Newburgh, NY 12550","(845) 637-4424","cfairweather@misn-ny.org"
"New York","5","Promote Mental Health and Prevention Substance Abuse","1","Promote Mental, Emotional and Behavioral (MEB) Well-Being in Communities","Northern Manhattan Perinatal Partnership","Maternal Infant Health Collaborative","127 W. 127th St 3rd Floor New York, NY 10027","(212) 665-2600 ","Guevaracamilo93@yahoo.com"
"Orange","5","Promote Mental Health and Prevention Substance Abuse","3","Stengthen Infrastructure Across Systems","Orange County Health Department","Maternal Infant Health Collaborative","124 Main St Goshen, NY 10924","(845) 568-5284","MStewart@orangecountygov.com"
"Oswego","5","Promote Mental Health and Prevention Substance Abuse","1","Promote Mental, Emotional and Behavioral (MEB) Well-Being in Communities","Suffolk County Health Department","Maternal Infant Health Collaborative","4 Udall Road West Islip, NY 11795","(631) 854-4030","ellen.roisman@suffolkcountyny.gov"
"Oneida","5","Promote Mental Health and Prevention Substance Abuse","2","Prevent Substance Abuse And Other MEB Disorders","Mohawk Valley Perinatal Network","Maternal Infant Health Collaborative","1000 Cornelia Street 2nd Fl. Utica, NY 13502","(315) 732-4657","aowens@newfamily.org"
"Orange","5","Promote Mental Health and Prevention Substance Abuse","2","Prevent Substance Abuse And Other MEB Disorders","Reach CNY","Maternal Infant Health Collaborative","1010 James Street , Syracuse, NY 13203","(315) 424-0009 x 111","antara.mitra@reachcny.org"
"Bronx","5","Promote Mental Health and Prevention Substance Abuse","2","Prevent Substance Abuse And Other MEB Disorders","Urban Health Plan","Maternal Infant Health Collaborative","1065 Southern Blvd., Bronx, NY 10459","(718) 589-2440 ext 3114","colette.sturgis@urbanhealthplan.org"
"Erie","5","Promote Mental Health and Prevention Substance Abuse","3","Stengthen Infrastructure Across Systems","Buffalo Prenatal-Perinatal Network","Maternal Infant Health Collaborative","625 Delaware Ave., Suite 410, Buffalo, NY 14202","(716) 884-6711","mkh@bppn.org"
"Ulster","5","Promote Mental Health and Prevention Substance Abuse","2","Prevent Substance Abuse And Other MEB Disorders","Maternal Infant Services Network","Maternal Infant Health Collaborative","10 Little Britain Rd., Suite 203, Newburgh, NY 12550","(845) 637-4424","cfairweather@misn-ny.org"
"Rockland","5","Promote Mental Health and Prevention Substance Abuse","1","Promote Mental, Emotional and Behavioral (MEB) Well-Being in Communities","Children's Health & Research Foundation/Lower Hudson Valley Perinatal Network","Maternal Infant Health Collaborative","22 Saw Mill River Road, 3rd Flr., Valhalla, NY 10595","(914) 493-6435","hunter-grantc@lhvpn.net"
