"report_year","measurement_year","payer","plan_name","plan_id","cg_higher_domain","cg_domain","domain_rating","domain","sub_domain","measuredescription","measure","region","critical_value","average_critical_value","domain_scores","mean_of_domain_scores","standard_deviation_of_domain_scores","total_stars","mean_of_total_stars","standard_deviation_of_total_stars"
"2021","2020","Commercial HMO","Highmark Western and Northeastern New York, Inc.","1140685","Quality of Care Provided to Members with Illness","Behavioral Health","2","Behavioral Health","Child and Adolescent Behavioral Health","Follow-up for Children Prescribed ADHD Medication-Initiation and Continuation (Composite)","F/U for New ADHD Med","Western","2.683906787","2.701445115","-0.785359944","0.121269468","0.866456247","27","27.9375","6.315725838"
"2021","2020","Commercial HMO","CDPHP","1090384","Quality of Care Provided to Members with Illness","Diabetes Care","4","Adult Health","Managing Diabetes Outcomes for Adults","Managing Diabetes Outcomes -Poor HbA1c Control","Diabetes Poor HbA1c","Northeast","1.96","1.96","2.4936228","-0.0043473","2.41385057","39","27.9375","6.315725838"
"2021","2020","Commercial HMO","Univera Healthcare","1040678","Quality of Care Provided to Members with Illness","Care for Respiratory Conditions","2","Adult Health","Managing Respiratory Conditions for Adults","Asthma Medication Ratio (Ages 5-64)","ASA Med Ratio 5-64yr","Western","2.727237457","2.705370539","-1.311426038","-0.033751","1.330717215","27","27.9375","6.315725838"
"2021","2020","Commercial HMO","MVP Health Care","1080383","Preventive and Well-Care For Adults and Children","Women's Preventive Care","2","Women's Health","Preventive Care for Women","Cervical Cancer Screening","Cervical Cancer Screen","Western","1.96","2.471362825","-3.306264351","0.697864076","3.109647985","22","27.9375","6.315725838"
"2021","2020","Commercial HMO","Highmark Western and Northeastern New York, Inc.","1140685","Preventive and Well-Care For Adults and Children","Child and Adolescent Care","4","Child and Adolescent Health","Child Preventive Care","Child and Adolescent Well-Care Visits","Child and Adol WC Visits","Northeast","2.72701825","2.266870697","3.242958402","-0.065315062","3.459053137","27","27.9375","6.315725838"
"2021","2020","Commercial HMO","HIP (EmblemHealth)","1050178","Preventive and Well-Care For Adults and Children","Child and Adolescent Care","2","Child and Adolescent Health","Preventive Counseling for Children and Adolescents","Weight Assessment and Counseling for Children/Adolescents (Composite)","Weight Assess & Counsel","NYC","1.96","2.266870697","-4.822987626","-0.065315062","3.459053137","23","27.9375","6.315725838"
"2021","2020","Commercial HMO","Univera Healthcare","1040678","Quality of Care Provided to Members with Illness","Diabetes Care","3","Adult Health","Monitoring Diabetes for Adults","Monitoring Diabetes - Dilated Eye Exam","Diabetes Eye Exam","Western","1.96","1.96","-0.321220783","-0.0043473","2.41385057","27","27.9375","6.315725838"
"2021","2020","Commercial HMO","Univera Healthcare","1040678","Quality of Care Provided to Members with Illness","Diabetes Care","3","Adult Health","Managing Diabetes Outcomes for Adults","Managing Diabetes Outcomes -Poor HbA1c Control","Diabetes Poor HbA1c","Western","1.96","1.96","-0.321220783","-0.0043473","2.41385057","27","27.9375","6.315725838"
"2021","2020","Commercial HMO","MVP Health Care","1080383","Member Experience with Access and Service","Experience with Adult Care","3","Experience with Care","Satisfaction with Experience of Care for Adults","Rating of Overall Healthcare","Rating of Healthcare","Western","1.894578605","1.894578605","-0.189456148","0","0.619296789","22","27.9375","6.315725838"
"2021","2020","Commercial HMO","Highmark Western and Northeastern New York, Inc.","1140685","Quality of Care Provided to Members with Illness","Behavioral Health","2","Behavioral Health","Behavioral Health","Antidepressant Medication Management-84 days and 180 days (Composite)","Antidep Med Mgmt","Northeast","2.727105667","2.701445115","-0.785359944","0.121269468","0.866456247","27","27.9375","6.315725838"
"2021","2020","Commercial HMO","Highmark Western and Northeastern New York, Inc.","1140685","Member Experience with Access and Service","Experience with Adult Care","2","Experience with Care","Satisfaction with Access to Care and Health Plan for Adults","Getting Care Needed","Getting Care Needed","Western","1.894578605","1.894578605","-0.516312104","0","0.619296789","27","27.9375","6.315725838"
"2021","2020","Commercial HMO","CDPHP","1090384","Quality of Care Provided to Members with Illness","Behavioral Health","5","Behavioral Health","Child and Adolescent Behavioral Health","Follow-up for Children Prescribed ADHD Medication-Initiation and Continuation (Composite)","F/U for New ADHD Med","Hudson Valley","2.683906787","2.701445115","1.559667209","0.121269468","0.866456247","39","27.9375","6.315725838"
"2021","2020","Commercial HMO","CDPHP","1090384","Preventive and Well-Care For Adults and Children","Maternal Care","4","Women's Health","Preventive Care for Women","Postpartum Care","Postpartum Care","Northeast","1.96","1.96","4.938167945","-0.119769995","4.078413215","39","27.9375","6.315725838"
"2021","2020","Commercial HMO","CDPHP","1090384","Quality of Care Provided to Members with Illness","Cardiovascular Care","4","Adult Health","Managing Cardiovascular Conditions for Adults","Controlling High Blood Pressure","Controlling High BP","Central","1.96","2.343644369","3.63576557","0.107494937","3.284848391","39","27.9375","6.315725838"
"2021","2020","Commercial HMO","Univera Healthcare","1040678","Preventive and Well-Care For Adults and Children","Maternal Care","3","Women's Health","Preventive Care for Women","Timeliness of Prenatal Care","Prenatal Care","Western","1.96","1.96","1.284714181","-0.119769995","4.078413215","27","27.9375","6.315725838"
"2021","2020","Commercial HMO","Univera Healthcare","1040678","Member Experience with Access and Service","Experience with Adult Care","3","Experience with Care","Satisfaction with Access to Care and Health Plan for Adults","Rating of Health Plan","Rating of Health Plan","Western","1.894578605","1.894578605","-0.063457784","0","0.619296789","27","27.9375","6.315725838"
"2021","2020","Commercial HMO","Univera Healthcare","1040678","Member Experience with Access and Service","Experience with Adult Care","3","Provider Network","Provider Network","Satisfaction with Personal Doctor","Satisfaction w/PCP","Western","1.894578605","1.894578605","-0.063457784","0","0.619296789","27","27.9375","6.315725838"
"2021","2020","Commercial HMO","Univera Healthcare","1040678","Member Experience with Access and Service","Experience with Adult Care","3","Provider Network","Provider Network","Satisfaction with Specialist","Satisfaction w/Spec","Western","1.894578605","1.894578605","-0.063457784","0","0.619296789","27","27.9375","6.315725838"
"2021","2020","Commercial HMO","Univera Healthcare","1040678","Preventive and Well-Care For Adults and Children","Child and Adolescent Care","3","Child and Adolescent Health","Child Preventive Care","Adolescent Immunization (Combo2)","Adol immu-Combo2","Western","1.96","2.266870697","-0.773783951","-0.065315062","3.459053137","27","27.9375","6.315725838"
"2021","2020","Commercial HMO","Empire BlueCross BlueShield HMO","1350196","Quality of Care Provided to Members with Illness","Diabetes Care","2","Adult Health","Monitoring Diabetes for Adults","Monitoring Diabetes - Dilated Eye Exam","Diabetes Eye Exam","NYC","1.96","1.96","-1.762450718","-0.0043473","2.41385057","22.5","27.9375","6.315725838"
"2021","2020","Commercial HMO","Empire BlueCross BlueShield HMO","1350196","Quality of Care Provided to Members with Illness","Behavioral Health","4","Behavioral Health","Behavioral Health","Follow-Up After Hospitalization for Mental Illness Within 7 Days","FUH within 7 days","NYC","2.683923251","2.727115222","0.121269468","0.121269468","0.866456247","22.5","27.9375","6.315725838"
"2021","2020","Commercial HMO","Highmark Western and Northeastern New York, Inc.","1140685","Quality of Care Provided to Members with Illness","Behavioral Health","2","Behavioral Health","Behavioral Health","Antidepressant Medication Management-84 days and 180 days (Composite)","Antidep Med Mgmt","Western","2.727105667","2.701445115","-0.785359944","0.121269468","0.866456247","27","27.9375","6.315725838"
"2021","2020","Commercial HMO","Highmark Western and Northeastern New York, Inc.","1140685","Preventive and Well-Care For Adults and Children","Maternal Care","3","Women's Health","Preventive Care for Women","Postpartum Care","Postpartum Care","Western","1.96","1.96","0.297320374","-0.119769995","4.078413215","27","27.9375","6.315725838"
"2021","2020","Commercial HMO","MVP Health Care","1080383","Preventive and Well-Care For Adults and Children","Adult Care","3","Adult Health","Managing Preventive Care for Adults","Flu Shot for Adults","Flu Shot for Adults","Central","1.894578605","1.932586295","-1.425609699","-1.402313199","1.253080037","22","27.9375","6.315725838"
"2021","2020","Commercial HMO","Highmark Western and Northeastern New York, Inc.","1140685","Quality of Care Provided to Members with Illness","Behavioral Health","2","Behavioral Health","Child and Adolescent Behavioral Health","Metabolic Monitoring for Children and Adolescents on Antipsychotics","MM for Kids on Antipsychs","Western","2.685165091","2.701445115","-0.785359944","0.121269468","0.866456247","27","27.9375","6.315725838"
