"site_name","room_suite","address","town_city","county_fips","county_name","state","zip_code","latitude","longitude","area_code","phone_number","designated_service","npi","license_number_facility","pfi","medicaid_provider","commercial_provider_indicator","medicaid_provider_indicator","chp_indicator","harp_indicator","medicaid_advantage_indicator","partial_caps_indicator","map_indicator","pace_indicator","fida_indicator","fidaidd_indicator","hivsnp_indicator","sip_pl_indicator","nysoh_standard_essential","nysoh_ep_plus_adult_vision","commercial_non_mco_medical","commercial_non_mco_medical_1","commercial_non_mco_medical_2","commercial_non_mco_medical_3","commercial_non_mco_medical_4","commercial_non_mco_medical_5","commercial_non_mco_medical_6","commercial_non_mco_medical_7","service_1","service_2","service_3","service_4","service_5","service_6","service_7","service_8","service_9","service_10","service_11","service_12","service_13","service_14","service_15","service_16","service_17","service_18","service_19","service_20","service_21","service_22","service_23","service_24","service_25","nysoh_medical_network","nysoh_medical_network_1","nysoh_medical_network_2","nysoh_medical_network_3","nysoh_medical_network_4","nysoh_medical_network_5","nysoh_medical_network_6","nysoh_medical_network_7","nysoh_medical_network_8","servicing_county_1","servicing_county_2","servicing_county_3","servicing_county_4","servicing_county_5","oasas_program_reporting_unit","oasas_provider_number","omh_id","plan_name","provider_network_data_system","quarter_year"
"TOMPKINS COUNTY MENTAL HEALTH SERVICES","NA","201 E GREEN ST","ITHACA","36109","Tompkins","NY","14850","42.438584","-76.496066","607","2746300","974","1588686596",,,"2996385","0","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","17","18","321","375","829","914","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","999","999","999","999","999",,,,"Molina Healthcare of New York, Inc.","86","Quarter4 2019"
"02 SOLUTIONS","NA","1406B ROUTE 9","CLIFTON PARK","36091","Saratoga","NY","12065","42.825185","-73.733752","518","3730202","307","1285632703",,,"2581831","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","83","95","113","115","999",,,,"Nascentia Health Options","91","Quarter4 2019"
"02 SOLUTIONS","NA","1406B ROUTE 9","CLIFTON PARK","36091","Saratoga","NY","12065","42.825185","-73.733752","518","3730202","307","1285632703",,,"2581831","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","21","35","39","57",,,,"Nascentia Health Options","91","Quarter4 2019"
"ELDERWOOD AT HORNELL","NA","1 BETHESDA DR","HORNELL","36101","Steuben","NY","14843","42.346187","-77.660521","607","3246990","680","1093101743","5034300N","3902","2994645","0","1","1","1","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","999","999","999","999","999",,,,"New York Quality Healthcare Corporation","44","Quarter4 2019"
"ELDERWOOD AT HORNELL","NA","1 BETHESDA DR","HORNELL","36101","Steuben","NY","14843","42.346187","-77.660521","607","3246990","664","1093101743","5034300N","3902","2994645","0","1","1","1","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","999","999","999","999","999",,,,"New York Quality Healthcare Corporation","44","Quarter4 2019"
"ELDERWOOD AT HORNELL","NA","1 BETHESDA DR","HORNELL","36101","Steuben","NY","14843","42.346187","-77.660521","607","3246990","660","1093101743","5034300N","3902","2994645","0","1","1","1","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","300","301","302","659","664","680","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","999","999","999","999","999",,,,"New York Quality Healthcare Corporation","44","Quarter4 2019"
"1 NATURAL WAY LLC","NA","4064 TECHNOLOGY DR","MAUMEE","39095","Lucas","OH","43537","41.567356","-83.700214","419","4911050","307","1740606409",,,"0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","999","999","999","999","999",,,,"Partners Health Plan","78","Quarter4 2019"
"1 NATURAL WAY, LLC","NA","4064 TECHNOLOGY DR","MAUMEE","39095","Lucas","OH","43537","41.567356","-83.700214","419","4911050","307","1740606409",,"999999","88888888","0","1","1","1","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","307","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","0","0","0","0","0","0","0","0","0","999","999","999","999","999",,,,"HealthPlus HP, LLC","128","Quarter4 2019"
"1 NATURAL WAY, LLC","NA","4064 TECHNOLOGY DR","MAUMEE","39095","Lucas","OH","43537","41.567356","-83.700214","888","9772229","307","1740606409","48181774","999999","99999999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","999","999","999","999","999",,,,"HealthNow New York Inc. : Empire plan","208","Quarter4 2019"
"1 NATURAL WAY, LLC","NA","4064 TECHNOLOGY DR","MAUMEE","39095","Lucas","OH","43537","41.567356","-83.700214","888","9772229","307","1740606409","48181774","999999","99999999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","999","999","999","999","999",,,,"HealthNow New York Inc. : Focus Select","213","Quarter4 2019"
