"county","priority_area_order","priority_area","focus_area_order","focus_area","contractor","contract_information","contractor_main_address","phone_number","email"
"Herkimer","4","Promote Healthy Women, Infants, and Children","2","Child Health","Herkimer County Department of Health","Children with Special Health Care Needs Program","10 Little Britain Rd., Suite 203, Newburgh, NY 12550","(315) 867-1176","cfairweather@misn-ny.org"
"Chautauqua","4","Promote Healthy Women, Infants, and Children","2","Child Health","Chautauqua County Department of Health","Children with Special Health Care Needs Program","7 North Erie Street Mayville NY 14757","(716) 753-4893","NicholsD@co.chautauqua.ny.us"
"New York","4","Promote Healthy Women, Infants, and Children","2","Child Health","New York City (NYC) County Department of Health","Children with Special Health Care Needs Program","Gotham Center,42-09 28th Street, CN 48,Long Island City,11101-4132","(347) 396-4669","ecurent1@health.nyc.gov"
"Albany","4","Promote Healthy Women, Infants, and Children","1","Maternal and Infant Health","Albany Medical Center Hospital - Regional Perinatal Center","Regional Perinatal Centers","43 New Scotland Avenue, Albany, NY 12208","(518) 262-3003","BossS@mail.amc.edu"
"Hamilton","4","Promote Healthy Women, Infants, and Children","2","Child Health","Hamilton County Department of Health","Children with Special Health Care Needs Program","PO Box 250 White Birch Lane,Indian Lake 12842","(518) 648-6497","penny.warrington.hcphns@frontier.com"
"Dutchess","4","Promote Healthy Women, Infants, and Children","2","Child Health","Dutchess County Department of Health","Children with Special Health Care Needs Program","85 Civic Center Plaza Suite 106,Poughkeepsie NY 12601","(845) 486-3522","jwright@dutchessny.gov"
"Albany","4","Promote Healthy Women, Infants, and Children","3","Reproductive, Preconception And Inter-Conception Health","Catholic Charities of Diocese of Albany","Successfully Transitioning Youth to Adolescence","27 North Main Avenue, Albany, NY 12203","(518) 482-8836","Peg@ccms.org"
"Albany","4","Promote Healthy Women, Infants, and Children","3","Reproductive, Preconception And Inter-Conception Health","Upper Hudson Planned Parenthood","Family Planning Program","855 Central Avenue , Albany, NY 12206","(518) 434-5678","chelly@uhpp.org"
"Steuben","4","Promote Healthy Women, Infants, and Children","2","Child Health","Steuben County Department of Health","Children with Special Health Care Needs Program","3 East Pulteney Square,Bath,NY,14810-1560","(607) 664-2148","lindag@co.steuben.ny.us"
"Orange","4","Promote Healthy Women, Infants, and Children","2","Child Health","Orange County Department of Health","Children with Special Health Care Needs Program","130 Broadway, Newburgh, NY 12550","(845) 568-5240","acraig@co.orange.ny.us"
"Fulton","4","Promote Healthy Women, Infants, and Children","2","Child Health","Fulton County Department of Health","Children with Special Health Care Needs Program","2714 State Highway 29 PO BOX 415 Johnstown NY 12095-0415","(518) 736-5720","e.hunt@co.fulton.ny.us"
"Orange","4","Promote Healthy Women, Infants, and Children","1","Maternal and Infant Health","Cornerstone Family Healthcare, Inc.","Special Supplemental Food Program for Women, Infants, and Children (WIC)","147 Lake Street
Newburgh, NY 12550","(845) 568-5473","LMuller@ghvfhc.org"
"Allegany","4","Promote Healthy Women, Infants, and Children","2","Child Health","Allegany County Department of Health","Children with Special Health Care Needs Program","7 Court Street, Room 30, Country Office Belmont NY 14813-1076","(585) 268-9259","reynolRD@alleganyco.com"
"Oneida","4","Promote Healthy Women, Infants, and Children","2","Child Health","Oneida County Department of Health","Children with Special Health Care Needs Program","800 Park Ave, 8th Floor, Utica, NY 13501","(315) 798-5655","bpellegri@ocgov.net"
"Allegany","4","Promote Healthy Women, Infants, and Children","2","Child Health","SUNY Research Foundation","Keeping NY Kids Alive","P.O. Box 9 Albany, NY 12201-0009","(518) 434-7065",
"Allegany","4","Promote Healthy Women, Infants, and Children","3","Reproductive, Preconception And Inter-Conception Health","ACCORD","Comprehensive Adolescent Pregnancy Prevention","84 Schuyler Street , Belmont, NY 14813","(585) 268-7605","tbroshar@accordcorp.org"
"Allegany","4","Promote Healthy Women, Infants, and Children","3","Reproductive, Preconception And Inter-Conception Health","Allegany County Health Department","Family Planning Program","County Office Building 7 Court Street, Belmont, NY 14813","(585) 268-9491","ballenl@alleganyco.com"
"Broome","4","Promote Healthy Women, Infants, and Children","2","Child Health","Broome Department of Health","Children with Special Health Care Needs Program","225 Front Street Binghamton NY 13905","(607) 778-2851","esmith@co.broome.ny.us"
"Cattaraugus","4","Promote Healthy Women, Infants, and Children","2","Child Health","Cattaraugus Department of Health","Children with Special Health Care Needs Program","1 Leo Moss Drive Suite 4010 Olean NY 14760","(716) 701-3375","grparks@cattco.org"
"Seneca","4","Promote Healthy Women, Infants, and Children","2","Child Health","Seneca County Department of Health","Children with Special Health Care Needs Program","31 Thurber Drive,Suite 1,Waterloo,NY,13165-1660","(315) 539-1938","rbarto@co.seneca.ny.us"
"Schenectady","4","Promote Healthy Women, Infants, and Children","2","Child Health","Schenectady County Department of Health","Children with Special Health Care Needs Program","107 Nott Terrace,Suite 306,Schenectady,NY12308","(518) 386-2815","lynn.streifert@schenectadycounty.com"
"Monroe","4","Promote Healthy Women, Infants, and Children","2","Child Health","Monroe County Department of Health","Children with Special Health Care Needs Program","691 St. Paul Street - 4th Floor, Rochester, NY 14605","(585) 753-5209","dbaskin@monroecounty.gov"
"Bronx","4","Promote Healthy Women, Infants, and Children","2","Child Health","NYC DOH and Mental Hygiene","Nurse Family Partnership- (TANF Funding)","158 East 115th Street , New York, NY 10029","(646) 672-2892","rholderm@health.nyc.gov"
"Bronx","4","Promote Healthy Women, Infants, and Children","1","Maternal and Infant Health","New York Health and Hospital Corporation - Bellevue HC and Jacobi - Regional Perinatal Center","Regional Perinatal Centers","462 First Avenue 8W31, New York, NY 10016","(212) 562-6438","zina.jones@bellevue.nychhc.org"
"Bronx","4","Promote Healthy Women, Infants, and Children","1","Maternal and Infant Health","NYC DOH and Mental Hygiene","Nurse Family Partnership- (TANF Funding)","158 East 115th Street , New York, NY 10029","(646) 672-2892","rholderm@health.nyc.gov"
"Bronx","4","Promote Healthy Women, Infants, and Children","1","Maternal and Infant Health","NYC DOH and Mental Hygiene (NFP)","Maternal, Infant and Early Childhood Home Visiting","2 Layfayette Street, New York, NY 100007","(212) 442-1764","llandau@health.nyc.gov"
"Bronx","4","Promote Healthy Women, Infants, and Children","2","Child Health","Montefiore Medical Center","School Based Health Centers","3380 Reservoir Oval, LLC-Upper Level Bronx NY 10467","(718) 696-4070","dappel@montefiore.org"
"Bronx","4","Promote Healthy Women, Infants, and Children","2","Child Health","Morris Heights Health Center","School Based Health Centers","Health Connections III, 2306 Walton Avenue, Bronx, NY 10468","(718) 483-1240","alida@mhhc.org"
"Albany","4","Promote Healthy Women, Infants, and Children","2","Child Health","Albany County Department of Health","Children with Special Health Care Needs Program","175 Green Street, Albany, NY 12202","(518) 447-4814","Deirdre.Romanski@albanycounty.com"
"Clinton","4","Promote Healthy Women, Infants, and Children","2","Child Health","Clinton County Department of Health","Children with Special Health Care Needs Program","133 Margaret Street, Plattsburgh, NY 12901","(518) 565-4848","swieszj@co.clinton.ny.us"
"Bronx","4","Promote Healthy Women, Infants, and Children","2","Child Health","Morrisania Diagnostic & Treatment Center","School Based Health Centers","1225 Gerard Ave Bronx, NY 10452","(718) 960-2201","Frances.Franzone@nychhc.org"
"Bronx","4","Promote Healthy Women, Infants, and Children","2","Child Health","New York Presbyterian Hospital","School Based Health Centers","60 Haven Avenue B-3 New York NY 10032","(212) 304-6076","jag9007@nyp.org"
"Bronx","4","Promote Healthy Women, Infants, and Children","2","Child Health","NYC DOH and Mental Hygiene (NFP)","Maternal, Infant and Early Childhood Home Visiting","2 Layfayette Street, New York, NY 100007","(646) 672-2892","rholderm@health.nyc.gov"
"Bronx","4","Promote Healthy Women, Infants, and Children","2","Child Health","SUNY Research Foundation","Keeping NY Kids Alive","P.O. Box 9 Albany, NY 12201-0009","(518) 434-7065",
"Bronx","4","Promote Healthy Women, Infants, and Children","3","Reproductive, Preconception And Inter-Conception Health","Boronx Lebanon Hospital","Successfully Transitioning Youth to Adolescence","1650 Selwyn Avenue, Bronx, NY 10457","(718) 960-1020","Dstrom@bronxleb.org"
"Bronx","4","Promote Healthy Women, Infants, and Children","3","Reproductive, Preconception And Inter-Conception Health","Children's Aid Society","Successfully Transitioning Youth to Adolescence","105 East 22nd Street, New York, NY 10010","(212) 949-4917","angelar@childrensaidsociety.org"
"Bronx","4","Promote Healthy Women, Infants, and Children","3","Reproductive, Preconception And Inter-Conception Health","Claremont Neighborhood Center","Personal Responsibility Education Program","489 East 169th Street , Bronx, NY 10456","(718) 588-1000","ajones@claremontcenter.org"
"Bronx","4","Promote Healthy Women, Infants, and Children","3","Reproductive, Preconception And Inter-Conception Health","Committee for Hispanic Children and Families, Inc.","Successfully Transitioning Youth to Adolescence","110 William Street, Suite 1802, New York, NY 10038","(212) 206-1090","bleighton@chcfinc.org"
"Bronx","4","Promote Healthy Women, Infants, and Children","3","Reproductive, Preconception And Inter-Conception Health","Community HealthCare Network","Family Planning Program","79 Madison Avenue, 6th Floor , New York, NY 10016","(212) 366-4500","cabate@chnnyc.org"
"Bronx","4","Promote Healthy Women, Infants, and Children","3","Reproductive, Preconception And Inter-Conception Health","Morris Heights Health Center","Family Planning Program","85 W Burnside Ave , Bronx, NY 10453","(718) 716-4400","vgreenland@mhhc.org"
"Bronx","4","Promote Healthy Women, Infants, and Children","3","Reproductive, Preconception And Inter-Conception Health","Mount Sinai Adolescent Health Center","Comprehensive Adolescent Pregnancy Prevention","Adolescent Health Center 312-320 East 94th Street, New York, NY 10128","(212) 423-2900","Angela.Diaz@mountsinai.org"
"Ontario","4","Promote Healthy Women, Infants, and Children","2","Child Health","Ontario County Department of Health","Children with Special Health Care Needs Program","3019 County Complex Drive,Canandaigua,NY14424","(585) 396-4546","deborah.gillmor-mroz@co.ontario.ny.us"
"Bronx","4","Promote Healthy Women, Infants, and Children","3","Reproductive, Preconception And Inter-Conception Health","NYC DOH and Mental Hygiene","Nurse Family Partnership- (TANF Funding)","158 East 115th Street , New York, NY 10029","(646) 672-2892","rholderm@health.nyc.gov"
"Bronx","4","Promote Healthy Women, Infants, and Children","3","Reproductive, Preconception And Inter-Conception Health","NYC DOH and Mental Hygiene (NFP)","Maternal, Infant and Early Childhood Home Visiting","2 Layfayette Street, Floor 8 New York, NY 100007","(646) 672-2892","rholderm@health.nyc.gov"
"Bronx","4","Promote Healthy Women, Infants, and Children","3","Reproductive, Preconception And Inter-Conception Health","Planned Parenthood NYC","Family Planning Program","26 Bleecker Street , New York, NY 10012-2413","(212) 274-7220","joan.malin@ppnyc.org"
"Bronx","4","Promote Healthy Women, Infants, and Children","3","Reproductive, Preconception And Inter-Conception Health","St. Barnabas Hospital","Comprehensive Adolescent Pregnancy Prevention","4422 Third Avenue , Bronx, NY 10457","(718) 960-9454","pbelair@sbhny.org"
