School District,School,County,Type of Organization,Number of Outlets,Any Buildings with Lead-Free Plumbing?,Previously Sampled Outlets,Outlets Waiver Requested,Waivers Granted,Outlets Sampled After Regulation,Sampling Complete,Sampling Completion Date,"Number of Outlets, Result ≤ 15 ppb","Number of Outlets, Result > 15 ppb",Out of Service,All Results Received	,Date All Results Received,School Website	,BEDS Code,School Street ,School City,School State,School Zip Code,Date Sampling Updated,Date Results Updated,County Location,Location,Counties
YONKERS CITY SCHOOLS,CROSS HILL ACADEMY,Westchester,Public School,99,No,23,0,0,76,Yes,,94,5,Yes,Yes,11/26/2019,www.yonkerspublicschools.org,662300010036,,YONKERS,NY,10703,12/30/2019,12/30/2019,41 039278,"BOLMER AVE
YONKERS, NY 10703
(40.96291692700004, -73.87899632799997)",
YONKERS CITY SCHOOLS,GORTON H S,Westchester,Public School,90,No,32,0,0,79,Yes,,90,0,No,Yes,01/14/2019,www.yonkerspublicschools.org,662300010037,,YONKERS,NY,10701,12/30/2019,12/30/2019,41 039278,"100 SHONNARD PL
YONKERS, NY 10701
(40.95069962800005, -73.88623644499995)",
YONKERS CITY SCHOOLS,HOSTOS MICROSOCIETY SCHOOL,Westchester,Public School,80,No,29,0,0,30,Yes,,80,0,No,Yes,12/24/2019,yonkerspublicschools.org,662300010019,,YONKERS,NY,10705,12/30/2019,12/30/2019,41 039278,"75 MORRIS ST
YONKERS, NY 10705
(40.922119476000034, -73.90015059599995)",
YONKERS CITY SCHOOLS,MONTESSORI SCHOOL 31,Westchester,Public School,44,No,21,0,0,25,Yes,,43,1,Yes,Yes,06/28/2019,www.yonkerspublicschools.org,662300010004,,YONKERS,NY,10710,12/30/2019,12/30/2019,41 039278,"7 RAVENS WOOD RD
YONKERS, NY 10710
(40.95312842900006, -73.84779638199996)",
YONKERS CITY SCHOOLS,MUSEUM  25,Westchester,Public School,51,No,24,0,0,25,Yes,,51,0,No,Yes,11/08/2019,www.yonkerspublicschools.org,662300010025,,YONKERS,NY,10701,12/30/2019,12/30/2019,41 039278,"579 WARBURTON AVE
YONKERS, NY 10701
(40.956404322000026, -73.89514415899998)",
YONKERS CITY SCHOOLS,SAUNDERS TR + TECH H S,Westchester,Public School,159,No,50,0,0,131,Yes,,157,2,Yes,Yes,04/29/2019,yonkerspublicschools.org,662300010040,,YONKERS,NY,10701,12/30/2019,12/30/2019,41 039278,"183 PALMER RD
YONKERS, NY 10701
(40.94266858200007, -73.87050273199998)",
YONKERS CITY SCHOOLS,SCHOLASTIC ACADEMY,Westchester,Public School,50,No,5,0,0,45,Yes,,50,0,No,Yes,05/29/2019,www.yonkerspublicschools.org,662300010018,,YONKERS,NY,10701,12/30/2019,12/30/2019,41 039278,"77 PARK HILL AVE
YONKERS, NY 10701
(40.92781200200005, -73.89239250899993)",
YONKERS CITY SCHOOLS,SCHOOL 13,Westchester,Public School,111,No,55,0,0,50,Yes,,110,1,Yes,Yes,06/28/2019,www.yonkerspublicschools.org,662300010013,,YONKERS,NY,10705,07/16/2019,12/30/2019,41 039278,"MCLEAN AVE
YONKERS, NY 10705
(40.90975431800007, -73.88899350699995)",
YONKERS CITY SCHOOLS,SCHOOL 22,Westchester,Public School,56,No,15,0,0,43,No,,56,0,No,Yes,11/21/2019,www.yonkerspublicschools.org,662300010022,,YONKERS,NY,10704,02/26/2019,12/30/2019,41 039278,"NEPPERHAN AVE
YONKERS, NY 10704
(40.958189911000034, -73.87299238199995)",
YONKERS CITY SCHOOLS,SCHOOL  5,Westchester,Public School,62,No,20,0,0,40,Yes,,61,1,Yes,Yes,11/19/2019,www.yonkerspublicschools.org,662300010005,,YONKERS,NY,10701,12/30/2019,12/30/2019,41 039278,"LOCKWOOD AVE
YONKERS, NY 10701
(40.94814747000004, -73.87041883899997)",
YONKERS CITY SCHOOLS,YONKERS HIGH SCHOOL,Westchester,Public School,125,No,36,0,0,138,Yes,,120,5,Yes,Yes,05/29/2019,www.yonkerspublicschools.org,662300010048,,YONKERS,NY,10705,12/30/2019,12/30/2019,41 039278,"ROCKLAND AVE & WLLCE PW
YONKERS, NY 10705
(40.92331768200006, -73.88774915099998)",
