"year","region","race_or_ethnicity","sex","age_group","firearm_deaths","alcohol_related_deaths","suicide_deaths"
"2019","ROS","Other Non Hispanic","F","<1","0","0","0"
"2019","ROS","White Non Hispanic","F","20-24","4","3","12"
"2019","NYC","Other Non Hispanic","F","25-34","0","2","11"
"2019","ROS","Other Non Hispanic","M","65-74","0","8","0"
"2019","NYC","White Non Hispanic","F","<1","0","0","0"
"2019","ROS","Hispanic","F","85+","0","1","0"
"2019","NYC","Hispanic","F","10-19","0","0","2"
"2019","ROS","Other Non Hispanic","F","20-24","0","1","0"
"2019","ROS","White Non Hispanic","M","20-24","21","15","64"
"2019","NYC","Not Stated","F","75-84","0","2","0"
"2019","NYC","Black Non Hispanic","F","45-54","1","36","3"
"2019","NYC","Black Non Hispanic","M","10-19","11","0","1"
"2019","ROS","Black Non Hispanic","F","65-74","1","11","0"
"2019","ROS","Hispanic","M","25-34","7","13","10"
"2019","ROS","Not Stated","F","10-19","1","0","0"
"2019","NYC","Hispanic","M","1-9","0","0","0"
"2019","ROS","Other Non Hispanic","M","45-54","1","11","3"
"2019","NYC","Black Non Hispanic","F","Total","5","160","19"
"2019","NYC","Other Non Hispanic","F","1-9","0","0","0"
"2019","NYC","White Non Hispanic","F","1-9","0","0","0"
"2019","ROS","Not Stated","F","75-84","0","1","0"
"2019","ROS","Other Non Hispanic","F","75-84","0","1","0"
"2019","NYC","White Non Hispanic","M","45-54","3","73","30"
"2019","NYC","Black Non Hispanic","M","45-54","9","66","7"
"2019","NYC","White Non Hispanic","F","75-84","0","27","5"
"2019","NYC","Not Stated","F","35-44","0","1","2"
"2019","ROS","Not Stated","M","45-54","0","3","1"
"2019","ROS","Black Non Hispanic","F","25-34","4","3","5"
"2019","ROS","Hispanic","F","25-34","0","4","2"
"2019","ROS","Black Non Hispanic","M","Total","104","209","38"
"2019","ROS","Hispanic","M","65-74","1","15","0"
"2019","NYC","Hispanic","M","Total","48","549","78"
"2019","NYC","Black Non Hispanic","M","65-74","1","81","2"
"2019","ROS","Not Stated","M","Unknown","1","0","1"
"2019","ROS","Other Non Hispanic","F","65-74","0","3","1"
"2019","ROS","Other Non Hispanic","F","25-34","0","1","0"
"2019","ROS","Not Stated","F","85+","0","0","0"
"2019","NYC","Other Non Hispanic","F","10-19","0","0","0"
"2019","ROS","White Non Hispanic","F","75-84","1","123","9"
"2019","NYC","Other Non Hispanic","F","75-84","0","5","4"
"2019","ROS","White Non Hispanic","F","65-74","4","214","24"
"2019","NYC","White Non Hispanic","M","35-44","3","56","30"
"2019","ROS","Hispanic","M","75-84","0","10","0"
"2019","NYC","Not Stated","M","<1","0","0","0"
"2019","ROS","Not Stated","F","Total","1","10","2"
"2019","ROS","White Non Hispanic","F","85+","3","60","4"
"2019","NYC","White Non Hispanic","F","55-64","0","47","11"
"2019","NYC","White Non Hispanic","M","25-34","3","16","28"
"2019","NYC","Black Non Hispanic","F","55-64","0","50","2"
"2019","NYC","Not Stated","M","65-74","0","16","1"
"2019","ROS","Black Non Hispanic","M","85+","0","4","0"
"2019","NYC","Not Stated","F","10-19","0","1","2"
"2019","NYC","Not Stated","M","10-19","0","0","2"
"2019","NYC","Not Stated","F","20-24","0","0","0"
"2019","ROS","Hispanic","F","10-19","2","0","3"
"2019","NYC","White Non Hispanic","M","Unknown","0","0","0"
"2019","ROS","Hispanic","M","Total","29","181","55"
"2019","ROS","Hispanic","F","Total","3","35","10"
"2019","ROS","Black Non Hispanic","F","Total","12","70","17"
"2019","ROS","Other Non Hispanic","M","<1","0","0","0"
"2019","ROS","Hispanic","F","1-9","0","0","0"
"2019","NYC","Hispanic","M","85+","0","10","1"
"2019","ROS","Hispanic","M","55-64","1","44","4"
"2019","ROS","Hispanic","F","75-84","0","5","0"
"2019","NYC","Black Non Hispanic","F","1-9","0","0","0"
"2019","ROS","Not Stated","M","10-19","0","0","0"
"2019","ROS","Not Stated","F","25-34","0","0","1"
"2019","NYC","Black Non Hispanic","F","25-34","0","5","4"
"2019","NYC","Black Non Hispanic","M","35-44","23","28","4"
"2019","NYC","Black Non Hispanic","M","85+","0","6","0"
"2019","NYC","Hispanic","F","75-84","0","21","0"
"2019","ROS","White Non Hispanic","F","10-19","0","0","11"
"2019","ROS","Other Non Hispanic","M","35-44","0","7","3"
"2019","NYC","Black Non Hispanic","M","75-84","1","25","2"
"2019","NYC","Hispanic","F","25-34","0","5","4"
"2019","ROS","White Non Hispanic","M","10-19","13","1","38"
"2019","ROS","Other Non Hispanic","M","10-19","2","0","3"
"2019","ROS","White Non Hispanic","M","Total","363","1750","805"
"2019","ROS","Black Non Hispanic","F","55-64","1","25","0"
"2019","NYC","Other Non Hispanic","M","25-34","1","5","12"
"2019","NYC","Other Non Hispanic","F","55-64","0","1","6"
"2019","ROS","White Non Hispanic","M","65-74","50","462","87"
"2019","NYC","Other Non Hispanic","F","<1","0","0","0"
"2019","NYC","White Non Hispanic","M","10-19","2","0","3"
"2019","ROS","White Non Hispanic","F","35-44","3","52","30"
"2019","NYC","Other Non Hispanic","M","<1","0","0","0"
"2019","NYC","White Non Hispanic","F","45-54","1","23","12"
"2019","NYC","Other Non Hispanic","M","55-64","2","16","8"
"2019","NYC","Other Non Hispanic","M","10-19","1","0","1"
"2019","NYC","White Non Hispanic","M","65-74","5","102","22"
"2019","ROS","Not Stated","M","85+","0","0","0"
"2019","ROS","Not Stated","M","Total","3","13","9"
"2019","ROS","White Non Hispanic","M","75-84","40","192","50"
"2019","ROS","White Non Hispanic","M","35-44","42","123","117"
"2019","ROS","Not Stated","F","55-64","0","0","1"
"2019","ROS","Other Non Hispanic","F","55-64","0","5","0"
"2019","ROS","Other Non Hispanic","M","20-24","1","0","4"
"2019","NYC","Hispanic","M","10-19","0","0","4"
"2019","NYC","Not Stated","M","Total","8","82","20"
"2019","NYC","Not Stated","M","75-84","0","5","1"
"2019","ROS","Black Non Hispanic","M","10-19","11","0","2"
"2019","NYC","Not Stated","M","55-64","2","22","6"
"2019","NYC","Not Stated","M","45-54","0","17","3"
"2019","ROS","Black Non Hispanic","M","20-24","19","2","8"
"2019","ROS","Black Non Hispanic","M","65-74","5","46","2"
"2019","NYC","Not Stated","M","25-34","3","5","5"
"2019","NYC","Black Non Hispanic","F","75-84","0","10","0"
"2019","ROS","Hispanic","M","85+","1","5","1"
"2019","NYC","Hispanic","M","25-34","26","46","17"
"2019","ROS","Black Non Hispanic","F","85+","0","0","0"
"2019","ROS","Not Stated","F","<1","0","0","0"
"2019","ROS","Hispanic","F","65-74","0","6","0"
"2019","NYC","White Non Hispanic","M","75-84","3","32","11"
"2019","NYC","White Non Hispanic","F","85+","0","7","1"
"2019","NYC","Hispanic","F","Total","1","154","24"
"2019","ROS","Black Non Hispanic","F","10-19","1","0","2"
"2019","ROS","Black Non Hispanic","M","<1","0","0","0"
"2019","NYC","Hispanic","F","85+","0","8","0"
"2019","ROS","Black Non Hispanic","F","75-84","0","8","0"
"2019","ROS","Black Non Hispanic","F","<1","0","0","0"
"2019","ROS","Hispanic","M","45-54","5","49","10"
"2019","ROS","White Non Hispanic","M","25-34","32","72","105"
"2019","ROS","Hispanic","F","20-24","1","1","1"
"2019","ROS","Hispanic","M","<1","0","0","0"
"2019","ROS","Hispanic","M","20-24","5","4","10"
"2019","NYC","White Non Hispanic","F","25-34","0","10","8"
"2019","NYC","Other Non Hispanic","M","1-9","0","0","0"
"2019","ROS","Hispanic","M","1-9","0","0","0"
"2019","ROS","Hispanic","M","35-44","6","40","15"
"2019","ROS","Hispanic","F","55-64","0","10","1"
"2019","ROS","Hispanic","M","10-19","3","0","5"
"2019","ROS","White Non Hispanic","F","55-64","7","213","42"
"2019","ROS","Hispanic","M","Unknown","0","1","0"
"2019","ROS","Not Stated","F","1-9","0","0","0"
"2019","ROS","Not Stated","M","25-34","1","0","0"
"2019","ROS","Not Stated","M","20-24","0","1","2"
"2019","ROS","Not Stated","F","35-44","0","1","0"
"2019","ROS","Hispanic","F","35-44","0","2","0"
"2019","NYC","Black Non Hispanic","F","20-24","1","1","3"
"2019","ROS","Not Stated","M","75-84","0","1","0"
"2019","NYC","Black Non Hispanic","M","55-64","2","125","10"
