"report_year","measurement_year","payer","plan_id","plan_name","region","county","member_services","website","product_availability","ncqa_accreditation","statewide_enrollment"
"2020-2021","2020","Commercial HMO","1040678","Univera Healthcare","Western","Orleans","1-800-427-8490","http://www.univerahealthcare.com","Yes","Accredited","NA"
"2020-2021","2020","Commercial HMO","1040678","Univera Healthcare","Western","Ontario","1-800-427-8490","http://www.univerahealthcare.com",,"Accredited","NA"
"2020-2021","2020","Commercial HMO","1040678","Univera Healthcare","Western","Wayne","1-800-427-8490","http://www.univerahealthcare.com",,"Accredited","NA"
"2020-2021","2020","Commercial HMO","1040678","Univera Healthcare","Western","Yates","1-800-427-8490","http://www.univerahealthcare.com",,"Accredited","NA"
"2020-2021","2020","Commercial HMO","1040678","Univera Healthcare","Western","Livingston","1-800-427-8490","http://www.univerahealthcare.com",,"Accredited","NA"
"2020-2021","2020","Commercial HMO","1040678","Univera Healthcare","Western","Chautauqua","1-800-427-8490","http://www.univerahealthcare.com","Yes","Accredited","NA"
"2020-2021","2020","Commercial HMO","1040678","Univera Healthcare","Western","Chemung","1-800-427-8490","http://www.univerahealthcare.com",,"Accredited","NA"
"2020-2021","2020","Commercial HMO","1040678","Univera Healthcare","Western","Wyoming","1-800-427-8490","http://www.univerahealthcare.com","Yes","Accredited","NA"
"2020-2021","2020","Commercial HMO","1040678","Univera Healthcare","Western","Steuben","1-800-427-8490","http://www.univerahealthcare.com",,"Accredited","NA"
"2020-2021","2020","Commercial HMO","1040678","Univera Healthcare","Western","Genesee","1-800-427-8490","http://www.univerahealthcare.com","Yes","Accredited","NA"
"2020-2021","2020","Commercial HMO","1040678","Univera Healthcare","Western","Allegany","1-800-427-8490","http://www.univerahealthcare.com","Yes","Accredited","NA"
"2020-2021","2020","Commercial HMO","1040678","Univera Healthcare","Western","Niagara","1-800-427-8490","http://www.univerahealthcare.com","Yes","Accredited","NA"
"2020-2021","2020","Commercial HMO","1040678","Univera Healthcare","Western","Schuyler","1-800-427-8490","http://www.univerahealthcare.com",,"Accredited","NA"
"2020-2021","2020","Commercial HMO","1040678","Univera Healthcare","Western","Erie","1-800-427-8490","http://www.univerahealthcare.com","Yes","Accredited","NA"
"2020-2021","2020","Commercial HMO","1040678","Univera Healthcare","Western","Cattaraugus","1-800-427-8490","http://www.univerahealthcare.com","Yes","Accredited","NA"
"2020-2021","2020","Commercial HMO","1040678","Univera Healthcare","Western","Monroe","1-800-427-8490","http://www.univerahealthcare.com",,"Accredited","NA"
"2020-2021","2020","Commercial HMO","1040678","Univera Healthcare","Western","Seneca","1-800-427-8490","http://www.univerahealthcare.com",,"Accredited","NA"
"2020-2021","2020","Commercial HMO","1050178","HIP (EmblemHealth)","Northeast","Delaware","1-800-447-8255","http://www.emblemhealth.com","Yes","Accredited","276526"
"2020-2021","2020","Commercial HMO","1050178","HIP (EmblemHealth)","NYC","Manhattan","1-800-447-8255","http://www.emblemhealth.com","Yes","Accredited","276526"
"2020-2021","2020","Commercial HMO","1050178","HIP (EmblemHealth)","Northeast","Albany","1-800-447-8255","http://www.emblemhealth.com","Yes","Accredited","276526"
"2020-2021","2020","Commercial HMO","1050178","HIP (EmblemHealth)","Northeast","Franklin","1-800-447-8255","http://www.emblemhealth.com",,"Accredited","276526"
"2020-2021","2020","Commercial HMO","1050178","HIP (EmblemHealth)","Northeast","Otsego","1-800-447-8255","http://www.emblemhealth.com","Yes","Accredited","276526"
"2020-2021","2020","Commercial HMO","1050178","HIP (EmblemHealth)","Hudson Valley","Sullivan","1-800-447-8255","http://www.emblemhealth.com","Yes","Accredited","276526"
"2020-2021","2020","Commercial HMO","1050178","HIP (EmblemHealth)","Northeast","Fulton","1-800-447-8255","http://www.emblemhealth.com","Yes","Accredited","276526"
"2020-2021","2020","Commercial HMO","1050178","HIP (EmblemHealth)","Central","Oswego","1-800-447-8255","http://www.emblemhealth.com",,"Accredited","276526"
"2020-2021","2020","Commercial HMO","1050178","HIP (EmblemHealth)","Northeast","Clinton","1-800-447-8255","http://www.emblemhealth.com",,"Accredited","276526"
"2020-2021","2020","Commercial HMO","1050178","HIP (EmblemHealth)","Central","Herkimer","1-800-447-8255","http://www.emblemhealth.com",,"Accredited","276526"
"2020-2021","2020","Commercial HMO","1050178","HIP (EmblemHealth)","Northeast","Greene","1-800-447-8255","http://www.emblemhealth.com","Yes","Accredited","276526"
"2020-2021","2020","Commercial HMO","1050178","HIP (EmblemHealth)","Central","Tioga","1-800-447-8255","http://www.emblemhealth.com",,"Accredited","276526"
"2020-2021","2020","Commercial HMO","1050178","HIP (EmblemHealth)","Northeast","Montgomery","1-800-447-8255","http://www.emblemhealth.com","Yes","Accredited","276526"
"2020-2021","2020","Commercial HMO","1050178","HIP (EmblemHealth)","Central","Oneida","1-800-447-8255","http://www.emblemhealth.com",,"Accredited","276526"
