"year","approving_state_agency","certificate_type","methodology","language","region","certificates_count"
"2022","Department of Health","Home Health Aide","Competency Evaluation","English","Capital District","2"
"2022","Department of Health","Home Health Aide","Competency Evaluation","English","Central New York","2"
"2022","Department of Health","Home Health Aide","Competency Evaluation","English","Metropolitan Area  - Long Island","3"
"2022","Department of Health","Home Health Aide","Competency Evaluation","English","Metropolitan Area  - New Rochelle","7"
"2022","Department of Health","Home Health Aide","Competency Evaluation","English","Metropolitan Area  - New York City","17"
"2022","Department of Health","Home Health Aide","Competency Evaluation","English","Western  - Buffalo","1"
"2022","Department of Health","Home Health Aide","Competency Evaluation","English","Western  - Rochester","2"
"2022","Department of Health","Home Health Aide","Core Training","Chinese","Metropolitan Area  - New York City","7"
"2022","Department of Health","Home Health Aide","Core Training","English","Capital District","3"
"2022","Department of Health","Home Health Aide","Core Training","English","Central New York","9"
"2022","Department of Health","Home Health Aide","Core Training","English","Metropolitan Area  - Long Island","11"
"2022","Department of Health","Home Health Aide","Core Training","English","Metropolitan Area  - New Rochelle","4"
"2022","Department of Health","Home Health Aide","Core Training","English","Metropolitan Area  - New York City","119"
"2022","Department of Health","Home Health Aide","Core Training","English","Western  - Buffalo","3"
"2022","Department of Health","Home Health Aide","Core Training","English","Western  - Rochester","5"
"2022","Department of Health","Home Health Aide","Core Training","Spanish; Castilian","Metropolitan Area  - New York City","26"
"2022","Department of Health","Home Health Aide","Nurse Aide Transition","English","Capital District","1"
"2022","Department of Health","Home Health Aide","Nurse Aide Transition","English","Central New York","1"
"2022","Department of Health","Home Health Aide","Nurse Aide Transition","English","Metropolitan Area  - New York City","4"
"2022","Department of Health","Home Health Aide","Nurse Aide Transition","English","Western  - Buffalo","1"
"2022","Department of Health","Home Health Aide","Personal Care Aide Upgrade","English","Capital District","1"
"2022","Department of Health","Home Health Aide","Personal Care Aide Upgrade","English","Central New York","2"
"2022","Department of Health","Home Health Aide","Personal Care Aide Upgrade","English","Metropolitan Area  - Long Island","1"
"2022","Department of Health","Personal Care Aide","Alternative Competency Demonstration","English","Capital District","17"
"2022","Department of Health","Personal Care Aide","Alternative Competency Demonstration","English","Central New York","13"
"2022","Department of Health","Personal Care Aide","Alternative Competency Demonstration","English","Metropolitan Area  - Long Island","8"
"2022","Department of Health","Personal Care Aide","Alternative Competency Demonstration","English","Metropolitan Area  - New Rochelle","26"
"2022","Department of Health","Personal Care Aide","Alternative Competency Demonstration","English","Metropolitan Area  - New York City","43"
"2022","Department of Health","Personal Care Aide","Alternative Competency Demonstration","English","Western  - Buffalo","11"
"2022","Department of Health","Personal Care Aide","Alternative Competency Demonstration","English","Western  - Rochester","2"
"2022","Department of Health","Personal Care Aide","Basic Training","English","Capital District","38"
"2022","Department of Health","Personal Care Aide","Basic Training","English","Central New York","5"
"2022","Department of Health","Personal Care Aide","Basic Training","English","Metropolitan Area  - Long Island","6"
"2022","Department of Health","Personal Care Aide","Basic Training","English","Metropolitan Area  - New Rochelle","63"
"2022","Department of Health","Personal Care Aide","Basic Training","English","Metropolitan Area  - New York City","81"
"2022","Department of Health","Personal Care Aide","Basic Training","English","Western  - Buffalo","83"
"2022","Department of Health","Personal Care Aide","Basic Training","English","Western  - Rochester","35"
"2022","Department of Health","Personal Care Aide","Basic Training","Spanish; Castilian","Metropolitan Area  - New York City","33"
"2022","Education Department - BPSS","Home Health Aide","Core Training","Chinese","Metropolitan Area  - New York City","323"
"2022","Education Department - BPSS","Home Health Aide","Core Training","English","Metropolitan Area  - Long Island","39"
"2022","Education Department - BPSS","Home Health Aide","Core Training","English","Metropolitan Area  - New Rochelle","20"
"2022","Education Department - BPSS","Home Health Aide","Core Training","English","Metropolitan Area  - New York City","853"
"2022","Education Department - BPSS","Home Health Aide","Core Training","Spanish; Castilian","Metropolitan Area  - Long Island","28"
"2022","Education Department - BPSS","Home Health Aide","Core Training","Spanish; Castilian","Metropolitan Area  - New York City","113"
"2022","Education Department - BPSS","Home Health Aide","Nurse Aide Transition","English","Metropolitan Area  - New York City","1"
"2022","Education Department - BPSS","Home Health Aide","Personal Care Aide Upgrade","Chinese","Metropolitan Area  - New York City","132"
"2022","Education Department - BPSS","Home Health Aide","Personal Care Aide Upgrade","English","Metropolitan Area  - New York City","124"
"2022","Education Department - BPSS","Home Health Aide","Personal Care Aide Upgrade","Spanish; Castilian","Metropolitan Area  - New York City","25"
"2022","Education Department - BPSS","Personal Care Aide","Basic Training","Chinese","Metropolitan Area  - New York City","165"
"2022","Education Department - BPSS","Personal Care Aide","Basic Training","English","Metropolitan Area  - Long Island","11"
"2022","Education Department - BPSS","Personal Care Aide","Basic Training","English","Metropolitan Area  - New York City","190"
"2022","Education Department - BPSS","Personal Care Aide","Basic Training","English","Western  - Rochester","17"
"2022","Education Department - EMSC","Home Health Aide","Core Training","English","Capital District","1"
"2022","Education Department - EMSC","Personal Care Aide","Basic Training","English","Western  - Buffalo","8"
"2022","Education Department - OP","Home Health Aide","Core Training","English","Metropolitan Area  - New York City","10"
"2022","Education Department - OP","Home Health Aide","Core Training","English","Western  - Rochester","9"
"2022","Education Department - OP","Personal Care Aide","Basic Training","English","Capital District","15"
"2022","Education Department - OP","Personal Care Aide","Basic Training","English","Western  - Rochester","9"
"2021","Department of Health","Home Health Aide","Competency Evaluation","English","Capital District","13"
"2021","Department of Health","Home Health Aide","Competency Evaluation","English","Central New York","30"
"2021","Department of Health","Home Health Aide","Competency Evaluation","English","Metropolitan Area  - Long Island","106"
"2021","Department of Health","Home Health Aide","Competency Evaluation","English","Metropolitan Area  - New Rochelle","30"
"2021","Department of Health","Home Health Aide","Competency Evaluation","English","Metropolitan Area  - New York City","170"
"2021","Department of Health","Home Health Aide","Competency Evaluation","English","Western  - Buffalo","19"
"2021","Department of Health","Home Health Aide","Competency Evaluation","English","Western  - Rochester","9"
"2021","Department of Health","Home Health Aide","Competency Evaluation","Spanish; Castilian","Metropolitan Area  - New York City","3"
"2021","Department of Health","Home Health Aide","Core Training","Chinese","Metropolitan Area  - New York City","10"
"2021","Department of Health","Home Health Aide","Core Training","English","Capital District","58"
"2021","Department of Health","Home Health Aide","Core Training","English","Central New York","182"
"2021","Department of Health","Home Health Aide","Core Training","English","Metropolitan Area  - Long Island","202"
"2021","Department of Health","Home Health Aide","Core Training","English","Metropolitan Area  - New Rochelle","119"
"2021","Department of Health","Home Health Aide","Core Training","English","Metropolitan Area  - New York City","2333"
"2021","Department of Health","Home Health Aide","Core Training","English","Western  - Buffalo","11"
"2021","Department of Health","Home Health Aide","Core Training","English","Western  - Rochester","86"
"2021","Department of Health","Home Health Aide","Core Training","Korean","Metropolitan Area  - New York City","10"
"2021","Department of Health","Home Health Aide","Core Training","Russian","Metropolitan Area  - New York City","39"
"2021","Department of Health","Home Health Aide","Core Training","Spanish; Castilian","Metropolitan Area  - New York City","592"
"2021","Department of Health","Home Health Aide","Nurse Aide Transition","English","Capital District","43"
"2021","Department of Health","Home Health Aide","Nurse Aide Transition","English","Central New York","74"
"2021","Department of Health","Home Health Aide","Nurse Aide Transition","English","Metropolitan Area  - Long Island","28"
"2021","Department of Health","Home Health Aide","Nurse Aide Transition","English","Metropolitan Area  - New Rochelle","22"
"2021","Department of Health","Home Health Aide","Nurse Aide Transition","English","Metropolitan Area  - New York City","28"
"2021","Department of Health","Home Health Aide","Nurse Aide Transition","English","Western  - Buffalo","38"
"2021","Department of Health","Home Health Aide","Nurse Aide Transition","English","Western  - Rochester","43"
"2021","Department of Health","Home Health Aide","Personal Care Aide Upgrade","English","Capital District","3"
"2021","Department of Health","Home Health Aide","Personal Care Aide Upgrade","English","Central New York","10"
"2021","Department of Health","Home Health Aide","Personal Care Aide Upgrade","English","Metropolitan Area  - Long Island","5"
"2021","Department of Health","Home Health Aide","Personal Care Aide Upgrade","English","Metropolitan Area  - New Rochelle","16"
"2021","Department of Health","Home Health Aide","Personal Care Aide Upgrade","English","Metropolitan Area  - New York City","37"
"2021","Department of Health","Home Health Aide","Personal Care Aide Upgrade","English","Western  - Buffalo","9"
