LOCAL HEALTH UNIT,OPERATION NAME,CITY,STATE,ZIP,MUNICIPALITY,COUNTY,VENDOR TYPE,CREATION DATE,LOCATION,New York Zip Codes,Counties,NYS Senate Districts,Local Waterfront Revitalization Program (LWRP) Communities,School Districts 2016.shp
ALBANY,DOLLAR GENERAL STORE # 19911,EAST BERNE,NY,12059,BERNE,ALBANY,DISCOUNT STORE,11/10/2020,"805 HELDERBERG  TRAIL
EAST BERNE, NY 12059
(42.61305013600003, -74.06720135899997)",1184,2030,36,,577
ALBANY,MOBIL-MEGA MART II,LOUDONVILLE,NY,12211,COLONIE,ALBANY,CONVENIENCE/GAS,11/10/2020,"484 LOUDON  ROAD
LOUDONVILLE, NY 12211
(42.71271698800007, -73.75583497499997)",48,2030,34,,611
ALBANY,K & S DELI GROCERY,ALBANY,NY,12202,ALBANY,ALBANY,CONVENIENCE STORE,11/10/2020,"190 2ND AVENUE
ALBANY, NY 12202
(42.63908201000004, -73.76958498399995)",39,2030,34,1,573
ALBANY,SUNNY MART,ALBANY,NY,12209,ALBANY,ALBANY,CONVENIENCE STORE,11/10/2020,"334 DELAWARE AVENUE
ALBANY, NY 12209
(42.64213499300007, -73.77858798699998)",46,2030,34,1,573
ALBANY,STEWARTS #124,ALBANY,NY,12208,ALBANY,ALBANY,CONVENIENCE STORE,11/10/2020,"285 NEW SCOTLAND AVENUE
ALBANY, NY 12208
(42.653282002000026, -73.78825802099993)",45,2030,34,1,573
ALBANY,19TH STREET QUICK STOP,WATERVLIET,NY,12189,WATERVLIET,ALBANY,CONVENIENCE STORE,11/10/2020,"315 19TH  STREET
WATERVLIET, NY 12189
(42.73077102000008, -73.70330198399995)",19,2030,34,63,580
ALBANY,FOXCREEK MARKET NAPREBAK LLC,BERNE,NY,12023,BERNE,ALBANY,DELICATESSEN,11/10/2020,"1634 HELDERBERG TRAIL STREET
BERNE, NY 12023
(42.625271987000076, -74.13421797299998)",1150,2030,36,,577
ALBANY,"R & S FINNIGANS, INC.",ALBANY,NY,12206,ALBANY,ALBANY,CONVENIENCE STORE,11/10/2020,"116 QUAIL STREET
ALBANY, NY 12206
(42.66515098600007, -73.77353503999996)",43,2030,34,1,573
ALBANY,MA'S COUNTY STORE,ALTAMONT,NY,12009,GUILDERLAND,ALBANY,BAR/LOUNGE,11/10/2020,"4449 WESTERN AVE AVENUE
ALTAMONT, NY 12009
(42.73523798800005, -73.98560297399996)",1142,2030,36,,566
ALBANY,STEWART'S SHOP #178,WATERVLIET,NY,12189,WATERVLIET,ALBANY,CONVENIENCE STORE,11/10/2020,"309 6TH STREET
WATERVLIET, NY 12189
(42.71326600200007, -73.70758899199996)",19,2030,34,63,580
ALBANY,VALERO GAS,DELMAR,NY,12054,BETHLEHEM,ALBANY,CONVENIENCE/GAS,11/10/2020,"594 DELAWARE AVENUE
DELMAR, NY 12054
(42.61521600800006, -73.85111500199997)",1180,2030,34,,539
ALBANY,7 ELEVEN,ALBANY,NY,12205,ALBANY,ALBANY,CONVENIENCE/GAS,11/10/2020,"62  EXCHANGE STREET
ALBANY, NY 12205
(42.68487377100007, -73.78284386699994)",42,2030,34,,601
