"county","priority_area_order","priority_area","focus_area_order","focus_area","contractor","contract_information","contractor_main_address","phone_number","email"
"Queens","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","Moving For Life, Inc.","Community-Based Breast Cancer Support and Wellness Services","515 Canal St.  Unit 1C  New York, NY 10013","212-222-1351","janice@movingforlife.org"
"New York","2","Prevent Chronic Diseases","1","Reduce Obesity in Children and Adults","Fund for Public Health in New York, Inc.","Pediatric Obesity Prevention:  Creating Breastfeeding Friendly Communities","22 Cortlandt St. Suite 802  New York, NY 10007","646-710-4840","sgardner@fphnyc.org"
"New York","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","New York Presbyterian Hospital","Comprehensive Care Centers for Eating Disorders","1051 Riverside Dr. Unit 98  New York, NY 10032","646-774-8085","kas9171@nyp.org"
"Niagara","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","University of Rochester","Comprehensive Care Centers for Eating Disorders","518 Hylan Building  RC Box 270140  Rochester, NY 14627","585-273-2137","anne.corriveau@rochester.edu"
"New York","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","Moving For Life, Inc.","Community-Based Breast Cancer Support and Wellness Services","515 Canal St.  Unit 1C  New York, NY 10013","212-222-1351","janice@movingforlife.org"
"Bronx","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","Albert Einstein College of Medicine, Inc.","Prostate Cancer Research 2","1300 Morris Park Ave. Belfer Rm 917 Bronx, NY 10461","718-430-3643","Dhanonjoy.saha@einstein.yu.edu"
"Herkimer","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","Albany Medical Center, Inc.","Comprehensive Care Centers for Eating Disorders","43 New Scotland Ave. MC-34  Albany, NY 12208","518-262-6008","verdilv@mail.amc.edu"
"Wyoming","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","SHARE:  Self-Help for Women with Breast or Ovarian Cancer","Community-Based Breast Cancer Support and Wellness Services","165 W. 46th St.  Suite 712  New York, NY 10036","212-937-5570","jreinhard@sharecancersupport.org"
"Delaware","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","Albany Medical Center, Inc.","Comprehensive Care Centers for Eating Disorders","43 New Scotland Ave. MC-34  Albany, NY 12208","518-262-6008","verdilv@mail.amc.edu"
"Rensselaer","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","SHARE:  Self-Help for Women with Breast or Ovarian Cancer","Community-Based Breast Cancer Support and Wellness Services","165 W. 46th St.  Suite 712  New York, NY 10036","212-937-5570","jreinhard@sharecancersupport.org"
"Fulton","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","SHARE:  Self-Help for Women with Breast or Ovarian Cancer","Community-Based Breast Cancer Support and Wellness Services","165 W. 46th St.  Suite 712  New York, NY 10036","212-937-5570","jreinhard@sharecancersupport.org"
"Wyoming","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","Breast Cancer Coalition of Rochester, Inc.","Community-Based Breast Cancer Support and Wellness Services","1048 University Ave.  Rochester, NY 14607","585-473-8177","holly@bccr.org"
"Queens","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","Gilda's Club of New York City","Community-Based Breast Cancer Support and Wellness Services","195 West Houston St.  New York City, NY 10014","212-647-9700","lsafani@gildasclubnyc.org"
"Saratoga","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","To Life!, Inc.","Community-Based Breast Cancer Support and Wellness Services","410 Kenwood Ave.  Delmar, NY 12054","518-439-5975","ebird@tolife.org"
"Bronx","2","Prevent Chronic Diseases","1","Reduce Obesity in Children and Adults","Women's Housing and Economic Development Corp.","Eat Well Play Hard in Day Care Homes","50 East 168th Street, Bronx, NY 10452","(718) 839-1100","drussell@whedco.org
dperez@whedco.org"
"Westchester","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","Support Connection, Inc.","Community-Based Breast Cancer Support and Wellness Services","40 Triangle Center Suite 100  Yorktown Heights, NY 10598","914-962-6402","katherine.quinn@supportconnection.org"
"Franklin","2","Prevent Chronic Diseases","1","Reduce Obesity in Children and Adults","Clinton County Department of Health","Pediatric Obesity Prevention:  Creating Breastfeeding Friendly Communities","137 Margaret St.  Plattsburgh, NY 12901","518-565-4600","Lisa.Turner@clintoncountygov.com"
"Chautauqua","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","University of Rochester","Comprehensive Care Centers for Eating Disorders","518 Hylan Building  RC Box 270140  Rochester, NY 14627","585-273-2137","anne.corriveau@rochester.edu"
"Westchester","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","YWCA of White Plains and Central Westchester","Community-Based Breast Cancer Support and Wellness Services","515 North St.  White Plains, NY 10605","914-949-6227","mimperial@ywcawpcw.org"
"Clinton","2","Prevent Chronic Diseases","1","Reduce Obesity in Children and Adults","Clinton County Department of Health","Pediatric Obesity Prevention:  Creating Breastfeeding Friendly Communities","137 Margaret St.  Plattsburgh, NY 12901","518-565-4600","Lisa.Turner@clintoncountygov.com"
"Erie","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","Breast Cancer Coalition of Rochester, Inc.","Community-Based Breast Cancer Support and Wellness Services","1048 University Ave.  Rochester, NY 14607","585-473-8177","holly@bccr.org"
"New York","2","Prevent Chronic Diseases","1","Reduce Obesity in Children and Adults","Day Care Council of New York, Inc","Eat Well Play Hard in Child Care Settings","2082 Lexington Ave, Suite 204 New York NY 10035","(212) 206-7818 x 101","aanthony@dccnyinc.org"
"Seneca","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","Cancer Resource Center of the Finger Lakes","Community-Based Breast Cancer Support and Wellness Services","612 West State St.  Ithaca, NY 14850","607-277-0960","bob@crcfl.net"
"Oswego","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","University of Rochester","Comprehensive Care Centers for Eating Disorders","518 Hylan Building  RC Box 270140  Rochester, NY 14627","585-273-2137","anne.corriveau@rochester.edu"
"Saratoga","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","SHARE:  Self-Help for Women with Breast or Ovarian Cancer","Community-Based Breast Cancer Support and Wellness Services","165 W. 46th St.  Suite 712  New York, NY 10036","212-937-5570","jreinhard@sharecancersupport.org"
"Cortland","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","SHARE:  Self-Help for Women with Breast or Ovarian Cancer","Community-Based Breast Cancer Support and Wellness Services","165 W. 46th St.  Suite 712  New York, NY 10036","212-937-5570","jreinhard@sharecancersupport.org"
"St. Lawrence","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","SHARE:  Self-Help for Women with Breast or Ovarian Cancer","Community-Based Breast Cancer Support and Wellness Services","165 W. 46th St.  Suite 712  New York, NY 10036","212-937-5570","jreinhard@sharecancersupport.org"
"Columbia","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","Albany Medical Center, Inc.","Comprehensive Care Centers for Eating Disorders","43 New Scotland Ave. MC-34  Albany, NY 12208","518-262-6008","verdilv@mail.amc.edu"
"Cayuga","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","University of Rochester","Comprehensive Care Centers for Eating Disorders","518 Hylan Building  RC Box 270140  Rochester, NY 14627","585-273-2137","anne.corriveau@rochester.edu"
"Essex","2","Prevent Chronic Diseases","3","Increase Access To High Quality Chronic Disease Preventive Care And Management In Both Clinical And Community Settings","Albany Medical Center, Inc.","Comprehensive Care Centers for Eating Disorders","43 New Scotland Ave. MC-34  Albany, NY 12208","518-262-6008","verdilv@mail.amc.edu"
