"measurement_year","payer","plan_id","plan_name","measure","measure_description","age_category","gender","rate","percentile_10th","percentile_25th","percentile_50th","percentile_75th","percentile_90th","level_of_significance","membermonths","events","days","members","expected_rate","observed_rate","o_e_ratio"
"2020","Commercial PPO","1000001","Statewide","VAG Hysterectomy","Vaginal Hysterectomy","All","Female","0.39",,,,,,,"21328582","687",,,,,
"2020","Commercial PPO","1350196","Empire BlueCross BlueShield PPO","Alcohol/Drug-Telehealth","Identification of Alcohol and Other Drug Services- Telehealth","All","Female","0.39","0.25","0.33","0.38","0.39","0.6",,"2307661","744",,,,,
"2020","Commercial PPO","1000001","Statewide","Alcohol/Drug-Telehealth","Identification of Alcohol and Other Drug Services- Telehealth","All","Female","0.36",,,,,,,"14445236","4337",,,,,
"2020","Commercial PPO","1170186","Oxford Health Insurance of New York","Alcohol/Drug-Telehealth","Identification of Alcohol and Other Drug Services- Telehealth","Age 18-24","Female","0.38","0.38","0.51","0.58","0.68","0.71","10th percentile or below","404462","127",,,,,
"2020","Commercial HMO","1090384","CDPHP","Tonsillectomy","Tonsillectomy","Age 10-19","Both genders",,,,,,,"Sample size too small to report",,,,,,,
"2020","Commercial PPO","1180186","CGLIC/CHLIC","Mental Health-ED","Mental Health Utilization- ED","All","Female","0.07","0.04","0.06","0.07","0.14","0.18",,"3052052","169",,,,,
"2020","Commercial HMO","1070680","Independent Health","Tonsillectomy","Tonsillectomy","Age 10-19","Both genders",,,,,,,"Sample size too small to report",,,,,,,
"2020","Commercial PPO","1160286","Aetna Life Insurance Company - New York","Alcohol/Drug-ER","Identification of Alcohol and Other Drug Services- ED","Age 13-17","Female","0.35","0.32","0.32","0.33","0.35","0.35","90th percentile or above","121329","35",,,,,
"2020","Commercial PPO","1160286","Aetna Life Insurance Company - New York","Alcohol/Drug-ER","Identification of Alcohol and Other Drug Services- ED","Age 25-34","Female","0.36","0.26","0.28","0.32","0.34","0.36","90th percentile or above","676809","201",,,,,
"2020","Commercial PPO","1180186","CGLIC/CHLIC","Alcohol/Drug-Telehealth","Identification of Alcohol and Other Drug Services- Telehealth","Age 35-64","Female","0.38","0.33","0.34","0.45","0.51","0.69",,"936466","294",,,,,
"2020","Commercial HMO","1350196","Empire BlueCross BlueShield HMO","Mental Health-Partial","Mental Health Utilization- Intensive Outpatient/Partial Hospitalization","All","Both genders",,,,,,,"Sample size too small to report",,,,,,,
"2020","Commercial PPO","74289","Oscar","Engagement of SUD Tx - Opioid Total","Initiation and Engagement of Substance Use Disorder Treatment - Engagement of SUD - Opioid use disorder (Total)","All","Both genders",,,,,,,"Sample size too small to report",,,,,,,
"2020","Commercial HMO","1080383","MVP Health Care","Tonsillectomy","Tonsillectomy","Age 10-19","Both genders",,,,,,,"Sample size too small to report",,,,,,,
"2020","Commercial HMO","1090384","CDPHP","Alcohol/Drug-Partial","Identification of Alcohol and Other Drug Services- Intensive Outpatient/Partial Hospitalization","All","Both genders",,,,,,,"Sample size too small to report",,,,,,,
"2020","Commercial HMO","1350196","Empire BlueCross BlueShield HMO","Mental Health-IP","Mental Health Utilization- Inpatient","All","Both genders",,,,,,,"Sample size too small to report",,,,,,,
"2020","Commercial HMO","1080383","MVP Health Care","Tonsillectomy","Tonsillectomy","Age 0-9","Both genders",,,,,,,"Sample size too small to report",,,,,,,
"2020","Commercial PPO","1160286","Aetna Life Insurance Company - New York","Alcohol/Drug-OP","Identification of Alcohol and Other Drug Services- Outpatient","Age 13-17","Female","0.35","0.29","0.29","0.35","0.42","0.42",,"121329","35",,,,,
"2020","Commercial HMO","1350196","Empire BlueCross BlueShield HMO","Tonsillectomy","Tonsillectomy","All","Both genders",,,,,,,"Sample size too small to report",,,,,,,
"2020","Commercial HMO","1080383","MVP Health Care","Alcohol/Drug-Partial","Identification of Alcohol and Other Drug Services- Intensive Outpatient/Partial Hospitalization","All","Both genders",,,,,,,"Sample size too small to report",,,,,,,
"2020","Commercial PPO","74289","Oscar","Engagement of SUD Tx - Alcohol Total","Initiation and Engagement of Substance Use Disorder Treatment - Engagement of SUD - Alcohol use disorder (Total)","All","Both genders","7.83","7.83","12.71","15.52","16.9","18.12","10th percentile or below",,,,,,,
"2020","Commercial HMO","1350196","Empire BlueCross BlueShield HMO","Bronchitis Tx Avoidance-65+ yrs","Avoidance of Antibiotic Treatment for Acute Bronchitis - 65+ Years","Age 65 or older","Both genders",,,,,,,"Sample size too small to report",,,,,,,
"2020","Commercial PPO","74289","Oscar","Alcohol/Drug-Telehealth","Identification of Alcohol and Other Drug Services- Telehealth","All","Female","0.38","0.25","0.33","0.38","0.39","0.6",,"181899","57",,,,,
"2020","Commercial HMO","1140685","Highmark Western and Northeastern New York, Inc.","Alcohol/Drug-Partial","Identification of Alcohol and Other Drug Services- Intensive Outpatient/Partial Hospitalization","All","Both genders","0.05","0.05","0.05","0.05","0.06","0.06",,"2943828","125",,,,,
"2020","Commercial HMO","1070680","Independent Health","Alcohol/Drug-Partial","Identification of Alcohol and Other Drug Services- Intensive Outpatient/Partial Hospitalization","All","Both genders","0.05","0.05","0.05","0.05","0.06","0.06","10th percentile or below","1008041","39",,,,,
"2020","Commercial HMO","1090384","CDPHP","Mental Health-Partial","Mental Health Utilization- Intensive Outpatient/Partial Hospitalization","All","Both genders","0.05","0.05","0.06","0.07","0.07","0.24","10th percentile or below","1133248","45",,,,,
"2020","Commercial HMO","1390598","Excellus BlueCross BlueShield","Alcohol/Drug-Partial","Identification of Alcohol and Other Drug Services- Intensive Outpatient/Partial Hospitalization","All","Both genders","0.06","0.05","0.05","0.05","0.06","0.06",,"9942837","472",,,,,
"2020","Commercial HMO","1350196","Empire BlueCross BlueShield HMO","Mental Health-ED","Mental Health Utilization- ED","All","Both genders",,,,,,,"Sample size too small to report",,,,,,,
"2020","Commercial HMO","1070680","Independent Health","Mental Health-Partial","Mental Health Utilization- Intensive Outpatient/Partial Hospitalization","All","Both genders","0.06","0.05","0.06","0.07","0.07","0.24",,"1017330","54",,,,,
"2020","Commercial HMO","1390598","Excellus BlueCross BlueShield","Mental Health-Partial","Mental Health Utilization- Intensive Outpatient/Partial Hospitalization","All","Both genders","0.06","0.05","0.06","0.07","0.07","0.24",,"11194283","548",,,,,
"2020","Commercial HMO","1350196","Empire BlueCross BlueShield HMO","Alcohol/Drug-Partial","Identification of Alcohol and Other Drug Services- Intensive Outpatient/Partial Hospitalization","All","Both genders",,,,,,,"Sample size too small to report",,,,,,,
"2020","Commercial HMO","1080383","MVP Health Care","Mental Health-Partial","Mental Health Utilization- Intensive Outpatient/Partial Hospitalization","All","Both genders","0.07","0.05","0.06","0.07","0.07","0.24",,"701822","41",,,,,
"2020","Commercial HMO","1140685","Highmark Western and Northeastern New York, Inc.","Mental Health-Partial","Mental Health Utilization- Intensive Outpatient/Partial Hospitalization","All","Both genders","0.07","0.05","0.06","0.07","0.07","0.24",,"4234432","242",,,,,
"2020","Commercial HMO","1000001","Statewide","Mental Health-Partial","Mental Health Utilization- Intensive Outpatient/Partial Hospitalization","All","Both genders","0.09",,,,,,,"21691451","1595",,,,,
