"year","approving_state_agency","training_agency_site_name","operational_status","certificate_type","methodology","language","number_of_classes","enrolled_student_count","approved_student_count","certified_student_count","withdrawn_student_count","street_address","city","state","zip_code","county_name","county_code","region","geocoded_column"
"2017","Department of Health","Better Home Health Care Agency, Inc.","OPEN","Home Health Aide","Personal Care Aide Upgrade","English","1","1","0","0","0","108-12 72nd Avenue, Suite 1","Forest Hills","NY","11375","Queens","81","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                ","108 12 72nd Avenue
Forest Hills, NY 11375"
"2019","Department of Health","PERSONAL TOUCH HOME CARE INC JAMAICA","OPEN","Home Health Aide","Personal Care Aide Upgrade","English","0","0","0","17","0","186-18 HILLSIDE AVENUE","JAMAICA","NY","11432","Queens","81","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                             ","186 18 HILLSIDE AVENUE
JAMAICA, NY 11432"
"2011","Department of Health","AIDES AT HOME INC BAYSHORE","OPEN","Home Health Aide","Competency Evaluation","English","0","0","0","0","14","25 EAST MAIN ST.","BAY SHORE","NY","11706","Suffolk","103","Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                                                ","25 EAST MAIN ST BAY SHORE
NY,  11706"
"2011","Department of Health","CAREGIVERS MALONE","CLOSED","Home Health Aide","Competency Evaluation","English","0","0","0","1","0","3066 STATE ROUTE 11 SUITE 4","MALONE","NY","12953","Franklin","33","Capital District                                                                                                                                                                                                                                                                                                                                ","3066 STATE ROUTE
MALONE, NY 12953"
"2014","Department of Health","St. Lawrence Co. Community Dev. Program, Inc.","OPEN","Home Health Aide","Competency Evaluation","English","1","0","0","0","0","One Commerce Lane","Canton","NY","13617","Saint Lawrence","89","Central New York                                                                                                                                                                                                                                                                                                        ","One Commerce Lane
Canton, NY 13617"
"2016","Department of Health","Better Home Health Care Agency, Inc.","OPEN","Personal Care Aide","Basic Training","English","1","8","11","11","0","108-12 72nd Avenue, Suite 1","Forest Hills","NY","11375","Queens","81","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                        ","108 12 72nd Avenue
Forest Hills, NY 11375"
"2014","Department of Health","PCA Basic Training","OPEN","Personal Care Aide","Basic Training","English","1","2","2","2","0","25 Church St","Saranac Lake","NY","12983","Franklin","33","Capital District                                                                                                                                                                                                                                                                                                                                               ","25 Church St Saranac Lake
NY,  12983"
"2021","Department of Health","A & T Healthcare, LLC - Newburgh","OPEN","Personal Care Aide","Alternative Competency Demonstration","English","1","1","1","1","0","20 Route 17K","Newburgh","NY","12550","Orange","71","Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                              ","20 Route
Newburgh, NY 12550"
"2016","Department of Health","Aftercare Nursing Services","OPEN","Personal Care Aide","Alternative Competency Demonstration","English","7","10","10","10","0","2043 Military Road","Niagara Falls","NY","14304","Niagara","63","Western  - Buffalo                                                                                                                                                                                                                                                                                                      ","2043 Military Road Niagara Falls
NY,  14304"
"2015","Education Department - BPSS","Ideal School of Allied Healthcare","OPEN","Home Health Aide","Nurse Aide Transition","English","2","1","1","1","0","3241 Rte 112 Blg. 7 Suite 5","Medford","NY","11763","Suffolk","103","Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                          ","3241 Rte
Medford, NY 11763"
"2016","Department of Health","VIP HEALTH CARE SERVICES UNIONDALE","OPEN","Home Health Aide","Core Training","English","10","85","43","43","42","492 JERUSALEM AVENUE","UNIONDALE","NY","11553","Nassau","59","Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                                          ","492 JERUSALEM AVENUE
UNIONDALE, NY 11553
(40.701478, -73.598583)"
"2011","Department of Health","All Metro Health Care - New York","OPEN","Personal Care Aide","Alternative Competency Demonstration","English","1","1","1","1","0","80 Broad Street,14 Floor","New York","NY","10004","New York","61","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                               ","80 Broad Street
Floor New York, NY 10004
(40.704306, -74.01156)"
"2014","Department of Health","Edison Home Health Care","OPEN","Home Health Aide","Core Training","English","1","8","1","1","7","946 McDonald Avenue","Brooklyn","NY","11218","New York","61","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                                        ","946 McDonald Avenue
Brooklyn, NY 11218
(40.630974, -73.977198)"
"2012","Department of Health","HHH HOME CARE, INC","OPEN","Home Health Aide","Core Training","English","1","14","0","0","0","2100 BARTOW AVE, SUITE 310","BRONX","NY","10475","Bronx","5","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                                        ","2100 BARTOW AVE
BRONX, NY 10475
(40.869165, -73.824775)"
"2019","Department of Health","ABLE HEALTH CARE SERVICES INC ISLANDIA","OPEN","Home Health Aide","Core Training","English","5","38","35","35","3","1747-16 VETERANS MEMORIAL HIGHWAY","ISLANDIA","NY","11749","Suffolk","103","Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                          ","1747 16 VETERANS MEMORIAL HIGHWAY
ISLANDIA, NY 11749
(40.805825, -73.180805)"
"2017","Department of Health","Hospice Buffalo Inc","OPEN","Home Health Aide","Nurse Aide Transition","English","9","12","12","12","0","150 Bennett Road","Cheektowaga","NY","14227","Erie","29","Western  - Buffalo                                                                                                                                                                                                                                                                                                                                     ","150 Bennett Road
Cheektowaga, NY 14227
(42.888699, -78.748779)"
"2012","Department of Health","UNLIMITED CARE INC - HICKSVILLE","OPEN","Home Health Aide","Nurse Aide Transition","English","1","1","1","1","0","120 BETHPAGE ROAD","HICKSVILLE","NY","11801","Nassau","59","Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                                            ","120 BETHPAGE ROAD
HICKSVILLE, NY 11801
(40.77659, -73.525331)"
"2019","Department of Health","Liberty Home Care","CLOSED","Personal Care Aide","Basic Training","English","4","29","25","25","4","2424 Niagara Falls Blvd.","Niagara Falls","NY","14304","Niagara","63","Western  - Buffalo                                                                                                                                                                                                                                                                                                                             ","2424 Niagara Falls Blvd Niagara Falls
NY,  14304"
"2021","Department of Health","Robynwood LHCSA LLC","OPEN","Home Health Aide","Nurse Aide Transition","English","3","9","6","6","3","297 River Street, S Service Rd Suite 3","Oneonta","NY","13820","Otsego","77","Capital District                                                                                                                                                                                                                                                                                                                    ","297 River Street
Oneonta, NY 13820
(42.446013, -75.093669)"
"2012","Department of Health","Stafkings Healthcare Systems.Inc.","OPEN","Personal Care Aide","Alternative Competency Demonstration","English","10","14","14","12","0","6101 East Molly Road","East Syracuse","NY","13057","Onondaga","67","Central New York                                                                                                                                                                                                                                                                                             ","6101 East Molly Road East
Syracuse, NY 13057"
"2019","Department of Health","VNA HOME CARE SERVICES WILLIAMSVILLE","CLOSED","Home Health Aide","Core Training","English","1","4","3","3","1","2100 WEHRLE DRIVE","WILLIAMSVILLE","NY","14221","Erie","29","Western  - Buffalo                                                                                                                                                                                                                                                                                                                          ","2100 WEHRLE DRIVE
WILLIAMSVILLE, NY 14221
(42.956564, -78.714836)"
"2021","Department of Health","Unlimited Care, Inc. - Kingston","OPEN","Personal Care Aide","Basic Training","English","4","9","9","9","0","138 Pine Street,Suite 250","Kingston","NY","12401","Ulster","111","Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                                     ","138 Pine Street
Kingston, NY 12401
(41.92913, -74.014117)"
"2020","Department of Health","People Care Jamaica Queens","OPEN","Home Health Aide","Personal Care Aide Upgrade","English","1","1","1","1","0","158-29 Archer Avenue","Jamaica","NY","11433","Queens","81","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                          ","158 29 Archer Avenue
Jamaica, NY 11433"
"2015","Department of Health","Aftercare Nursing Services","OPEN","Personal Care Aide","Alternative Competency Demonstration","English","12","45","40","40","5","1680 Walden Ave","Cheektowaga","NY","14225","Erie","29","Western  - Buffalo                                                                                                                                                                                                                                                                                                             ","1680 Walden Ave
Cheektowaga, NY 14225
(42.907735, -78.775523)"
"2015","Department of Health","INTERIM HEALTH CARE STONY BROOK","OPEN","Home Health Aide","Nurse Aide Transition","English","1","2","2","2","0","207 HALLOCK ROAD   SUITE 212","STONY BROOK","NY","11790","Suffolk","103","Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                              ","207 HALLOCK ROAD SUITE 212 STONY BROOK
NY,  11790"
"2021","Department of Health","PARTNERS IN CARE","OPEN","Home Health Aide","Core Training","Spanish; Castilian","2","14","6","6","4","107 East 70th Street","New York","NY","10021","New York","61","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                                  ","107 East 70th Street
New York, NY 10021
(40.769531, -73.964173)"
"2018","Department of Health","Partners in Care INC.","OPEN","Home Health Aide","Core Training","Chinese","8","101","88","88","3","55 Exchange Place,Lower Level","New York","NY","10005","New York","61","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                          ","55 Exchange Place
Lower Level New York, NY 10005
(40.706132, -74.010809)"
"2020","Department of Health","MID-HUDSON MANAGED HOME CARE INC","OPEN","Home Health Aide","Nurse Aide Transition","English","5","7","4","4","3","243 ROUTE 17K","NEWBURGH","NY","12550","Orange","71","Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                                                ","243 ROUTE
NEWBURGH, NY 12550"
"2014","Department of Health","ST FRANCIS HOME CARE SERVICES INC","CLOSED","Home Health Aide","Nurse Aide Transition","English","2","2","7","7","0","241 NORTH ROAD","POUGHKEEPSIE","NY","12601","Dutchess","27","Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                                      ","241 NORTH ROAD
POUGHKEEPSIE, NY 12601
(41.717405, -73.929503)"
"2018","Department of Health","Home Health Care Partners","OPEN","Home Health Aide","Core Training","English","9","37","30","28","3","1830 Riverfront Center","Amsterdam","NY","12010","Montgomery","57","Capital District                                                                                                                                                                                                                                                                                                                               ","1830 Riverfront Center
Amsterdam, NY 12010"
