"year","sex","age_group","race_or_ethnicity","selected_cause_of_death","deaths"
"2019","M","45-54","White Non Hispanic","AIDS","8"
"2019","M","<1","Hispanic","Total","112"
"2019","F","85+","White Non Hispanic","Total","27455"
"2019","M","45-54","Other Non Hispanic","Total","178"
"2019","F","25-34","Black Non Hispanic","Malignant Neoplasms","16"
"2019","M","<1","Not Stated","All Other Causes","39"
"2019","F","65-74","Hispanic","Diabetes Mellitus","12"
"2019","F","85+","White Non Hispanic","All Other Causes","11163"
"2019","M","25-34","Black Non Hispanic","CLRD","8"
"2019","M","45-54","Other Non Hispanic","All Other Causes","65"
"2019","M","75-84","Hispanic","Diseases of the Heart","537"
"2019","F","25-34","Black Non Hispanic","All Other Causes","91"
"2019","F","1-9","White Non Hispanic","CLRD","1"
"2019","M","<1","White Non Hispanic","Malignant Neoplasms","1"
"2019","F","45-54","White Non Hispanic","Diseases of the Heart","190"
"2019","F","65-74","Hispanic","AIDS","7"
"2019","F","75-84","Not Stated","All Other Causes","101"
"2019","F","85+","White Non Hispanic","Diseases of the Heart","9328"
"2019","M","10-19","Hispanic","Diabetes Mellitus","1"
"2019","M","25-34","Black Non Hispanic","Pneumonia","3"
"2019","M","35-44","Not Stated","AIDS","1"
"2019","M","45-54","Other Non Hispanic","Malignant Neoplasms","52"
"2019","M","65-74","Black Non Hispanic","CLRD","75"
"2019","M","75-84","Hispanic","All Other Causes","493"
"2019","M","85+","Other Non Hispanic","Malignant Neoplasms","126"
"2019","F","25-34","Hispanic","Cerebrovascular Disease","4"
"2019","F","10-19","White Non Hispanic","Diseases of the Heart","1"
"2019","F","1-9","Other Non Hispanic","Total","11"
"2019","F","25-34","Other Non Hispanic","All Other Causes","23"
"2019","M","<1","White Non Hispanic","Pneumonia","2"
"2019","F","45-54","Black Non Hispanic","Total","743"
"2019","F","45-54","White Non Hispanic","Accidents","184"
"2019","F","55-64","Not Stated","All Other Causes","51"
"2019","F","65-74","Black Non Hispanic","Total","2163"
"2019","F","65-74","White Non Hispanic","Cerebrovascular Disease","266"
"2019","F","75-84","Not Stated","Diseases of the Heart","99"
"2019","F","85+","Hispanic","Accidents","25"
"2019","F","85+","White Non Hispanic","Malignant Neoplasms","2867"
"2019","M","1-9","Black Non Hispanic","CLRD","5"
"2019","M","10-19","Hispanic","Cerebrovascular Disease","1"
"2019","M","20-24","Black Non Hispanic","Accidents","22"
"2019","M","25-34","Black Non Hispanic","Diabetes Mellitus","3"
"2019","M","25-34","Other Non Hispanic","Total","73"
"2019","M","35-44","Hispanic","Total","557"
"2019","M","45-54","Black Non Hispanic","Accidents","142"
"2019","M","45-54","Other Non Hispanic","Diseases of the Heart","40"
"2019","M","55-64","Hispanic","Total","1376"
"2019","M","65-74","Black Non Hispanic","Pneumonia","63"
"2019","M","65-74","Other Non Hispanic","Cerebrovascular Disease","35"
"2019","M","75-84","Hispanic","Malignant Neoplasms","392"
"2019","M","85+","Black Non Hispanic","Diabetes Mellitus","12"
"2019","M","85+","Other Non Hispanic","Pneumonia","45"
"2019","M","<1","Other Non Hispanic","Total","29"
"2019","F","25-34","Black Non Hispanic","Total","173"
