"lhu","operation_name","address","city","state","zip","municipality","county","subcat","run_date","location"
"MONROE","THE JOINT","1712 NORTH LAKE  ROAD","HAMLIN","NY","14464","HAMLIN","MONROE","TOBACCO RETAIL","2020-11-10T00:00:00.000","1712 NORTH LAKE  ROAD
HAMLIN, NY 14464
(43.29516601000006, -77.92043201499996)"
"NASSAU","BURN","3248 RAILROAD AVENUE","WANTAGH","NY","11793","HEMPSTEAD","NASSAU","OTHER","2020-11-10T00:00:00.000","3248 RAILROAD AVENUE
WANTAGH, NY 11793
(40.67258698400008, -73.50956401499997)"
"NYC","KEAP ST GOURMET DELI","332 KEAP STREET","BROOKLYN","NY","11211","BROOKLYN","NEW YORK CITY","DELICATESSEN","2020-11-10T00:00:00.000","332 KEAP STREET
BROOKLYN, NY 11211
(40.70874001900006, -73.95467400299998)"
"NYC","SMS CS LLC","813 BROADWAY","NEW YORK","NY","10003","MANHATTAN","NEW YORK CITY","GROCERY SUPERMARKET","2020-11-10T00:00:00.000","813 BROADWAY
NEW YORK, NY 10003
(40.73297000500003, -73.99132999299997)"
"NYC","THE CITY VAPER LTD","2920 23RD AVENUE","ASTORIA","NY","11105","QUEENS","NEW YORK CITY","OTHER","2020-11-10T00:00:00.000","2920 23RD AVENUE
ASTORIA, NY 11105
(40.774514992000036, -73.91342799799997)"
"ONEIDA","PUFF & STUFF","333 GENESEE ST",,"NY",,"UTICA","ONEIDA","OTHER","2020-11-10T00:00:00.000","333 GENESEE ST
, NY 
(43.096149998000044, -75.24146998099997)"
"ONEIDA","SUNOCO","13180 SR 12",,"NY",,"BOONVILLE","ONEIDA","CONVENIENCE/GAS","2020-11-10T00:00:00.000","13180 SR 12
, NY 
(43.47706998900003, -75.31765997199994)"
"ROCKLAND","EZ FOOD & NEWZ","41 ROUTE 59","NYACK","NY","10960","CLARKSTOWN","ROCKLAND","CONVENIENCE STORE","2020-11-10T00:00:00.000","41 ROUTE 59
NYACK, NY 10960
(41.093504997000025, -73.93467201599998)"
"ROCKLAND","SHELL - MONSEY","83 ROUTE 59","MONSEY","NY","10952","RAMAPO","ROCKLAND","CONVENIENCE/GAS","2020-11-10T00:00:00.000","83 ROUTE 59
MONSEY, NY 10952
(41.107245996000074, -74.06689603499996)"
"SUFFOLK","TAVARAS DELI","198 W MAIN ST",,"NY",,"BROOKHAVEN","SUFFOLK","DELICATESSEN","2020-11-10T00:00:00.000","198 W MAIN ST
, NY 
(42.943130016000055, -74.20042000399997)"
