"license_number","facility_name","rso_first_name","mailing_address","mailing_address_2","city","state","zipcode","rso_phone","county","facility_type","diagnostic_other","therapy","mammography","stereotactic","geocoded_column"
"11012743","PAL AJAY DDS",,"4281 HOMER AVE",,"CORTLAND","NY","13045","(607) 753-1355","Cortland","Dentist","Y","N","N","N","POINT (-76.185061 42.588691)"
"14024025","WESTERMEIR MARTIN DENTAL",,"950 E MAIN ST",,"EAST AURORA","NY","14052","(716) 805-3662","Erie","Dentist","Y","N","N","N","POINT (-78.595599 42.770882)"
"29013557","BACIGALUPO JOSEPH G DDS",,"121 INGRAHAM BLVD",,"HEMPSTEAD","NY","11550","(516) 483-1380","Nassau","Dentist","Y","N","N","N","POINT (-73.619009 40.70222)"
"29023796","TAVABI LALEH  DDS",,"324 WEST PARK AVE",,"LONG BEACH","NY","11561","(516) 432-2837","Nassau","Dentist","Y","N","N","N","POINT (-73.660291 40.588332)"
"29024288","ROESCH SHANNON DPM",,"242 JERICHO TPK",,"FLORAL PARK","NY","11001","(516) 488-6290","Nassau","Podiatrist","Y","N","N","N","POINT (-73.706441 40.722685)"
"32023084","BELEN AYMME DMD",,"2628 GENESEE STREET",,"UTICA","NY","13502","(315) 724-3768","Oneida","Dentist","Y","N","N","N","POINT (-75.202584 43.125063)"
"33023326","KARP WILLIAM H DDS PC",,"4500 PEWTER LN","BLDG #6","MANLIUS","NY","13104","(315) 682-2386","Onondaga","Dentist","Y","N","N","N","POINT (-75.962381 42.979204)"
"35023324","LEON LINDA DMD",,"138 STAGE RD",,"MONROE","NY","10950","(845) 783-4490","Orange","Dentist","Y","N","N","N","POINT (-74.194618 41.322198)"
"39023216","PUTNAM BRIGHT SMILE","PATEL ROHIT DDS","2410 ROUTE 6",,"BREWSTER","NY","10509","(845) 279-7177","Putnam","Dentist","Y","N","N","N","POINT (-73.595855 41.409828)"
"43023275","LEBOVITCH ROBERT DDS",,"400 ROUTE 59",,"MONSEY","NY","10952","(845) 357-2323","Rockland","Dentist","Y","N","N","N","POINT (-74.078248 41.115844)"
"45023044","DREHER FRED DDS",,"410 ROWLAND ST",,"BALLSTON SPA","NY","12020","(518) 885-6185","Saratoga","Dentist","Y","N","N","N","POINT (-73.854217 43.004269)"
"51007557","MALTZ HARVEY N DDS",,"278 DEER PARK RD",,"DIX HILLS","NY","11746","(631) 427-0048","Suffolk","Dentist","Y","N","N","N","POINT (-73.364729 40.815715)"
"52013231","OLSEN PHILIP DDS",,"68 ACADEMY STREET",,"LIBERTY","NY","12754","(845) 292-8022","Sullivan","Dentist","Y","N","N","N","POINT (-74.738419 41.79796)"
"59011087","VELJACIC FRANK T DDS",,"253 GARTH ROAD",,"SCARSDALE","NY","10583","(914) 725-2643","Westchester","Dentist","Y","N","N","N","POINT (-73.795401 40.989326)"
"59023914","BENISH LAURA DDS",,"295 MAIN STREET",,"EASTCHESTER","NY","10709","(914) 961-5050","Westchester","Dentist","Y","N","N","N","POINT (-73.810559 40.955534)"
"59024254","DR JOSEPH GOSCILO",,"20 MAIN STREET",,"IRVINGTON","NY","10533","(914) 591-8110","Westchester","Dentist","Y","N","N","N","POINT (-73.856545 41.037822)"
"26023185","CAZENOVIA DENTAL","PAMELA  MOSES, DMD","60 NELSON STREET",,"CAZENOVIA","NY","13035","(315) 655-8148","Madison","Dentist","Y","N","N","N","POINT (-75.83303 42.939661)"
"59008476","NEW YORK PRESBYTERIAN HOSPITAL","KRESGE WENDY","DEPT OF RADIOLOGY","21 BLOOMINGDALE ROAD","WHITE PLAINS","NY","106051596","(914) 997-5755","Westchester","Clinic","Y","N","N","N","POINT (-73.747232 41.008997)"
"07023167","CORNING HOSPITAL SAMEDAY SURGERY CTR","ROHE RONALD","31 ARNOT ROAD",,"HORSEHEADS","NY","14845","(607) 795-5197","Chemung","Physician","Y","N","N","N","POINT (-76.835145 42.190415)"
"13017889","VIGLIOTTI ANTHONY C DMD","VIGLIOTTI FRANK A DMD","29 FOX STREET","SUITE 201","POUGHKEEPSIE","NY","12601","(845) 471-5215","Dutchess","Dentist","Y","N","N","N","POINT (-73.916509 41.701885)"
"01017449","VIGNALI ROBERT P DDS PLLC",,"29 COLVIN AVE",,"ALBANY","NY","12206","(518) 459-7993","Albany","Dentist","Y","N","N","N","POINT (-73.781991 42.67271)"
"35019856","JOSHUA A. BREWER,DDS",,"246 MAIN ST",,"HIGHLAND FALLS","NY","10928","(845) 446-2424","Orange","Dentist","Y","N","N","N","POINT (-74.01954 41.336299)"
"80023529","DENTRUST DENTAL #7","HALCOVICH JOHN DMD","6097 EASTERN ROAD",,"PIPERSVILLE","PA","18947","(267) 927-5000","Out of State","Dentist","Y","N","N","N","POINT (-75.114414 40.425103)"
"51023513","MICHAEL LADINSKY, DDS",,"126 EAST MAIN ST",,"EAST ISLIP","NY","11730","(631) 581-0090","Suffolk","Bone Densitometer Only","Y","N","N","N","POINT (-73.177675 40.729397)"
"37022978","WESTSIDE PODIATRY CENTER LLP","DR. CHAD R. ROUNDS DPM","130 E SECOND STREET",,"OSWEGO","NY","12136","(315) 546-0285","Oswego","Podiatrist","Y","N","N","N","POINT (-73.558548 42.431684)"
"27002515","ZUGNER & PEDERSEN DENTAL GROUP","WILLIAM E. ZUGNER","55 NORTH  AVENUE",,"WEBSTER","NY","14580","(585) 872-2797","Monroe","Dentist","Y","N","N","N","POINT (-77.457073 43.218784)"
"51024648","PROHEALTH RADIOLOGY @ PORT JEFFERSON O","JOSEPH ABRAMS, M.D.","118 NORTH COUNTRY ROAD",,"PORT JEFFERSON","NY","11777`","(631) 473-7171","Suffolk","Mammography","N","N","Y","N","POINT (-73.067893 40.945139)"
"29014181","JOSEPH M BARRY CAREER & TECHNICAL CTR","GREENBERG MICHELE","1196 PROSPECT AVE","ROOM 207","WESTBURY","NY","11590","(516) 622-6800","Nassau","Educational or R&D","Y","N","N","N","POINT (-73.575268 40.75606)"
"58022755","IEC ELECTRONICS CORP","RICHARD D. LABOUR","328 SILVER HILL ROAD",,"NEWARK","NY","14513","(315) 331-7742","Wayne","Commercial","Y","N","N","N","POINT (-77.094618 43.063468)"
"35023285","ESOPUS DENTAL PC","KURTZ HANS A DDS","359 GIBSON HILL RD","P O BOX 500","CHESTER","NY","10918","(845) 572-3463","Orange","Dentist","Y","N","N","N","POINT (-74.259501 41.349912)"
"14022353","ZUNNER BRIAN T DDS",,"390 EVANS ST",,"WILLIAMSVILLE","NY","14221","(716) 631-3758","Erie","Dentist","Y","N","N","N","POINT (-78.728009 42.980424)"
"14023883","STELLAR DENTAL CARE","DIANE MELMAN. DDS","1165  FRENCH ROAD",,"CHEEKTOWAGA,","NY","14225","(716) 274-7777","Erie","Dentist","Y","N","N","N","POINT (-78.7594 42.928)"
"35023410","MONROE DENTAL GROUP","FABER MARC DDS","809 RT 208",,"MONROE","NY","10950","(845) 782-5040","Orange","Dentist","Y","N","N","N","POINT (-74.194618 41.322198)"
"38022881","EVANS KATHLEEN A DDS",,"6411 STATE HIGHWAY 28",,"FLY CREEK","NY","13337","(607) 547-1291","Otsego","Dentist","Y","N","N","N","POINT (-74.984785 42.741858)"
"13023453","JANKUNAS HOPE DVM PC",,"8 ROUTE 9",,"FISHKILL","NY","12524","(845) 896-4830","Dutchess","Veterinarian","Y","N","N","N","POINT (-73.894845 41.537168)"
"35016891","O'BRIEN JOHN E DDS",,"754 BLOOMINGROVE TPKE",,"NEW WINDSOR","NY","12553","(845) 561-8093","Orange","Dentist","Y","N","N","N","POINT (-74.065602 41.461721)"
"29002800","CRAWFORD ANIMAL HOSPITAL PC","BAUM GARY M DVM","690 MERRICK  ROAD",,"LYNBROOK","NY","11563","(516) 599-0256","Nassau","Veterinarian","Y","N","N","N","POINT (-73.673957 40.657513)"
"51023330","FRIEDEL WILLIAM DDS",,"1190 OLD COUNTRY ROAD",,"RIVERHEAD","NY","11901","(631) 369-2090","Suffolk","Dentist","Y","N","N","N","POINT (-72.64848 40.932807)"
"59023668","LEE JOON S DDS",,"503 SOUTH BROADWAY","SUITE 250","YONKERS","NY","10705","(914) 376-4033","Westchester","Dentist","Y","N","N","N","POINT (-73.890871 40.918216)"
"27023658","UR MEDICINE PODIATRY","CONOVER, DAVID L. LMP","2225 SOUTH CLINTON AVENUE",,"ROCHESTER","NY","14618","(585) 473-5051","Monroe","Podiatrist","Y","N","N","N","POINT (-77.558148 43.116184)"
"43006092","GOOD SAMARITAN HOSPITAL","AHMED, SHOAIB   M S","255 LAFAYETTE AVE","DEPT OF RADIOLOGY / RADIATION SAFETY","SUFFERN","NY","109014869","(845) 368-5000","Rockland","Hospital","Y","Y","Y","Y","POINT (-74.114529 41.126514)"
