"measurement_year","payer","plan_id","plan_name","measure","measure_description","age_category","gender","rate","percentile_10th","percentile_25th","percentile_50th","percentile_75th","percentile_90th","level_of_significance","membermonths","events","days"
"2018","Commercial HMO","1000001","Statewide","Alcohol/Drug-Any","Identification of Alcohol and Other Drug Services- Any Service","All","Female","1.6",,,,,,,"8571082","11625",
"2018","Commercial HMO","1000001","Statewide","Alcohol/Drug-Any","Identification of Alcohol and Other Drug Services- Any Service","All","Male","3.1",,,,,,,"8199080","21383",
"2018","Commercial HMO","1000001","Statewide","Alcohol/Drug-ER","Identification of Alcohol and Other Drug Services- ED","All","Male","0.6",,,,,,,"8199080","3905",
"2018","Commercial HMO","1000001","Statewide","Alcohol/Drug-ER","Identification of Alcohol and Other Drug Services- ED","All","Female","0.3",,,,,,,"8571082","2447",
"2018","Commercial HMO","1000001","Statewide","Alcohol/Drug-IP","Identification of Alcohol and Other Drug Services- Inpatient","All","Female","0.3",,,,,,,"8571082","1888",
"2018","Commercial HMO","1000001","Statewide","Alcohol/Drug-IP","Identification of Alcohol and Other Drug Services- Inpatient","All","Male","0.5",,,,,,,"8199080","3441",
"2018","Commercial HMO","1000001","Statewide","Alcohol/Drug-OP","Identification of Alcohol and Other Drug Services- Outpatient","All","Male","2.6",,,,,,,"8199080","17616",
"2018","Commercial HMO","1000001","Statewide","Alcohol/Drug-OP","Identification of Alcohol and Other Drug Services- Outpatient","All","Female","1.3",,,,,,,"8571082","9225",
"2018","Commercial HMO","1000001","Statewide","Alcohol/Drug-Telehealth","Identification of Alcohol and Other Drug Services- Telehealth","All","Female","0",,,,,,,"8571082","22",
"2018","Commercial HMO","1000001","Statewide","Alcohol/Drug-Telehealth","Identification of Alcohol and Other Drug Services- Telehealth","All","Male","0",,,,,,,"8199080","26",
"2018","Commercial PPO","1000001","Statewide","Alcohol/Drug-Any","Identification of Alcohol and Other Drug Services- Any Service","All","Female","1.1",,,,,,,"15374763","14108",
"2018","Commercial PPO","1000001","Statewide","Alcohol/Drug-Any","Identification of Alcohol and Other Drug Services- Any Service","All","Male","2",,,,,,,"14684102","24444",
"2018","Commercial PPO","1000001","Statewide","Alcohol/Drug-ER","Identification of Alcohol and Other Drug Services- ED","All","Female","0.3",,,,,,,"15374763","3641",
"2018","Commercial PPO","1000001","Statewide","Alcohol/Drug-ER","Identification of Alcohol and Other Drug Services- ED","All","Male","0.5",,,,,,,"14684102","5847",
"2018","Commercial PPO","1000001","Statewide","Alcohol/Drug-IP","Identification of Alcohol and Other Drug Services- Inpatient","All","Male","0.4",,,,,,,"14684102","4488",
"2018","Commercial PPO","1000001","Statewide","Alcohol/Drug-IP","Identification of Alcohol and Other Drug Services- Inpatient","All","Female","0.2",,,,,,,"15374763","2378",
"2018","Commercial PPO","1000001","Statewide","Alcohol/Drug-OP","Identification of Alcohol and Other Drug Services- Outpatient","All","Female","0.8",,,,,,,"15374763","10221",
"2018","Commercial PPO","1000001","Statewide","Alcohol/Drug-OP","Identification of Alcohol and Other Drug Services- Outpatient","All","Male","1.5",,,,,,,"14684102","18266",
