"license_number","npi_number","agency_name","dba","address","city","state","zip_code","region","license_date","registration_status","submission_date"
"0003L001","1538288147","RICHARD L. ARONSON, INC.","A & A STAFFING HEALTH CARE SERVICES","175 MAIN ST","WHITE PLAINS","NY","10601-3105","MARO-NR","02/01/1989","true","12/29/2020"
"0006L001","1417169343","HEALTH ASSOCIATION OF NIAGARA COUNTY, INC.","HEALTH ASSOCIATION OF NIAGARA COUNTY, INC.","1302 MAIN ST","NIAGARA FALLS","NY","14301-1193","WRO-B","12/24/1987","true","12/31/2020"
"0011L001",,"BARKSDALE HEALTH SERVICES, INC.","BARKSDALE HEALTH SERVICES, INC.","327 5TH AVENUE","PELHAM","NY","10803-1203","MARO-NR","04/05/1989","true","12/31/2020"
"0015L001","1194165985","COMMUNITY HEALTH AIDE SERVICES, INC.","COMMUNITY HOME HEALTH CARE","49 NORTH AIRMONT ROAD","MONTEBELLO","NY","10901","MARO-NR","02/21/1989","true","12/23/2020"
"0018L001","1962585638","UNLIMITED CARE INC.","UNLIMITED CARE INC.","733 YONKERS AVENUE","YONKERS","NY","10704","MARO-NR","03/15/1988","true","12/25/2020"
"0018L002","1962585638","UNLIMITED CARE INC.","UNLIMITED CARE INC.","4 JEFFERSON PLAZA","POUGHKEEPSIE","NY","12601-4035","MARO-NR","03/17/1988","true","12/23/2020"
"0018L003","1962585638","UNLIMITED CARE INC.","UNLIMITED CARE INC.","1 PARK PL","PEEKSKILL","NY","10566-3887","MARO-NR","03/22/1988","true","12/27/2020"
"0018L006","1962585638","UNLIMITED CARE INC.","UNLIMITED CARE INC.","453 ROUTE 211 EAST","MIDDLETOWN","NY","10940","MARO-NR","12/13/1996","true","12/23/2020"
"0018L007","1962585638","UNLIMITED CARE INC.","UNLIMITED CARE INC.","138 PINE ST","KINGSTON","NY","12401-4947","MARO-NR","11/22/1999","true","12/23/2020"
"0018L008","1962585638","UNLIMITED CARE INC.","UNLIMITED CARE INC.","160 FAIRVIEW AVENUE","HUDSON","NY","12534","CDRO","09/15/2000","true","12/24/2020"
