"year","region","program_name","indicator_name","master_id","eligible_patients","indicator_value","quintile","facility_type","address","city","zip","location"
"2014","Mid-Hudson","Mid-Hudson_AVERAGE (After Redaction)","New Patient Visit Frequency","RET_3",,,,,,,,
"2013","Bronx","Bronx_AVERAGE (After Redaction)","Anxiety Screening","MH_11","2837","53.60","Fourth",,,,,
"2013","Queens","Queens_AVERAGE (After Redaction)","Syphilis Testing","STI_1","854","90.60","Second",,,,,
"2013","Bronx","Bronx_AVERAGE (Before Redaction)","Syphilis Testing","STI_1","2843","73.60","Fourth",,,,,
"2013","Queens","Queens_AVERAGE (Before Redaction)","Gonorrhea Treatment - Pharyngeal Infection","STI_11",,,,,,,,
"2011","Bronx","Bronx_AVERAGE (After Redaction)","Rectal Chlamydia Testing among All Patients","STI_105","1960","0.30",,,,,,
"2011","Brooklyn","Brooklyn_AVERAGE (After Redaction)","Depression Screening","MH_10","1787","85.20",,,,,,
"2011","Long Island","Long Island_AVERAGE (After Redaction)","Tobacco Use Screening","TOB_1","671","99.50",,,,,,
"2011","Long Island","Long Island_AVERAGE (After Redaction)","Oral health exam","OH_101","671","49.70","Second",,,,,
"2011","Lower Hudson","Lower Hudson_AVERAGE (After Redaction)","Colon Cancer Screening","COL_3","151","41.00","Third",,,,,
"2011","Lower Hudson","Lower Hudson_AVERAGE (Before Redaction)","Tobacco Use Screening","TOB_1","434","96.70",,,,,,
"2011","Manhattan","Manhattan_AVERAGE (After Redaction)","Influenza vaccination","FLU_101","2856","65.80","Third",,,,,
"2011","Manhattan","Manhattan_AVERAGE (After Redaction)","Pharyngeal Gonorrhea Treatment among All Patients","STI_102",,,,,,,,
"2011","Staten Island","Staten Island_AVERAGE (After Redaction)","Digital Rectal Exam","COL_1",,,,,,,,
"2014","Lower Hudson","Lower Hudson_AVERAGE (After Redaction)","ART naïve patients suppressed on first viral load after 12 weeks on ART","VL_7","8","62.50",,,,,,
"2014","Central-West","Central-West_AVERAGE (After Redaction)","Gonorrhea Treatment - Pharyngeal Infection","STI_11",,,,,,,,
"2014","Central-West","Central-West_AVERAGE (After Redaction)","ART naïve patients suppressed on first viral load after 12 weeks on ART","VL_7","41","86.40",,,,,,
"2014","Lower Hudson","Mount Vernon-Montefiore Health System","New Patient Visit Frequency","RET_3",,,,"Designated AIDS Center","12 North 7th Avenue","Mount Vernon","10550","(40.912593, -73.84042)"
"2014","Bronx","Morris Heights Health Center-Walton","New Patient Visit Frequency","RET_3",,,,"Community Health Center","25 East 183rd street","Bronx","10453","(40.858719, -73.90289)"
"2014","Brooklyn","Bedford Stuyvesant Family Health Center, Inc.","Chlamydia Treatment - Rectal Infection","STI_6",,,,"Community Health Center","1458 Fulton Street","Brooklyn","11216","(40.679842, -73.94255)"
"2014","Bronx","Acacia Network-Promesa Casa De Salud","Rectal Chlamydia Testing Among MSM and MtF Transgender Patients","STI_4",,,,"Drug Treatment Center","966 Prospect Avenue","Bronx","10459","(40.822814, -73.89982)"
"2014","Lower Hudson","New Rochelle-Montefiore Health System","Tobacco Cessation Counseling","TOB_2","6","83.30",,"Hospital (non-DAC)","16 Guion Place","New Rochelle","10801","(40.91286, -73.78746)"
"2014","Manhattan","Settlement Health and Medical Services","Gonorrhea Treatment - Pharyngeal Infection","STI_11",,,,"Community Health Center","212 East 106th Street","New York","10029","(40.79093, -73.94418)"
"2014","Brooklyn","Brooklyn_AVERAGE (Before Redaction)","Rectal Chlamydia Testing Among MSM and MtF Transgender Patients","STI_4","868","6.70",,,,,,
"2013","Central-West","Erie County Medical Center","Tobacco Use Screening","TOB_1","106","80.20",,"Designated AIDS Center","462 Grider Street","Buffalo","14215","(42.925422, -78.83133)"
"2014","Central-West","Jordan Health Center -Woodward Health Center","ART naïve patients suppressed on last viral load after 12 weeks on ART","VL_3",,,,"Community Health Center","480 Genessee Street","Rochester","14611","(43.140671, -77.63574)"
"2014","Brooklyn","Brownsville Multi-Service Family Health Center-Institute for Specialty and Integrated Services","Gonorrhea Treatment - Genital Infection","STI_10",,,,"Community Health Center","259 Bristol St","Brooklyn","11212","(40.664679, -73.9111)"
"2014","Manhattan","Mount Sinai Health System-Mount Sinai Beth Israel","Tobacco Cessation Counseling","TOB_2","41","100.00",,"Designated AIDS Center","317 East 17th Street, Fierman Hall 1st Floor","New York","10003","(40.734149, -73.98264)"
"2014","Manhattan","Harlem United-Upper Room AIDS Ministries-Willis P. Green Center","Rectal Chlamydia Testing Among MSM and MtF Transgender Patients","STI_4","172","37.80",,"Community Health Center","123-125 W. 124th Street","New York","10027","(40.807695, -73.94692)"
"2014","Central-West","Ellis Family Health Center-McClellan Street site","ART naïve patients suppressed on first viral load after 12 weeks on ART","VL_7",,,,"Hospital (non-DAC)","624 McClellan Street","Schenectady","12304","(42.804453, -73.91574)"
"2014","Brooklyn","Woodhull Medical Center-NYC Health and Hosp. Corp.","Gonorrhea Treatment - Pharyngeal Infection","STI_11",,,,"Designated AIDS Center","760 Broadway, Rm. 2B151","Brooklyn","11206","(40.699527, -73.94242)"
"2014","Manhattan","Center for Comprehensive Health Practice","Chlamydia Treatment - Rectal Infection","STI_6",,,,"Drug Treatment Center","1900 Second Avenue, 9th Floor","New York","10029","(40.785409, -73.94583)"
"2014","Bronx","Urban Health Plan, Inc. - El Nuevo San Juan","Baseline Resistance Test (All newly diagnosed patients)","BR_1","13","76.90",,"Community Health Center","1065 Southern Boulevard","Bronx","10459","(40.825041, -73.89224)"
"2014","Central-West","Central-West_AVERAGE (Before Redaction)","Gonorrhea Treatment - Rectal Infection","STI_12","2","100.00",,,,,,
"2014","Brooklyn","Lutheran Medical Center-Sunset Terrace Family Health Center/Special Care Immunology Services","Rectal Gonorrhea Testing Among MSM and MtF Transgender Patients","STI_8","69","11.60",,"Designated AIDS Center","514 49th Street","Brooklyn","11220","(40.645136, -74.00928)"
"2014","Central-West","Rochester Regional Health System - Unity Infectious Disease","Gonorrhea Treatment - Pharyngeal Infection","STI_11",,,,"Hospital (non-DAC)","89 Genesee Street- BK-3","Rochester","14611","(43.148435, -77.63717)"
"2014","Long Island","Long Island_AVERAGE (After Redaction)","Antiretroviral Therapy","AR_1","622","95.80","Third",,,,,
"2014","Brooklyn","START Treatment and Recovery Centers-Fort Greene","Antiretroviral Therapy","AR_1","21","100.00","First","Drug Treatment Center","937 Fulton Street","Brooklyn","11238","(40.683512, -73.96565)"
"2014","Bronx","Morris Heights Health Center-Burnside","Baseline Resistance Test (All newly diagnosed patients)","BR_1","13","100.00",,"Community Health Center","85 W. Burnside Ave.","Bronx","10453","(40.854888, -73.91013)"
"2014","Manhattan","Harlem United-Upper Room AIDS Ministries-El Faro","Chlamydia Treatment - Rectal Infection","STI_6",,,,"Community Health Center","179 E116th Street","New York","10029","(40.798463, -73.94029)"
"2014","Brooklyn","Brownsville Multi-Service Family Health Center-Institute for Specialty and Integrated Services","New Patient Visit Frequency","RET_3","15","80.00",,"Community Health Center","259 Bristol St","Brooklyn","11212","(40.664679, -73.9111)"
"2014","Brooklyn","Staten Island University Hospital-North Shore LIJ-Coney Island Multi-Service Center (MMTP)","ART naïve patients suppressed on first viral load after 12 weeks on ART","VL_7",,,,"Drug Treatment Center","425 Coney Island Ave","Brooklyn","11218","(40.647345, -73.97073)"
"2014","Bronx","Montefiore Health System-Montefiore Medical Center (Moses Division)-Center for Positive Living-Designated AIDS Center","New Patient Visit Frequency","RET_3","28","75.00",,"Designated AIDS Center","3444 Kossuth Avenue, 3rd Floor","Bronx","10467","(40.881239, -73.88109)"
"2014","Manhattan","Lenox Hill Hospital-Retroviral Disease Clinic/Primary Care Center","Suppressed at Last VL of Review Period","VL_1","85","80.00","Third","Designated AIDS Center","210 E. 64th street","New York","10065","(40.764064, -73.96327)"
"2014","Brooklyn","START Treatment and Recovery Centers-Bushwick","ART naïve patients suppressed on first viral load after 12 weeks on ART","VL_7",,,,"Drug Treatment Center","1149-55 Myrtle Avenue","Brooklyn","11206","(40.697187, -73.93489)"
"2014","Bronx","Acacia Network-Promesa Clay Avenue","Tobacco Use Screening","TOB_1","57","36.80",,"Drug Treatment Center","1776 Clay Ave","Bronx","10457","(40.846149, -73.90424)"
"2014","Manhattan","Project Renewal, Inc.-Third Street Men's Shelter & Two Mobile Medical Vans","Baseline Resistance Test (All newly diagnosed patients)","BR_1",,,,"Community Health Center","8 East Third Street","New York","10003","(40.725859, -73.991)"
"2014","Central-West","United Health Services Hospitals, Inc-Binghamton Family Care Center","Visit Frequency (12-month)","RET_1","308","90.60","Second","Hospital (non-DAC)","33 Mitchell Ave, Suite 102","Binghamton","13903","(42.086882, -75.91373)"
"2014","Brooklyn","Interfaith Medical Center","Antiretroviral Therapy","AR_1","85","96.50","Third","Designated AIDS Center","880 Bergen Street","Brooklyn","11238","(40.677003, -73.95816)"
"2014","Brooklyn","Housing Works-East New York Health Center","ART naïve patients suppressed on first viral load after 12 weeks on ART","VL_7","73","79.50",,"Community Health Center","2640 Pitkin Ave","Brooklyn","11208","(40.674764, -73.87475)"
"2014","Lower Hudson","Westchester Medical Center-AIDS Care Center","Pharyngeal Gonorrhea Testing Among MSM and MtF Transgender Patients","STI_9","18","5.60",,"Designated AIDS Center","95 Grasslands Rd., Cedarwood Hall","Valhalla","10595","(41.077434, -73.81568)"
"2014","Bronx","Segundo Ruiz Belvis Diagnostic & Treatment Ctr-NYC Health and Hosp. Corp.","Gonorrhea Treatment - Rectal Infection","STI_12",,,,"Community Health Center","545 East 142nd St, 2nd Floor","Bronx","10454","(40.81013, -73.91577)"
"2014","Manhattan","Acacia Network-Promesa Barbee Family Health Center","Visit Frequency (24-month)","RET_2","12","91.70","First","Drug Treatment Center","266 West 145th Street","New York","10001","(40.822346, -73.94143)"
"2014","Bronx","Acacia Network-Promesa Claremont Family Health Clinic","Visit Frequency (12-month)","RET_1","114","96.50","First","Drug Treatment Center","262-4 174th Street","Bronx","10457","(40.844492, -73.90605)"
"2014","Lower Hudson","Lower Hudson_AVERAGE (Before Redaction)","Gonorrhea Treatment - Pharyngeal Infection","STI_11","1","100.00",,,,,,
"2014","Manhattan","Settlement Health and Medical Services","New Patient Visit Frequency","RET_3",,,,"Community Health Center","212 East 106th Street","New York","10029","(40.79093, -73.94418)"
"2014","Long Island","Long Island_AVERAGE (Before Redaction)","Rectal Chlamydia Testing Among MSM and MtF Transgender Patients","STI_4","175","14.60",,,,,,
"2014","Lower Hudson","Hudson River HealthCare - Peekskill","Chlamydia Treatment - Rectal Infection","STI_6",,,,"Community Health Center","1037 Main Street","Peekskill","10566","(41.291523, -73.91833)"
"2014","Brooklyn","Staten Island University Hospital-Canarsie MultiService Center (MMTP)-North Shore LIJ","Chlamydia Treatment - Genital Infection","STI_5",,,,"Drug Treatment Center","567 East 105th Street","Brooklyn","11236","(40.651132, -73.89807)"
"2014","Long Island","North Shore Long Island Jewish-North Shore University Hospital-Center for AIDS Research & Treatment","ART naïve patients suppressed on first viral load after 12 weeks on ART","VL_7","28","85.70",,"Designated AIDS Center","400 Community Drive","Manhasset","11030","(40.774313, -73.70161)"
