"county","type","name","phone","website","location"
"HAMILTON","Organ Procurement Organizations","Center for Donation and Transplant","800-256-7811","http://www.cdtny.org","
,  
(43.618468, -74.395268)"
"PUTNAM","Eye Bank","Eye-Bank for Sight Restoration","212-742-9000","http://www.eyedonation.org","
,  
(41.41131, -73.717443)"
"NASSAU","Tissue Bank","LiveOnNY","646-291-4444","http://www.liveonny.org","
,  
(40.715749, -73.601185)"
"ALBANY","Organ Procurement Organizations","Center for Donation and Transplant","800-256-7811","http://www.cdtny.org","
,  
(42.678066, -73.814233)"
"MADISON","Eye Bank","Central New York Eye and Tissue Bank","315-476-0199","http://www.cnyetb.com","
,  
(42.986917, -75.720031)"
"ST. LAWRENCE","Tissue Bank","Central New York Eye and Tissue Bank","315-476-0199","http://www.cnyetb.com","
,  
(44.689468, -75.24045)"
"ONONDAGA","Eye Bank","Central New York Eye and Tissue Bank","315-476-0199","http://www.cnyetb.com","
,  
(43.065629, -76.168033)"
"ALLEGANY","Eye Bank","ConnectLife","716-529-4300","http://www.connectlife.org","
,  
(42.226801, -78.020567)"
"ONTARIO","Organ Procurement Organizations","Finger Lakes Donor Recovery Network","800-810-5494","http://www.donorrecovery.org/","
,  
(42.894571, -77.252045)"
"WAYNE","Eye Bank","Lions Eye Bank at Rochester","585-272-7890","http://www.lionseyebankrochester.org","
,  
(43.144336, -77.117995)"
"BROOME","Tissue Bank","Center for Donation and Transplant","800-256-7811","http://www.cdtny.org","
,  
(42.122015, -75.933191)"
"FRANKLIN","Organ Procurement Organizations","Center for Donation and Transplant","800-256-7811","http://www.cdtny.org","
,  
(44.705699, -74340621)"
"QUEENS","Eye Bank","Lions Eye Bank Long Island","516-256-6990","http://www.lebli.org","
,  
(40.749338, 73.789673)"
"ROCKLAND","Organ Procurement Organizations","LiveOnNY","646-291-4444","http://www.liveonny.org","
,  
(41.127287, -74.017033)"
"ST. LAWRENCE","Tissue Bank","Musculoskeletal Transplant Foundation of Syracuse","800-946-9008","http://www.mtf.org","
,  
(42.270053, -77.324618)"
"TIOGA","Organ Procurement Organizations","Center for Donation and Transplant","800-256-7811","http://www.cdtny.org","
,  
(42.120252, -76.29595)"
