"id","year","employer_name","employer_email","employer_phone","employer_address","employer_city","employer_state","employer_zip","employer_country","compensation","expenditures","agg_contrib","ballot_prop","entertain","vendor","expert_retain","inform_material","lobbying_comm","ie_in_support","itemized_exp","other_l3_exp","political","corr_compensation","corr_expend","total_exp","l3_nid","employer_nid"
"40140-2022","2022","The Washington Bus"," fernando@washingtonbus.org","(206) 325-1889","1801 12th Avenue, Suite A","Seattle","WA","98122","US","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0",,"40140"
"40140-2020","2020","The Washington Bus"," fernando@washingtonbus.org","(206) 325-1889","1801 12th Avenue, Suite A","Seattle","WA","98122","US","330.25","73.08","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","60.00","116.46","116.46","75134","40140"
"40140-2021","2021","The Washington Bus"," fernando@washingtonbus.org","(206) 325-1889","1801 12th Avenue, Suite A","Seattle","WA","98122","US","71.21000000000001","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","100.87","0.00","71.21000000000001","89279","40140"
"40140-2018","2018","The Washington Bus"," fernando@washingtonbus.org","(206) 325-1889","1801 12th Avenue, Suite A","Seattle","WA","98122","US","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","51593","40140"
"17190-2016","2016","WA BEVERAGE ASSN","heather@clarkecompany.net","360-628-8129","PO Box 7326","OLYMPIA","WA","98507","US","122750","7768.06","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","130518.06","29435","17190"
"17190-2017","2017","WA BEVERAGE ASSN","heather@clarkecompany.net","360-628-8129","PO Box 7326","OLYMPIA","WA","98507","US","126544.68","17289.079999999998","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","143833.76","41682","17190"
"17190-2018","2018","WA BEVERAGE ASSN","heather@clarkecompany.net","360-628-8129","PO Box 7326","OLYMPIA","WA","98507","US","97668.89","159691.38999999998","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","255686.39","52073","17190"
"17190-2019","2019","WA BEVERAGE ASSN","heather@clarkecompany.net","360-628-8129","PO Box 7326","OLYMPIA","WA","98507","US","67448","22316.79","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","85316.79","65329","17190"
"17190-2020","2020","WA BEVERAGE ASSN","heather@clarkecompany.net","360-628-8129","PO Box 7326","OLYMPIA","WA","98507","US","90000","26762.5","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","116762.5","65326","17190"
"17190-2021","2021","WA BEVERAGE ASSN","heather@clarkecompany.net","360-628-8129","PO Box 7326","OLYMPIA","WA","98507","US","91000","30982.81","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","120982.81","93196","17190"
"89711-2022","2022","Block, Inc.","state-license@squareup.com","4153753176 x72007","1455 MARKET STREET","SAN FRANCISCO","CA","94103","US","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0",,"89711"
"78642-2021","2021","WSNIA","dhayes@wsnia.org","3602245301","10519 20th St. SE","Lake Stevens","WA","98258","US","15000","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","15000","85047","78642"
"78642-2022","2022","WSNIA","dhayes@wsnia.org","3602245301","10519 20th St. SE","Lake Stevens","WA","98258","US","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0",,"78642"
"16198-2022","2022","BLUE STAR GAS","AGALLARD@BLUESTARGAS.COM","(707) 573-3130","880 N WRIGHT RD","SANTA ROSA","CA","95407","US","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","93697","16198"
"16107-2016","2016","Elevance Health, and its Affiliates","Ccastro2@multistate.com","(703) 928-3977","1001 Pennsylvania Ave NW","Washington","DC","20004","US","231000","26500","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","257500","30548","16107"
"16107-2017","2017","Elevance Health, and its Affiliates","Ccastro2@multistate.com","(703) 928-3977","1001 Pennsylvania Ave NW","Washington","DC","20004","US","103000","36.38","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","103036.38","40809","16107"
