"id","submission_id","report_number","filer_id","person_id","name","receipt_date","period_start","period_end","json","url","certification_name","certification_email","certification_phone","candidacies","offices","certification","history"
"8",,"100914703","CROSSJ--284","24312","Justin Crossman","2019-07-08T00:00:00.000","2018-07-08T00:00:00.000","2019-07-07T00:00:00.000",,"Request record (https://www.pdc.wa.gov/browse/request-agency-records)",,,,"[{""person_name"" : ""Justin Crossman"", ""office"" : ""CITY COUNCIL MEMBER"", ""jurisdiction"" : ""CITY OF SEDRO WOOLLEY"", ""position"" : """", ""campaign_start_date"" : ""2019-07-08"", ""election"" : ""2019 General"", ""address"" : """", ""city"" : """", ""state"" : """", ""postcode"" : """"}]","[]",,"[]"
"9",,"100918705","CULPL--166","25011","Loren D. Culp","2019-07-22T00:00:00.000","2018-07-22T00:00:00.000","2019-07-21T00:00:00.000",,"Request record (https://www.pdc.wa.gov/browse/request-agency-records)",,,,"[{""person_name"" : ""Loren D. Culp"", ""office"" : ""GOVERNOR"", ""jurisdiction"" : ""State of Washington"", ""position"" : """", ""campaign_start_date"" : ""2019-07-19"", ""election"" : ""2020 General"", ""address"" : ""P.O. Box 1083"", ""city"" : ""republic"", ""state"" : ""WA"", ""postcode"" : ""99166""}]","[]",,"[]"
"10",,"100903999","DOUGN  354","11391","Noah Douglas","2019-05-14T00:00:00.000","2018-05-14T00:00:00.000","2019-05-13T00:00:00.000",,"Request record (https://www.pdc.wa.gov/browse/request-agency-records)",,,,"[]","[]",,"[]"
"11",,"100879463","FARRT  408","1098","FARRELL TIMOTHY M","2019-01-08T00:00:00.000","2018-01-08T00:00:00.000","2019-01-07T00:00:00.000",,"Request record (https://www.pdc.wa.gov/browse/request-agency-records)",,,,"[{""person_name"" : ""FARRELL TIMOTHY M"", ""office"" : ""COUNTY COUNCIL MEMBER"", ""jurisdiction"" : ""PIERCE CO"", ""position"" : ""County Council Member Position 4"", ""campaign_start_date"" : ""2019-01-08"", ""election"" : ""2020 General"", ""address"" : ""413 SOUTH M STREET"", ""city"" : ""TACOMA"", ""state"" : ""WA"", ""postcode"" : ""98405""}]","[]",,"[]"
"18",,"100903991","RETZJ  111","25341","RETZER JAMES D","2019-05-14T00:00:00.000","2018-05-14T00:00:00.000","2019-05-13T00:00:00.000",,"Request record (https://www.pdc.wa.gov/browse/request-agency-records)",,,,"[]","[]",,"[]"
"30",,"1001300858","AICHR--642","23836","Rob Henry Aichele","2019-05-21T00:00:00.000","2018-05-21T00:00:00.000","2019-05-20T00:00:00.000",,"Request record (https://www.pdc.wa.gov/browse/request-agency-records)",,,,"[{""person_name"" : ""Robert Henry Aichele"", ""office"" : ""CITY COUNCIL MEMBER"", ""jurisdiction"" : ""CITY OF RIDGEFIELD"", ""position"" : """", ""campaign_start_date"" : ""2019-05-21"", ""election"" : ""2019 General"", ""address"" : ""1275 S 15th Way"", ""city"" : ""Ridgefield"", ""state"" : ""WA"", ""postcode"" : ""98642-7825""}]","[]",,"[]"
"31",,"100914419","AINLR--252","24087","Rick Ainley","2019-07-05T00:00:00.000","2018-07-05T00:00:00.000","2019-07-04T00:00:00.000",,"Request record (https://www.pdc.wa.gov/browse/request-agency-records)",,,,"[{""person_name"" : ""Rick Ainley"", ""office"" : ""FIRE COMMISSIONER"", ""jurisdiction"" : ""SNOHOMISH FIRE PROT DIST 17"", ""position"" : ""Fire Commissioner Position 1"", ""campaign_start_date"" : ""2019-07-05"", ""election"" : ""2019 General"", ""address"" : ""8011 Skinner rd"", ""city"" : ""Granite Falls"", ""state"" : ""WA"", ""postcode"" : ""98252""}]","[]",,"[]"
"39",,"100912741","AMESC--499","24984","Charles Ames","2019-06-26T00:00:00.000","2018-06-26T00:00:00.000","2019-06-25T00:00:00.000",,"Request record (https://www.pdc.wa.gov/browse/request-agency-records)",,,,"[{""person_name"" : ""Charles Ames"", ""office"" : ""CITY COUNCIL MEMBER"", ""jurisdiction"" : ""CITY OF LAKEWOOD"", ""position"" : """", ""campaign_start_date"" : ""2019-06-26"", ""election"" : ""2019 General"", ""address"" : ""P.O. Box 99674"", ""city"" : ""Lakewood"", ""state"" : ""WA"", ""postcode"" : ""98496""}]","[]",,"[]"
"43",,"1001300863","ANDEG--366","11753","Gary K. Anderson","2019-05-24T00:00:00.000","2018-05-24T00:00:00.000","2019-05-23T00:00:00.000",,"Request record (https://www.pdc.wa.gov/browse/request-agency-records)",,,,"[{""person_name"" : ""Gary K. Anderson"", ""office"" : ""PORT COMMISSIONER"", ""jurisdiction"" : ""PORT OF BREMERTON 1"", ""position"" : ""Port Commissioner Position 2"", ""campaign_start_date"" : ""2019-05-24"", ""election"" : ""2019 General"", ""address"" : ""Po Box 635"", ""city"" : ""Port Orchard"", ""state"" : ""WA"", ""postcode"" : ""98366""}]","[]",,"[]"
"44",,"100915997","ANDEJ--321","25344","ANDERSON JAMES R","2019-07-11T00:00:00.000","2018-07-11T00:00:00.000","2019-07-10T00:00:00.000",,"Request record (https://www.pdc.wa.gov/browse/request-agency-records)",,,,"[]","[]",,"[]"
