"officeid","officename","officenumber","mainofficeid","physicaladdressline1","physicaladdressline2","physicalcity","physicalstate","physicalzip","mailaddressline1","mailaddressline2","mailcity","mailstate","mailzip","mailstop","phone","fax","tollfree","geocodedphysicaladdress"
"1","Tacoma","985",,"1949 South State Street",,"Tacoma","WA","98405",,,,"WA",,"WT-14","253.983.6400","253.597.3640",,"1949 South State Street
Tacoma, WA 98405
(47.24138, -122.465227)"
"6","Aberdeen","987","7","415 West Wishkah, Suite 2C",,"Aberdeen","WA","98520",,,,"WA",,"W14-4","360.537.4312","360.533.9236",,"415 West Wishkah
Aberdeen, WA 98520
(46.972446, -123.821413)"
"11","Mount Vernon","995","5","900 East College Way, Suite 10",,"Mount Vernon","WA","98273","4101 Meridian Street",,"Bellingham","WA","98226 ","B29-1","360.714.4118","360.416.7278","1.800.344.8219","900 East College Way
Mount Vernon, WA 98273
(48.435798, -122.329212)"
"17","Bellevue","997",,"805 156th Avenue Northeast",,"Bellevue","WA","98007-4614",,,,"WA",,"NB-80","425.590.3100","425.649.4066",,"805 156th Avenue Northeast
Bellevue, WA 98007-4614
(47.617525, -122.132492)"
"2","Port Angeles","986","4","201 West First Street, Suite 2",,"Port Angeles","WA","98362",,,,"WA",,"N/A","360.565.2272","360.417.1440",,"201 West First Street
Port Angeles, WA 98362
(48.119845, -123.435435)"
"7","Olympia","987",,"505 Union Avenue, Suite 200",,"Olympia","WA","98501","PO Box 40972",,"Olympia","WA","98504-0972","40972","360.407.1992","360.407.1990",,"505 Union Avenue
Olympia, WA 98501
(47.039329, -122.89556)"
"10","Everett","996",,"1000 SE Everett Mall Way","Suite 204","Everett","WA","98208",,,,"WA",,"TB-98","425.740.6871","425.514.5465",,"1000 SE Everett Mall Way
Everett, WA 98208
(47.910456, -122.220026)"
"16","Spokane","991",,"4202 South Regal Street",,"Spokane","WA","99223",,,,"WA",,"N/A","509.789.3820","509.789.3821",,"4202 South Regal Street
Spokane, WA 99223
(47.61566, -117.368644)"
"3","Renton","983",,"800 Oakesdale Avenue Southwest",,"Renton","WA","98057-5221",,,,"WA",,"TB-99","253.778.7941","425.228.6001","1.800.664.4549","800 Oakesdale Avenue Southwest
Renton, WA 98057-5221
(47.472393, -122.235469)"
"13","State Office","990",,"1110 Jefferson Street Southeas",,"Olympia","WA","98501","PO Box 40970",,"Olympia","WA","98504-0970","40970","360.725.4665","360.413.3482","1.866.482.4325","1110 Jefferson Street Southeast
Olympia, WA 98501
(47.038306, -122.89585)"
"8","Kelso","988","21","711 Vine Street",,"Kelso","WA","98626",,,,"WA",,"S8-6","360.501.2645","360.577.2382",,"711 Vine Street
Kelso, WA 98626
(46.142345, -122.906139)"
"4","Silverdale","986",,"388 NW Randall Way","Suite 201","Silverdale","WA","98383",,,,,,"N/A","360.698.4388","360.698.4398",,"388 NW Randall Way
Silverdale, WA 98383"
"21","Vancouver","988",,"907 Harney Street",,"Vancouver","WA","98660 ","PO Box 9809",,"Vancouver","WA","98666 ","S6-9","360.993.7946","360.418.6118",,"907 Harney Street
Vancouver, WA 98660
(45.628433, -122.679301)"
"12","Yakima","994",,"111 South Second Avenue",,"Yakima","WA","98902 ","33 South Second Avenue",,"Yakima","WA","98902","N/A","509.834.6839","509.834.6850",,"111 South Second Avenue
Yakima, WA 98902
(46.599151, -120.510141)"
"9","Wenatchee","992",,"805 South Mission Street",,"Wenatchee","WA","98801",,,,"WA",,"N/A","509.665.5289","509.664.3182",,"805 South Mission Street
Wenatchee, WA 98801
(47.412849, -120.304328)"
"5","Bellingham","995",,"4101 Meridian Street",,"Bellingham","WA","98226",,,,"WA",,"N/A","360.714.4118","360.714.4205","1.800.344.8219","4101 Meridian Street
Bellingham, WA 98226
(48.790591, -122.486141)"
"20","Tri-Cities","993",,"1661 Fowler Street",,"Richland","WA","99352",,,,"WA",,"N/A","509.544.5705","509.544.5792","1.800.731.3536","1661 Fowler Street
Richland, WA 99352
(46.234893, -119.225726)"
