"company_name","cocode","domicile","business_type","year","a_dental_premiums","b_dental_payments","c_dental_members","d_dental_member_months","e_dental_loss_ratio_b_a","f_average_amount_of_premums_per_member_per_month_a_d","g_previous_yearaverage_amount_of_premums_per_member_per_month","h_percentage_change_in_average_premum_per_member_per_month_from_previous_year_f_g_g"
"American Fidelity Assurance Company","60410","OK","L","2018","19071","2751","0","0","14.42504325939908700",,"16.489578037620742",
"American Fidelity Assurance Company","60410","OK","L","2019","958","849","0","0","88.6221294363256800",,,
"Boston Mutual Life Insurance Company","61476","MA","L","2019","688","-11487","0","0","-1669.62209302325600",,"17.164494885806363",
"United States Life Insurance Company in the City of New York","70106","NY","L","2019","174791","11778","0","0","6.73833320937576900",,,
"SENTRY INSURANCE A MUTUAL COMPANY","24988","WI","P","2017","53","0","1","12","0","4.416666666666667","0",
"THE PAUL REVERE LIFE INSURANCE COMPANY","67598","MA","L","2016","73","0","3","18","0","4.06",,
"SECURIAN LIFE INSURANCE COMPANY","93742","MN","L","2020","3151.00","-5877.00","0.00","135.00","-187.00","23.34","34.00","-0.31"
"Guarantee Trust Life Insurance Company","64211","IL","L","2018","8727","4157","20","238","47.63378022229861600","36.668067226890756","0",
"Jackson National Life Insurance Company","65056","MI","L","2020","1224.00","-8000.00","0.00","276.00","-654.00","4.43","28.23","-0.84"
"TRANSAMERICA PREMIER LIFE INSURANCE COMPANY","66281","IA","L","2019","8604","0","29","352","0","24.443181818181817","25.967914438502675","-0.05871602141680404"
"TRANSAMERICA PREMIER LIFE INSURANCE COMPANY","66281","IA","L","2018","9712","0","31","374","0","25.967914438502675","24.242424242424242","7.12%"
"The Manhattan Life Insurance Company","65870","NY","L","2020","16132.00","9407.00","38.00","388.00","58.00","41.58",,
"TRANSAMERICA PREMIER LIFE INSURANCE COMPANY","66281","IA","L","2017","11200","0","39","462","0","24.242424242424242","29.8547","-18.80%"
"Jackson National Life Insurance Company","65056","MI","L","2019","16427","10873","46","582","66.1898094600353100","28.225085910652922","28.582539682539682","-0.012506018564372688"
"Jackson National Life Insurance Company","65056","MI","L","2018","18007","28743","51","630","159.6212583995113100","28.582539682539682","27.863636363636363","2.58%"
"HORACE MANN LIFE INSURANCE COMPANY","64513","IL","L","2020","8458.00","103.00","54.00","648.00","1.00","13.05","12.83","0.02"
"Jackson National Life Insurance Company","65056","MI","L","2017","18390","17130","54","660","93.1484502446982100","27.863636363636363","28.617391304347827","-2.63%"
"HORACE MANN LIFE INSURANCE COMPANY","64513","IL","L","2019","8621","273","56","672","3.16668599930402500","12.828869047619047","12.78825136612022","0.003176171654432455"
"Jackson National Life Insurance Company","65056","MI","L","2016","19746","25871","56","690","13100","28.62","29.39","-2.60%"
"HORACE MANN LIFE INSURANCE COMPANY","64513","IL","L","2018","9361","151","61","732","1.613075526119004500","12.78825136612022","12.002380952380953","6.55%"
"Jackson National Life Insurance Company","65056","MI","L","2016","21687","17363","59","738","8010.0","29.39",,
"Western United Life Assurance Company","85189","WA","L","2019","35427","21992","112","798","62.0769469613571600","44.39473684210526","39.37022900763359","0.12762201188866482"
"HORACE MANN LIFE INSURANCE COMPANY","64513","IL","L","2016","8016","51","67","804","60.0","9.97",,
"HORACE MANN LIFE INSURANCE COMPANY","64513","IL","L","2017","10082","106","70","840","1.051378694703431800","12.002380952380953","11.942488262910798","0.50%"
