"funding_program","eligible_funding_recipients","eligible_projects","website","administrative_organization","current_status","primary_contact","alternate_contact","grant_or_loan","program_description","eligible_projects_description","administrative_sub_organization","percent_match","match_requirement_description","funding_limitation","funding_limitation_description","application_open","application_closed","additional_application_dates","supplemental_information","last_updated"
"Centennial Grants (Water Quality Combined Financial Assistance Program)","Counties, Cities, Towns","Construction","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Pat Brommer; 360-407-6566; patricia.brommer@ecy.wa.gov","David Dunn; 360-407-6503; david.dunn@ecy.wa.gov","Grant","The Centennial grants provide funding for water quality infrastructure and nonpoint source pollution projects to improve and protect water quality.  Eligible infrastructure projects are limited to wastewater treatment construction projects for financially distressed communities, nonpoint projects, on-site septic system repair and replacement, other eligible nonpoint activities.","n/a","Water Quality Program","0","n/a","$5,000,000","Hardship communities (WWTF) Up to $5M
","2017-08-14T00:00:00.000","2017-10-16T00:00:00.000","Apply via the annual Water Quality Combined Funding Cycle process.","n/a","2017-10-10T00:00:00.000"
"Centennial Grants (Water Quality Combined Financial Assistance Program)","Special Purpose Districts","Construction","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Pat Brommer; 360-407-6566; patricia.brommer@ecy.wa.gov","David Dunn; 360-407-6503; david.dunn@ecy.wa.gov","Grant","The Centennial grants provide funding for water quality infrastructure and nonpoint source pollution projects to improve and protect water quality.  Eligible infrastructure projects are limited to wastewater treatment construction projects for financially distressed communities, nonpoint projects, on-site septic system repair and replacement, other eligible nonpoint activities.","n/a","Water Quality Program","0","n/a","$5,000,000","Hardship communities (WWTF) Up to $5M
","2017-08-14T00:00:00.000","2017-10-16T00:00:00.000","Apply via the annual Water Quality Combined Funding Cycle process.","n/a","2017-10-10T00:00:00.000"
"Centennial Grants (Water Quality Combined Financial Assistance Program)","Tribes","Construction","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Pat Brommer; 360-407-6566; patricia.brommer@ecy.wa.gov","David Dunn; 360-407-6503; david.dunn@ecy.wa.gov","Grant","The Centennial grants provide funding for water quality infrastructure and nonpoint source pollution projects to improve and protect water quality.  Eligible infrastructure projects are limited to wastewater treatment construction projects for financially distressed communities, nonpoint projects, on-site septic system repair and replacement, other eligible nonpoint activities.","n/a","Water Quality Program","0","n/a","$5,000,000","Hardship communities (WWTF) Up to $5M
","2017-08-14T00:00:00.000","2017-10-16T00:00:00.000","Apply via the annual Water Quality Combined Funding Cycle process.","n/a","2017-10-10T00:00:00.000"
"Centennial Grants (Water Quality Combined Financial Assistance Program)","Counties, Cities, Towns","Loan","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Pat Brommer; 360-407-6566; patricia.brommer@ecy.wa.gov","Rebecca Brown; 360-407-6703; rebecca.brown@ecy.wa.gov","Grant","The Centennial grants provide funding for water quality infrastructure and nonpoint source pollution projects to improve and protect water quality.  Eligible infrastructure projects are limited to wastewater treatment construction projects for financially distressed communities, nonpoint projects, on-site septic system repair and replacement, other eligible nonpoint activities.","n/a","Water Quality Program","50","n/a","$5,000,000"," $500K - Cash-only match contribution
","2017-08-14T00:00:00.000","2017-10-16T00:00:00.000","Apply via the annual Water Quality Combined Funding Cycle process.","n/a","2017-10-10T00:00:00.000"
"Centennial Grants (Water Quality Combined Financial Assistance Program)","Conservation Districts","Loan","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Pat Brommer; 360-407-6566; patricia.brommer@ecy.wa.gov","Rebecca Brown; 360-407-6703; rebecca.brown@ecy.wa.gov","Grant","The Centennial grants provide funding for water quality infrastructure and nonpoint source pollution projects to improve and protect water quality.  Eligible infrastructure projects are limited to wastewater treatment construction projects for financially distressed communities, nonpoint projects, on-site septic system repair and replacement, other eligible nonpoint activities.","n/a","Water Quality Program","50","n/a","$5,000,000"," $500K - Cash-only match contribution
","2017-08-14T00:00:00.000","2017-10-16T00:00:00.000","Apply via the annual Water Quality Combined Funding Cycle process.","n/a","2017-10-10T00:00:00.000"
"Centennial Grants (Water Quality Combined Financial Assistance Program)","Special Purpose Districts","Loan","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Pat Brommer; 360-407-6566; patricia.brommer@ecy.wa.gov","Rebecca Brown; 360-407-6703; rebecca.brown@ecy.wa.gov","Grant","The Centennial grants provide funding for water quality infrastructure and nonpoint source pollution projects to improve and protect water quality.  Eligible infrastructure projects are limited to wastewater treatment construction projects for financially distressed communities, nonpoint projects, on-site septic system repair and replacement, other eligible nonpoint activities.","n/a","Water Quality Program","50","n/a","$5,000,000"," $500K - Cash-only match contribution
","2017-08-14T00:00:00.000","2017-10-16T00:00:00.000","Apply via the annual Water Quality Combined Funding Cycle process.","n/a","2017-10-10T00:00:00.000"
"Centennial Grants (Water Quality Combined Financial Assistance Program)","Tribes","Loan","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Pat Brommer; 360-407-6566; patricia.brommer@ecy.wa.gov","Rebecca Brown; 360-407-6703; rebecca.brown@ecy.wa.gov","Grant","The Centennial grants provide funding for water quality infrastructure and nonpoint source pollution projects to improve and protect water quality.  Eligible infrastructure projects are limited to wastewater treatment construction projects for financially distressed communities, nonpoint projects, on-site septic system repair and replacement, other eligible nonpoint activities.","n/a","Water Quality Program","50","n/a","$5,000,000"," $500K - Cash-only match contribution
","2017-08-14T00:00:00.000","2017-10-16T00:00:00.000","Apply via the annual Water Quality Combined Funding Cycle process.","n/a","2017-10-10T00:00:00.000"
"319 Grants (Water Quality Combined Financial Assistance Program)","Tribes","Agricultural Best Management Practices","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Alissa Ferrell; 360-407-6509; alissa.ferrell@ecy.wa.gov","Pat Brommer; 360-407-6566; patricia.brommer@ecy.wa.gov","Grant","The 319 grants provide funding for nonpoint source pollution projects to improve and protect water quality.  ","n/a","Water Quality Program","25","n/a","$250,000 or $500,000","$250K grant limit with In-kind match contribution;  $500K grant limit with Cash-only match contribution. ","2017-08-14T00:00:00.000","2017-10-16T00:00:00.000","Apply via the annual Water Quality Combined Funding Cycle process.","n/a","2017-10-10T00:00:00.000"
"Freshwater Algae Program","Counties, Cities, Towns","Technical Studies/Reports","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Lizbeth Seebacher; 360-407-6938; lizbeth.seebacher@ecy.wa.gov","Pat Brommer; 360-407-6566; patricia.brommer@ecy.wa.gov","Grant","The Freshwater Algae Program provides funding for groups working to manage or control algae in water bodies that have had toxic algae blooms within the last three years. This program was established in 2005 by the Washington State Legislature.","n/a","Water Quality Program","25","n/a","$50,000","n/a","2017-10-01T00:00:00.000","2017-11-15T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Centennial Grants (Water Quality Combined Financial Assistance Program)","Counties, Cities, Towns","Agricultural Best Management Practices","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Pat Brommer; 360-407-6566; patricia.brommer@ecy.wa.gov","Alissa Ferrell; 360-407-6509; alissa.ferrell@ecy.wa.gov","Grant","The Centennial grants provide funding for water quality infrastructure and nonpoint source pollution projects to improve and protect water quality.  Eligible infrastructure projects are limited to wastewater treatment construction projects for financially distressed communities, nonpoint projects, on-site septic system repair and replacement, other eligible nonpoint activities.","n/a","Water Quality Program","25","n/a","$250,000 or $500,000","$250K grant limit with In-kind match contribution;  $500K grant limit with Cash-only match contribution. ","2017-08-14T00:00:00.000","2017-10-16T00:00:00.000","Apply via the annual Water Quality Combined Funding Cycle process.","n/a","2017-10-10T00:00:00.000"
