"businessname","contractorlicensenumber","contractorlicensetypecode","contractorlicensetypecodedesc","licensestatus","licensestatusdesc","ubi","bondfirmname","bondaccountid","bondamt","receivedbyl_i","bondeffectivedate","bondexpirationdate","bondcanceldate","bondimpaired","bondimpaireddate"
"04 CONSTRUCTION LLC","04CONCL862CR","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603320569","Wesco Insurance Co","46wb037737","12000","2014-02-19T00:00:00.000","2013-11-01T00:00:00.000",,"2016-11-03T00:00:00.000",,
"04 CONSTRUCTION LLC","04CONCL862CR","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603320569","Wesco Insurance Co","46WB081197","12000","2016-11-14T00:00:00.000","2016-11-14T00:00:00.000",,"2019-11-16T00:00:00.000",,
"04 CONSTRUCTION LLC","04CONCL862CR","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603320569","Western Surety Co","64857039","12000","2019-11-18T00:00:00.000","2019-11-07T00:00:00.000","Until Canceled",,,
"1002 COATINGS & CONST LLC","1002CCC811LR","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604411571","Ohio Cas Ins Co","32S604948","12000","2019-06-19T00:00:00.000","2019-03-12T00:00:00.000","Until Canceled",,,
"100 PROOF DRYWALL LLC","100PRPD823OR","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604312899","Wesco Insurance Co","46WB097243","6000","2018-09-19T00:00:00.000","2018-09-05T00:00:00.000",,"2019-09-29T00:00:00.000",,
"100 PROOF DRYWALL LLC","100PRPD823OR","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604312899","Navigators Ins Co","NAV00007895","6000","2019-10-08T00:00:00.000","2019-09-05T00:00:00.000",,"2022-09-07T00:00:00.000",,
"100 PROOF DRYWALL LLC","100PRPD823OR","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604312899","NORTH RIVER INSURANCE COMPANY THE","46CF806253","6000","2022-09-01T00:00:00.000","2022-09-05T00:00:00.000","Until Canceled",,,
"101 CONSTRUCTION LLC","101COCL799M6","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604784212","American Contractors Indem CO","100588947","12000","2021-07-26T00:00:00.000","2021-07-13T00:00:00.000","Until Canceled",,,
"101 GENERAL CONTRACTING LLC","101GEGC810PH","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604524842","Navigators Ins Co","NAV00009719","12000","2019-10-08T00:00:00.000","2019-09-30T00:00:00.000",,"2021-09-30T00:00:00.000",,
"101 GENERAL CONTRACTING LLC","101GEGC810PH","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604524842","HARTFORD INSURANCE CO THE MIDWEST","57BSBIM8163","12000","2021-09-28T00:00:00.000","2021-09-30T00:00:00.000","Until Canceled",,,
