"ubi","businessname","legalname","businessid","locationid","city"
"600-380-991","...AND BOOKS, TOO!","WUTZKE, JUDITH RUBY","1","2","CLARKSTON"
"602-250-005","10 MILE CREEK II, L.L.C.","10 MILE CREEK II, L.L.C.","1","1","ASOTIN"
"604-003-054","15TH STREET CHIROPRACTIC","SMITH, ROBERT LANE","1","1","CLARKSTON"
"603-506-607","1600 CHESTNUT PROPERTIES LLC","1600 CHESTNUT PROPERTIES LLC","1","1","CLARKSTON"
"604-399-541","1STOPBODYANDPAINT","MARSH, DILLON","1","1","CLARKSTON"
"604-481-240","212 DEGREES-PRO LAWNCARE LLC","212 DEGREES-PRO LAWNCARE LLC","1","1","CLARKSTON"
"604-067-501","24/7 BAIL BONDS","HANSEN, SAM","1","1","CLARKSTON"
"601-525-865","2K TECHNICAL LAND DEVELOPMENT","BENNER, WARREN","1","1","ASOTIN"
"602-822-430","360 GYMNASTICS & CHEER, LLC","360 GYMANISTCS & CHEER LLC","1","1","CLARKSTON"
"602-663-656","3-C'S","CALENE, MARK J","1","1","CLARKSTON"
"603-368-468","3D LOGIX BY DESIGN","SPRAY, JERAD LEE","1","1","CLARKSTON"
"602-904-499","3H EXCAVATION","HILLYARD HORSE HAVEN LLC","1","2","CLARKSTON"
"603-243-671","4 FRENDZ MEAT MARKET","4 FRENDZ LLC","1","1","CLARKSTON"
"604-419-015","4 LEGG'D FARMS","SNYDER, DES","1","1","CLARKSTON"
"601-371-449","4 O CATTLE CO","ODOM II, MILTON W","1","1","ANATONE"
"601-432-828","410 DRIVE-IN, INC.","410 DRIVE-IN, INC.","1","1","CLARKSTON"
"604-398-749","427 S CEDAR","427 S CEDAR, LLC","1","1","CLARKSTON"
"604-126-187","4-O EMBARK 4 LLC","4-0 EMBARK #4, LLC","1","1","ANATONE"
"602-564-667","5 STAR FORESTRY, LLC","5 STAR FORESTRY, LLC","1","1","CLARKSTON"
"604-031-118","5L OUTFITTERS LLC","5L OUTFITTERS LLC","1","1","CLARKSTON"
"604-224-682","5TH AMENDMENT TATTOO & PIERCING","5TH AMENDMENT TATTOO & PIERCING LLC","1","1","CLARKSTON"
"604-010-158","A - Z CLEANING","BOWMAN, AMANDA","1","1","CLARKSTON"
"603-503-300","A BONNIE BARGAIN","PAUL, BONNIE ELLEN","1","1","CLARKSTON"
"601-245-567","A COUNTRY GARDEN","HADDOCK, VICKI P","1","1","CLARKSTON"
"604-476-299","A CUT ABOVE, LAWN & LANDSCAPE, LLC","A CUT ABOVE LAWN & LANDSCAPE LLC","1","1","CLARKSTON"
"604-355-503","A HELPING HAND","A HELPING HAND PLUMBING LLC","1","1","CLARKSTON"
"604-114-139","A&J CONSTRUCTION","GEORGE, ANDREW","1","1","CLARKSTON"
"601-496-163","A.C.C.T. SERVICES","ZABEL, RICHARD RALPH","1","2","CLARKSTON"
"604-147-655","A.M. FABRICATION AND MOBILE WELDING","A.M. FABRICATION L.L.C.","1","1","CLARKSTON"
"603-405-291","A/C DRIVING SCHOOL","WOHL, SCOTT DONALD","1","1","CLARKSTON"
"604-045-516","A+ FLOORS","BLEWETT JR, MICHEAL RAY","1","1","CLARKSTON"
"602-366-445","A-1 CARPET CLEANING","BELL, RONALD WILLIAM","2","1","CLARKSTON"
"602-105-382","A2Z BUSINESS SERVICES","CICCARELLI, JANICE EILEEN","1","1","CLARKSTON"
"602-548-334","AAA-ECOM","PASSMORE, MICHAEL DAVID","1","1","CLARKSTON"
"603-616-575","AARDVARK PEST & WEED CONTROL","AARDVARK PEST & WEED CONTROL LLC","1","1","CLARKSTON"
"601-777-889","AARDVARKS","BENCHMARK, LLC","1","2","CLARKSTON"
"601-631-345","AARON M DEMEYERE, M.D.","DEMEYERE, AARON M","1","1","CLARKSTON"
"602-921-551","ABBY & FRIENDS","RENFRO, ELIZABETH ANN","1","1","CLARKSTON"
"603-060-302","ABLE 2 DO REPAIRS","SYVERSON, JOE","1","1","CLARKSTON"
"602-841-575","ABOVE ALL RESTORATION","CARRASCO, FRANK J","1","1","ASOTIN"
"603-505-138","ABSOLUTE BRAIN POWER L.L.C.","ABSOLUTE BRAIN POWER L.L.C.","1","1","CLARKSTON"
"601-629-916","ABSOLUTE HAIR","FARRELL, DEBRA L","1","1","CLARKSTON"
"603-452-115","ABSOLUTE LEASING LLC","ABSOLUTE LEASING LLC","1","1","CLARKSTON"
"601-802-814","ABUNDANT LIFE CHURCH OF CLARKSTON","ABUNDANT LIFE CHURCH - CLARKSTON","1","1","CLARKSTON"
"603-334-709","ABUZZ THEATRE COMPANY","ABUZZ THEATRE COMPANY","1","1","CLARKSTON"
