"name","geometryid","wdfw","featurestatus","wria_nr","county","le_region","watershed_name","sr_region","score1_yn","location"
"Abernathy Screw Trap (2011)","P2495","yes","Current","25","Cowlitz","Lower Columbia Fish Recovery Board","Grays-Elochoman/Cowlitz","Lower Columbia","0","POINT (-123.166538429 46.1949691733)"
"Abernathy Screw Trap (before 2011)","P530","yes","Old Site","25","Cowlitz","Lower Columbia Fish Recovery Board","Grays-Elochoman/Cowlitz","Lower Columbia","n","POINT (-123.163501051 46.196636346)"
"Asotin Screw Trap","P2059","yes","Current","35","Asotin","Snake River Salmon Recovery Board","Middle Snake","Snake River","n","POINT (-117.129268127 46.3218852316)"
"Baker Lower Juvenile Trap","P2372","no","Current","4","Skagit","Skagit Watershed Council","Lower/Upper Skagit-Samish","Puget Sound","0","POINT (-121.741094993 48.5481452435)"
"Baker Upper Juvenile Trap","P2371","no","Current","4","Whatcom","Skagit Watershed Council","Lower/Upper Skagit-Samish","Puget Sound","0","POINT (-121.689634409 48.6486404408)"
"Bear (Big) Scoop Trap","P518","yes","Current","8","King","King County WRIA 8","Cedar-Sammamish","Puget Sound","n","POINT (-122.110170001 47.6695999993)"
"Bear (Big) Screw Trap","P2062","yes","Current","8","King","King County WRIA 8","Cedar-Sammamish","Puget Sound","n","POINT (-122.110168634 47.6696021871)"
"Bear (Union R) Fence Weir Trap","P2306","unknown","Unknown","15","Mason","Kitsap County","Kitsap","Puget Sound","0","POINT (-122.806354013 47.4924881642)"
"Beaver Cr Fence Weir Trap","P2316","unknown","Unknown","23","Thurston","Grays Harbor County","Lower/Upper Chehalis","Coastal","0","POINT (-123.019758162 46.8978610304)"
"Bell Fence Weir Trap","P2342","unknown","Unknown","18","Clallam","North Olympic Peninsula LE","Elwah-Dungeness","Puget Sound","0","POINT (-123.05489505 48.0834648157)"
"Big Beef Fans","P522","yes","Current","15","Kitsap","Hood Canal Coordinating Council","Kitsap","Puget Sound","n","POINT (-122.783524388 47.6518897119)"
"Big Mission Fence Weir Trap","P2309","unknown","Unknown","15","0","Hood Canal Coordinating Council","Kitsap","Puget Sound","0","POINT (-122.872828216 47.4307365671)"
