"library","event_year","event_month","category","age_group","events","attendance"
"Raymond","2021","5","DIY & Crafts","All Ages","1","80"
"TRL Online Virtual Events","2021","7","Summer Library Program, Classes & Workshops","Teen (ages 12-18), Adult (18 and older)","1",
"Mountain View","2021","4","Featured","Adult (18 and older)","1","8"
"Olympia","2021","5","Friends of the Library Meeting","Adult (18 and older)","1",
"Packwood","2021","9","DIY & Crafts","Teen (ages 12-18)","1","15"
"Hoodsport","2021","8","Featured","Adult (18 and older)","13",
"Montesano","2021","12","DIY & Crafts","All Ages","1","40"
"North Mason","2021","9","Books & Authors","Adult (18 and older)","1","9"
"Raymond","2021","7","Summer Library Program","All Ages","1","33"
"TRL Online Virtual Events","2021","11","Featured, Early Learning & Storytime","Babies and Toddlers (ages 0-2)","1","24"
"Lacey","2021","2","Books & Authors","Adult (18 and older)","1","20"
"Ocean Park","2021","7","Books & Authors","Adult (18 and older)","1","3"
"Montesano","2021","8","Special Event","All Ages","1",
"TRL Online Virtual Events","2021","8","Summer Library Program, Arts & Culture, Classes & Workshops","Teen (ages 12-18), Adult (18 and older)","1",
"TRL Online Virtual Events","2021","12","Books & Authors","Adult (18 and older)","1",
"TRL Online Virtual Events","2021","6","Featured, Early Learning & Storytime, Summer Library Program","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), School Age (ages 6-11), Adult (18 and older), All Ages, Family","2","15"
"TRL Online Virtual Events","2021","10","Featured, Activities & Games, Books & Authors","School Age (ages 6-11), Teen (ages 12-18)","1",
"Naselle","2021","9","Special Event","Adult (18 and older), Family","1","45"
"Mountain View","2021","4","Early Learning & Storytime","Preschool (ages 3-6)","1","9"
"TRL Online Virtual Events","2021","8","Arts & Culture, Books & Authors","Adult (18 and older)","1",
"Montesano","2021","9","Special Event, Classes & Workshops","All Ages","5",
"Mountain View","2021","11","DIY & Crafts","Teen (ages 12-18)","1",
"South Bend","2021","1","STEAM","Preschool (ages 3-6), School Age (ages 6-11), Teen (ages 12-18), Adult (18 and older), All Ages","1",
"Ilwaco","2021","3","Special Event, Early Learning & Storytime, Arts & Culture, Board Meetings","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), School Age (ages 6-11), Adult (18 and older)","1","47"
"Olympia","2021","8","Friends of the Library Meeting","Adult (18 and older)","1",
"TRL Online Virtual Events","2021","4","Books & Authors","Adult (18 and older)","2","3"
"TRL Online Virtual Events","2021","3","Featured, Early Learning & Storytime","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), School Age (ages 6-11), Adult (18 and older), All Ages, Family","2",
"TRL Online Virtual Events","2021","12","Featured, Activities & Games, Books & Authors","School Age (ages 6-11), Teen (ages 12-18)","1",
"Mountain View","2021","8","Featured","All Ages","1",
"Ilwaco","2021","5","Special Event, Summer Library Program, Board Meetings","All Ages","1",
"All Locations","2021","5","Classes & Workshops","All Ages","1",
"Salkum","2021","8","Classes & Workshops","Adult (18 and older)","4",
"TRL Online Virtual Events","2021","7","Book Sale","Teen (ages 12-18), Adult (18 and older), All Ages","2",
"TRL Online Virtual Events","2021","5","Activities & Games, Classes & Workshops, Music & Performance","Teen (ages 12-18)","1","3"
"TRL Online Virtual Events","2021","3","Special Event","All Ages","1","18"
"TRL Online Virtual Events","2021","10","Featured, Early Learning & Storytime","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), School Age (ages 6-11), Adult (18 and older), All Ages, Family","1","11"
"TRL Online Virtual Events","2021","3","Featured, Arts & Culture","Teen (ages 12-18)","1","2"
"Packwood","2021","2","DIY & Crafts","Adult (18 and older)","1",
"Tumwater","2021","12","Special Event","Adult (18 and older)","25",
"TRL Online Virtual Events","2021","5","Featured, Activities & Games, Books & Authors","School Age (ages 6-11), Teen (ages 12-18)","1","2"
"Yelm","2021","8","Friends of the Library Meeting","Adult (18 and older)","1",
"Packwood","2021","11","DIY & Crafts","School Age (ages 6-11)","1",
"Mountain View","2021","9","Featured","All Ages","1",
"TRL Online Virtual Events","2021","9","Arts & Culture","Adult (18 and older)","1","18"
"TRL Online Virtual Events","2021","7","Featured, Activities & Games, Books & Authors","School Age (ages 6-11), Teen (ages 12-18)","1",
"TRL Online Virtual Events","2021","1","Books & Authors","Adult (18 and older)","1","5"
"TRL Online Virtual Events","2021","9","Featured, STEAM","Teen (ages 12-18)","1",
"Naselle","2021","8","Summer Library Program, STEAM","School Age (ages 6-11)","1","36"
"TRL Online Virtual Events","2021","4","Featured, Special Event, Arts & Culture, Books & Authors, Music & Performance","Adult (18 and older)","1",
"Salkum","2021","7","DIY & Crafts","Teen (ages 12-18), Adult (18 and older)","4",
"TRL Online Virtual Events","2021","10","Featured, Early Learning & Storytime","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), School Age (ages 6-11), Adult (18 and older), All Ages, Family","1","26"
"TRL Online Virtual Events","2021","5","Featured, Early Learning & Storytime","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), School Age (ages 6-11), Adult (18 and older), All Ages, Family","1","20"
"Olympia","2021","5","Classes & Workshops","Adult (18 and older)","1","10"
"Montesano","2021","12","Special Event, Classes & Workshops","All Ages","1","40"
"TRL Online Virtual Events","2021","3","Books & Authors","Adult (18 and older)","2",
"TRL Online Virtual Events","2021","6","Featured, Early Learning & Storytime, Summer Library Program","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), Family","1","20"
"Olympia","2021","3","Classes & Workshops","Adult (18 and older)","1","25"
"TRL Online Virtual Events","2021","1","Activities & Games","Preschool (ages 3-6), School Age (ages 6-11)","1","3"
"South Bend","2021","2","Special Event","Teen (ages 12-18)","1",
"TRL Online Virtual Events","2021","7","DIY & Crafts","Teen (ages 12-18)","1","0"
"TRL Online Virtual Events","2021","2","Featured, Early Learning & Storytime","Babies and Toddlers (ages 0-2)","1","65"
"Shelton","2021","8","Special Event","Adult (18 and older)","1",
"Lacey","2021","6","Summer Library Program, Books & Authors","Teen (ages 12-18)","1","8"
"North Mason","2021","11","Classes & Workshops","Teen (ages 12-18), Adult (18 and older)","2",
"Mountain View","2021","8","Classes & Workshops","Adult (18 and older)","4",
"North Mason","2021","5","Summer Library Program","School Age (ages 6-11)","1","30"
"Lacey","2021","1","Books & Authors","Teen (ages 12-18)","1","85"
"TRL Online Virtual Events","2021","6","Summer Library Program, STEAM","Preschool (ages 3-6), School Age (ages 6-11), Family","1","16"
"Naselle","2021","6","Board Meetings","Adult (18 and older)","1","18"
"Salkum","2021","12","DIY & Crafts","Teen (ages 12-18), Adult (18 and older)","1","6"
"Hoquiam","2021","1","Early Learning & Storytime","Preschool (ages 3-6)","1","10"
"Olympia","2021","7","Book Sale","Teen (ages 12-18), Adult (18 and older), All Ages","2",
"Ocean Park","2021","1","STEAM","Preschool (ages 3-6), School Age (ages 6-11), Teen (ages 12-18), Adult (18 and older), All Ages, Family","1","6"
"Mountain View","2021","7","Friends of the Library Meeting","Adult (18 and older)","1","8"
"Elma","2021","8","STEAM","Preschool (ages 3-6), School Age (ages 6-11), Family","1","48"
"TRL Online Virtual Events","2021","5","Activities & Games","Preschool (ages 3-6), School Age (ages 6-11)","1","6"
"Naselle","2021","11","Board Meetings","Adult (18 and older)","1","16"
"TRL Online Virtual Events","2021","6","Featured, Special Event, Summer Library Program","All Ages, Family","1",
"Tumwater","2021","7","Special Event","All Ages","22",
"McCleary","2021","6","Summer Library Program","Teen (ages 12-18)","1","4"
"TRL Online Virtual Events","2021","1","Featured, Activities & Games","Teen (ages 12-18)","1","0"
"Naselle","2021","5","Early Learning & Storytime","Preschool (ages 3-6)","2","11"
"Ocean Park","2021","9","STEAM","Preschool (ages 3-6), School Age (ages 6-11), Teen (ages 12-18), Adult (18 and older), All Ages","1","185"
"Shelton","2021","9","Board Meetings","Adult (18 and older)","1",
"Naselle","2021","8","Board Meetings","Adult (18 and older)","1","18"
"Naselle","2021","2","Early Learning & Storytime","Preschool (ages 3-6)","2","12"
"Hoodsport","2021","10","Classes & Workshops","Teen (ages 12-18), Adult (18 and older)","4",
"Ilwaco","2021","8","Summer Library Program, Activities & Games","Preschool (ages 3-6), School Age (ages 6-11), Teen (ages 12-18)","1",
"Montesano","2021","12","Special Event","All Ages","1",
"Aberdeen","2021","11","Early Learning & Storytime, STEAM","Preschool (ages 3-6)","1","13"
"Olympia","2021","10","Friends of the Library Meeting","Adult (18 and older)","1",
"TRL Online Virtual Events","2021","5","Classes & Workshops","Teen (ages 12-18)","1",
"TRL Online Virtual Events","2021","11","Featured, Early Learning & Storytime","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), Family","1","17"
"Salkum","2021","6","Summer Library Program","Preschool (ages 3-6), School Age (ages 6-11), Family","1","50"
"TRL Online Virtual Events","2021","4","Activities & Games","Preschool (ages 3-6), School Age (ages 6-11)","1","5"
"Lacey","2021","1","Books & Authors","Teen (ages 12-18)","1",
"Salkum","2021","6","Summer Library Program","School Age (ages 6-11), Family","1","30"
"Naselle","2021","12","Board Meetings","Adult (18 and older)","1","7"
"TRL Online Virtual Events","2021","9","Early Learning & Storytime","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), School Age (ages 6-11), All Ages, Family","1",
"Naselle","2021","12","Special Event","All Ages","2",
"TRL Online Virtual Events","2021","8","Featured, Early Learning & Storytime, Summer Library Program","Babies and Toddlers (ages 0-2)","1","31"
"Montesano","2021","10","DIY & Crafts","All Ages","1","24"
"Ocean Park","2021","12","Classes & Workshops","Adult (18 and older)","14",
"TRL Online Virtual Events","2021","5","Books & Authors","Teen (ages 12-18)","1",
"TRL Online Virtual Events","2021","8","Special Event, Early Learning & Storytime, Activities & Games, Arts & Culture, Books & Authors","All Ages, Family","1",
