"practicename","businessname","id"
"Other/Miscellaneous","","16716"
"Other/Miscellaneous",,"6218"
"Failure To Deliver/Perform","","4913"
"Other/Miscellaneous"," Unknown","4868"
"Billing Issues","","3693"
"Internet & Mobile device based transaction","","3282"
"Questionable Quality Product/Service","","3175"
"Phishing"," Unknown","3117"
"Failure To Adjust/Refund","","3059"
"Unsatisfactory Repair/Service","","2988"
"Internet & Mobile device based transaction","Amazon.com","2975"
"Other/Miscellaneous","Amazon.com","2882"
"Billing Issues","Comcast","2167"
"Other/Miscellaneous","Comcast","2154"
"Billing Issues","CenturyLink","1678"
"Phishing","Unknown - IRS Phishing","1617"
"Unsatisfactory Repair/Service",,"1596"
"Other/Miscellaneous","CenturyLink","1410"
"Non-Fulfillment","","1310"
"Misrepresentation of product or service","","1298"
"Landlord/Tenant - Residential","","1284"
"Telemarketing"," Unknown","1276"
"Failure To Deliver/Perform",,"1192"
"Collection Practices","","1190"
"Imposter scam"," Unknown","1162"
"Billing Issues",,"1145"
"COVID-19","","1035"
"Phishing","Unknown - Utility Scam","998"
"Charge:Service Not Performed/Product not delivered","","990"
"Billing Issues","T-Mobile","892"
"Billing Issues","Verizon Wireless","882"
"Other/Miscellaneous","T-Mobile","874"
"Failure To Adjust/Refund","Brown Paper Tickets","860"
"Seller Account Issue","Amazon.com","846"
"Internet & Mobile device based transaction",,"839"
"Advertising","","830"
"Right To Cancel","","822"
"Failure To Deliver/Perform","Amazon.com","819"
"Governement agency complaint","","816"
"Inadequate Disclosure","","786"
"Advance Fee Fraud","","769"
"Other/Miscellaneous","Verizon Wireless","745"
"Employment Issue","","736"
"Governement agency complaint","Washington State Employment Security Department","732"
"Imposter scam","Unknown - Utility Scam","721"
"Billing Issues","Ziply Fiber fka Frontier Communications","643"
"Student Loan Issue","Navient","640"
"COVID-19","Brown Paper Tickets","640"
"Warranty","","640"
"Other/Miscellaneous","Washington State Employment Security Department","637"
"Misrepresentation of Terms","","631"
"Alleged criminal activity","","627"
"Excessive Price or Charge","","619"
"Other/Miscellaneous","Brown Paper Tickets","609"
"Other/Miscellaneous","Unknown - Utility Scam","599"
"Failure To Adjust/Refund",,"598"
"Advance Fee Fraud"," Unknown","589"
"Unemployment Fraud","Washington State Employment Security Department","586"
"Billing Issues","AT&T Mobility","575"
"Other/Miscellaneous","Frontier Communications","570"
"Failure To Deliver/Perform","CenturyLink","570"
"Billing Issues","DIRECTV","563"
"Other/Miscellaneous","AT&T Mobility","558"
"Failure To Adjust/Refund","Amazon.com","547"
"Refund Policies","","540"
"Failure To Deliver/Perform","Comcast","537"
"Telemarketing","CALLERID4U, Inc","517"
"Other/Miscellaneous","Unknown - IRS Phishing","515"
"Questionable Quality Product/Service",,"512"
"Collection Practices",,"502"
"Other/Miscellaneous","Facebook","499"
"Internet & Mobile device based transaction","Comcast","495"
"Telemarketing","","489"
"Other/Miscellaneous","Bank of America NA","483"
"Discrimination","","479"
"Unauthorized Debit","","477"
"Phishing","","473"
"Other/Miscellaneous","Microsoft Corporation","472"
"Other/Miscellaneous","DIRECTV","464"
"Unsatisfactory Repair/Service","Comcast","456"
"Failure To Deliver/Perform","Brown Paper Tickets","455"
"Other/Miscellaneous","Expedia","454"
"Internet & Mobile device based transaction","Expedia","447"
"Free to Pay","","425"
"Failure To Adjust/Refund","Expedia","394"
"Unsatisfactory Repair/Service","CenturyLink","393"
"Internet & Mobile device based transaction","Microsoft Corporation","391"
"Billing Issues","Sprint Executive Services","389"
"Price Gouging","","386"
"Collection Activity (Fraudulent or mistaken ID)","","378"
"Tech Support Scam","Unknown - Technical Support","367"
"Other/Miscellaneous","Stevens Pass","366"
"Other/Miscellaneous","PayPal","366"
"Not As Ordered","","363"
"Internet & Mobile device based transaction","Facebook","363"
"Unregistered or Unlicensed Business","","360"
"Other/Miscellaneous","Unknown - Technical Support","358"
"Collection Activity (Fraudulent or mistaken ID)",,"355"
"Other/Miscellaneous","Sears Holdings Management Corporation","355"
"Automatic Dialing"," Unknown","348"
"Foreclosure Issue","Bank of America NA","348"
"Collection Activity (Fraudulent or mistaken ID)"," Unknown","346"
"Internet & Mobile device based transaction","Brown Paper Tickets","346"
