"openedyear","practicename","businessname","id"
"2021","Other/Miscellaneous","","4737"
"2020","Other/Miscellaneous","","4204"
"2022","Other/Miscellaneous","","4058"
"2018","Other/Miscellaneous",,"3092"
"2019","Other/Miscellaneous","","2574"
"2017","Other/Miscellaneous",,"1744"
"2021","Other/Miscellaneous","Amazon.com","1015"
"2020","Other/Miscellaneous"," Unknown","914"
"2019","Other/Miscellaneous",,"900"
"2015","Unsatisfactory Repair/Service",,"846"
"2019","Other/Miscellaneous"," Unknown","761"
"2013","Billing Issues","","748"
"2021","Internet & Mobile device based transaction","Amazon.com","747"
"2020","COVID-19","","743"
"2020","Failure To Deliver/Perform","","727"
"2018","Other/Miscellaneous"," Unknown","725"
"2014","Unsatisfactory Repair/Service",,"716"
"2019","Failure To Deliver/Perform","","684"
"2021","Other/Miscellaneous"," Unknown","669"
"2013","Unsatisfactory Repair/Service","","664"
"2021","Failure To Deliver/Perform","","655"
"2015","Billing Issues",,"640"
"2013","Failure To Deliver/Perform","","639"
"2022","Other/Miscellaneous"," Unknown","636"
"2020","Failure To Adjust/Refund","Brown Paper Tickets","616"
"2020","COVID-19","Brown Paper Tickets","608"
"2014","Failure To Deliver/Perform",,"606"
"2017","Other/Miscellaneous"," Unknown","605"
"2020","Phishing"," Unknown","595"
"2021","Seller Account Issue","Amazon.com","594"
"2020","Internet & Mobile device based transaction","","594"
"2021","Internet & Mobile device based transaction","","586"
"2018","Failure To Deliver/Perform","","578"
"2017","Failure To Deliver/Perform","","574"
"2020","Internet & Mobile device based transaction","Amazon.com","564"
"2016","Failure To Deliver/Perform","","559"
"2020","Unemployment Fraud","Washington State Employment Security Department","559"
"2020","Failure To Adjust/Refund","","557"
"2015","Failure To Deliver/Perform",,"552"
"2021","Phishing"," Unknown","541"
"2016","Questionable Quality Product/Service","","528"
"2020","Other/Miscellaneous","Amazon.com","527"
"2016","Phishing","Unknown - IRS Phishing","525"
"2022","Other/Miscellaneous","Amazon.com","521"
"2015","Phishing","Unknown - IRS Phishing","521"
"2020","Questionable Quality Product/Service","","502"
"2016","Other/Miscellaneous"," Unknown","473"
"2014","Billing Issues",,"472"
"2013","Telemarketing","CALLERID4U, Inc","451"
"2022","Failure To Deliver/Perform","","444"
"2019","Billing Issues","","443"
"2020","Other/Miscellaneous","Brown Paper Tickets","443"
"2022","Unsatisfactory Repair/Service","","441"
"2021","Billing Issues","","441"
"2020","Billing Issues","","440"
"2021","Unsatisfactory Repair/Service","","437"
"2017","Billing Issues","","437"
"2016","Other/Miscellaneous","","435"
"2020","Other/Miscellaneous","Washington State Employment Security Department","432"
"2019","Questionable Quality Product/Service","","432"
"2018","Failure To Adjust/Refund","","427"
"2021","Questionable Quality Product/Service","","425"
"2014","Internet & Mobile device based transaction",,"422"
"2016","Internet & Mobile device based transaction","","422"
"2019","Phishing"," Unknown","418"
"2013","Failure To Adjust/Refund","","412"
"2022","Failure To Adjust/Refund","","412"
"2017","Student Loan Issue","Navient","410"
"2015","Internet & Mobile device based transaction",,"409"
"2013","Other/Miscellaneous","","407"
"2022","Internet & Mobile device based transaction","Amazon.com","402"
"2019","Internet & Mobile device based transaction","","400"
"2022","Internet & Mobile device based transaction","","399"
"2022","Questionable Quality Product/Service","","399"
"2016","Billing Issues","","395"
"2013","Collection Practices","","389"
"2018","Billing Issues","","389"
"2021","Failure To Adjust/Refund","","386"
"2017","Internet & Mobile device based transaction","","381"
"2018","Phishing"," Unknown","381"
"2020","Failure To Deliver/Perform","Brown Paper Tickets","373"
"2018","Internet & Mobile device based transaction","","370"
"2022","Other/Miscellaneous","Stevens Pass","354"
"2019","Failure To Adjust/Refund","","353"
"2020","Governement agency complaint","Washington State Employment Security Department","352"
"2020","Other/Miscellaneous","Comcast","350"
"2018","Questionable Quality Product/Service","","347"
"2018","Other/Miscellaneous","Comcast","345"
"2018","Unsatisfactory Repair/Service","","343"
"2022","Billing Issues","","341"
"2017","Questionable Quality Product/Service","","339"
"2013","Telemarketing"," Unknown","338"
"2016","Other/Miscellaneous","Comcast","333"
"2021","Other/Miscellaneous","Comcast","326"
"2014","Failure To Adjust/Refund",,"324"
"2019","Other/Miscellaneous","Amazon.com","318"
"2019","Unsatisfactory Repair/Service","","316"
"2020","Price Gouging","","315"
"2021","Phishing","Unknown - Utility Scam","310"
"2019","Imposter scam"," Unknown","309"
"2020","Price Gouging","Amazon.com","308"
"2017","Failure To Adjust/Refund","","308"
"2019","Internet & Mobile device based transaction","Amazon.com","299"
"2016","Phishing"," Unknown","292"
"2019","Other/Miscellaneous","Comcast","285"
"2017","Phishing"," Unknown","283"
"2017","Other/Miscellaneous","Navient fka Sallie Mae","283"
"2015","Billing Issues","Comcast","282"
"2017","Data Breach","Equifax Office of Consumer Affairs","282"
"2015","Questionable Quality Product/Service",,"279"
"2022","Phishing"," Unknown","277"
"2018","Billing Issues","Comcast","276"
"2020","Crowdfunding","Soulbound Studios, LLC","275"
"2015","Billing Issues","CenturyLink","275"
"2020","Unsatisfactory Repair/Service","","273"
"2020","Other/Miscellaneous","Soulbound Studios, LLC","272"
"2017","Unsatisfactory Repair/Service","","268"
"2017","Other/Miscellaneous","Comcast","267"
"2021","Imposter scam","Unknown - Utility Scam","263"
"2021","Landlord/Tenant - Residential","","261"
"2020","Phishing","Unknown - Utility Scam","261"
"2015","Collection Practices",,"260"
"2016","Other/Miscellaneous","Unknown - IRS Phishing","256"
"2016","Billing Issues","Comcast","256"
"2022","Seller Account Issue","Amazon.com","251"
"2016","Billing Issues","CenturyLink","251"
"2017","Billing Issues","Comcast","245"
"2015","Failure To Adjust/Refund",,"244"
"2022","Other/Miscellaneous","Facebook","244"
"2017","Billing Issues","CenturyLink","241"
"2020","Failure To Deliver/Perform","Soulbound Studios, LLC","240"
"2015","Other/Miscellaneous",,"239"
