"intent_id","project_id","agencyname","awarding_agency_address","agencycontact","agencyphone","prime_company_name","prime_phone_number","prime_contractor_reg_number","prime_ubi_number","bid_due_date","cntrct_award_dt","contractname","contractnumber","projectlocation","amount","application_received_date","city","anysubcontractor","anyapprentices","cntrct_amt","time_matr_flg","allworksubcontracted","owner_operatorsworked","numberofowner_operatorworked","yourcompanyemployeesworked","omwbe_certification","license","ubi","companyname","phone","email","companyaddress1","companyaddress2","companycity","companystate","companyzip","insuranceaccount","hiringcomapanylicense","hiringcomapanyubi","hiringcompanyname","hiringcomapanyinsuranceaccount","expected_start_dt","primeintent"
"1171993","965027","NORTHSHORE UTILITY DISTRICT","6830 NE 185TH ST KENMORE, WA - 98028-2684","Dave Kaiser","425-398-4400","SHORELINE CONST CO","4254830600","SHOREC*374N0","178072242","2021-04-28T00:00:00.000","2021-05-03T00:00:00.000","Totem Lake Blvd and 120th Ave NE Improvements","2021-01","The project is located at the intersection of Totem Lake Blvd NE and 120th Ave NE next to the Totem Lake Mall.","1222609.50","2021-08-24T00:00:00.000","TOTEM LAKE","No","No","82880","False","No","No","0","Yes","false","WATSOAP256PB","179017188","WATSON ASPHALT PAVING CO INC","4258684377","aschroeder@watsonasphalt.com","PO BOX 845",,"REDMOND","WA","98073","24961900","SHOREC*374N0","178072242","SHORELINE CONST CO",,"2021-09-02T00:00:00.000","1149576"
"1171992","974149","SNOHOMISH COUNTY AIRPORT","3220 100TH ST SW EVERETT, WA - 98204","Paula Bond","425-388-5104","PNW CIVIL INC","4259549614","PNWCICI834C2","604027470","2021-06-03T00:00:00.000","2021-06-30T00:00:00.000","Capricorpio Sewer Repair","PO#10583","11410 Beverly Park Rd","31745.52","2021-08-24T00:00:00.000","Everett","No","No",,"True","No","Yes","1","No","false",,"602400279","Knute's Trucking LLC","4252384378","knutestrucking@yahoo.com","15826 - 16th Ave NW",,"Marysville","WA","98271",,"PNWCICI834C2","604027470","PNW CIVIL INC",,"2021-08-25T00:00:00.000","1167224"
"1171991","932200","KITTITAS COUNTY PUBLIC HOSPITAL DISTRICT #2","505 POWER ST CLE ELUM, WA - 98922","Randy Kaiser","509-933-8625","T W CLARK CONSTRUCTION LLC","5099270800","TWCLACL022DO","601858364","2020-08-12T00:00:00.000","2020-08-31T00:00:00.000","Ambulance Garage","HD2-0-ADM-18-10","201 Alpha Way, Cle Elum, WA 98922","2796120.00","2021-08-24T00:00:00.000","Cle Elum","No","No","39000","False","No","Yes","1","Yes","false","MURILC*916DW","602901531","MURILLOS CONCRETE","5092931437","murillosconcrete@yahoo.om","709 PIERE ST",,"WENATCHEE","WA","98801","17345800","TWCLACL022DO","601858364","T W CLARK CONSTRUCTION LLC",,"2021-08-17T00:00:00.000","1087037"
"1171985","976454","WENATCHEE, CITY OF","PO BOX 519 WENATCHEE, WA - 98807 0519","Elisa Webb","206-755-4256","JOHNSON CONTROLS FIRE PRTTN LP","5095346055","JOHNSCF837PB","602113334","2021-01-28T00:00:00.000","2021-01-28T00:00:00.000","Wenatchee Convention Center","Wenatchee Convention Center","121 N Wenatchee Ave","956.65","2021-08-24T00:00:00.000","Wenatchee","No","No","956.65","False","No","No","0","Yes","false","JOHNSCF837PB","602113334","JOHNSON CONTROLS FIRE PRTTN LP","5095346055","jamie.drowley@jci.com","ATTN:  LICENSING DEPT",,"BOCA RATON","FL","33431","01162900",,,,,"2021-01-28T00:00:00.000","1171985"
"1171984","975228","SEATTLE, CITY OF/PUBLIC WORKS","ARCTIC BUILDING SUITE 800 700 SEATTLE, WA - 98104-1809","City of Seattle Finance & Administrative Services","206-684-8032","VSS INTERNATIONAL INC","9163731500","VSSINII875JW","600427833","2021-06-30T00:00:00.000","2021-07-28T00:00:00.000","PW#2021-023 Slurry Seal 2021","PW#2021-023","City of Seattle
Department of Finance & Administrative Services
700 5th Avenue, Floor 52
Seattle, WA 98104-5042","818325.00","2021-08-24T00:00:00.000","Seattle","No","Yes","36100","False","No","No","0","Yes","false","APPLYLL834OJ","600553941","APPLY-A-LINE LLC","2532991200","sandy@applyaline.com","175 ROY ROAD SW",,"PACIFIC","WA","98047","87998700","VSSINII875JW","600427833","VSS INTERNATIONAL INC",,"2021-10-11T00:00:00.000","1169358"
"1171983","976453","WENATCHEE VALLEY COMMUNITY COLLEGE","1300 5TH ST WENATCHEE, WA - 98801 1799","Krista Dunoskovic","509-668-5444","JOHNSON CONTROLS FIRE PRTTN LP","5095346055","JOHNSCF837PB","602113334","2020-02-27T00:00:00.000","2020-02-27T00:00:00.000","Wenatchee Valley Community College","19202730","1300 5th St","1066.77","2021-08-24T00:00:00.000","Wenatchee","No","No","1066.77","False","No","No","0","Yes","false","JOHNSCF837PB","602113334","JOHNSON CONTROLS FIRE PRTTN LP","5095346055","jamie.drowley@jci.com","ATTN:  LICENSING DEPT",,"BOCA RATON","FL","33431","01162900",,,,,"2020-02-27T00:00:00.000","1171983"
"1171982","975197","King County Water and Land Resources Division","201 S Jackson Street, Ste 600 Seattle, WA - 98104","Jessica Alvarado","206-263-5898","KIEWIT INFRASTRUCTURE WEST CO","4023422052","KIEWIIW904M1","600454043","2021-06-29T00:00:00.000","2021-07-08T00:00:00.000","SR 169 Flood Risk REduction","KC000251",,"2170617.00","2021-08-24T00:00:00.000","Maple Valley","No","No","48155.13","False","No","No","0","Yes","false","PETERBI187NZ","600072474","PETERSEN BROTHERS INC","2538638136","kim@petersenbrothers.com","2008 E VALLEY HWY",,"SUMNER","WA","98390","59843600","KIEWIIW904M1","600454043","KIEWIT INFRASTRUCTURE WEST CO",,"2021-08-30T00:00:00.000","1169052"
"1171981","976451","WENATCHEE VALLEY COMMUNITY COLLEGE","1300 5TH ST WENATCHEE, WA - 98801 1799","Modesto","509-387-5403","JOHNSON CONTROLS FIRE PRTTN LP","5095346055","JOHNSCF837PB","602113334","2020-02-13T00:00:00.000","2020-02-13T00:00:00.000","Wenatchee Valley Community College","19202027","1300 5th St MAC B","1803.45","2021-08-24T00:00:00.000","Wenatchee","No","No","1803.45","False","No","No","0","Yes","false","JOHNSCF837PB","602113334","JOHNSON CONTROLS FIRE PRTTN LP","5095346055","jamie.drowley@jci.com","ATTN:  LICENSING DEPT",,"BOCA RATON","FL","33431","01162900",,,,,"2020-02-13T00:00:00.000","1171981"
"1171978","976449","WENATCHEE, CITY OF","PO BOX 519 WENATCHEE, WA - 98807 0519","Elisa Webb","509-888-3663","JOHNSON CONTROLS FIRE PRTTN LP","5095346055","JOHNSCF837PB","602113334","2020-01-22T00:00:00.000","2020-01-22T00:00:00.000","Wenatchee Convention Center","Wenatchee Convention Center","201 N Wenatchee Ave","1993.80","2021-08-24T00:00:00.000","Wenatchee","No","No","1993.8","False","No","No","0","Yes","false","JOHNSCF837PB","602113334","JOHNSON CONTROLS FIRE PRTTN LP","5095346055","jamie.drowley@jci.com","ATTN:  LICENSING DEPT",,"BOCA RATON","FL","33431","01162900",,,,,"2020-01-22T00:00:00.000","1171978"
"1171976","966923","WENATCHEE, CITY OF","PO BOX 519 WENATCHEE, WA - 98807 0519","Elisa Schafer","509-888-3663","T W CLARK CONSTRUCTION LLC","5099270800","TWCLACL022DO","601858364","2021-05-05T00:00:00.000","2021-05-14T00:00:00.000","Wenatchee City Hall Redevelopment","1716","301 Yakima Street, Wenatchee, WA 98801","9367890.00","2021-08-24T00:00:00.000","Cle Elum","No","No","39000","False","No","Yes","1","Yes","false","MURILC*916DW","602901531","MURILLOS CONCRETE","5092931437","murillosconcrete@yahoo.om","709 PIERE ST",,"WENATCHEE","WA","98801","17345800","TWCLACL022DO","601858364","T W CLARK CONSTRUCTION LLC",,"2021-08-17T00:00:00.000","1153064"
