"vendor_num","vendor_num_suffix","vendor_name","addr1","addr2","addr3","city","state","zip_code","zip_plus_4","phone","vendor_status","vendor_type","billing_agency","billing_subagency","billing_fund","billing_fund_breakout","ccd_ctx_flag","email","remarks","last_process_date"
"SWV0186606","00","10000 DEGREES","1650 LOS GAMOS DR STE 110",,,"SAN RAFAEL","CA","94903",,"4154514013","A","X",,,,,"C","ASCHLEGEL@10000DEGREES.ORG",,"2015-02-25T00:00:00.000"
"SWV0042581","00","10,000 YEARS INSTITUTE","211 TAYLOR ST STE 35A"," "," ","PORT TOWNSEND","WA","98368",,"3603850715","A","X",,,,,"C","JSILVER@10000YEARSINSTITUTE.ORG",,"2015-08-12T00:00:00.000"
"SWV0099335","00","10000 YEARS INSTITUTE","PO BOX 1081"," "," ","FORKS","WA","98331","1081","3603850715","A","X",,,,,"C","JSILVER@10000YEARSINSTITUTE.ORG","0000000TYI00 495  AGY VEN NO","2018-12-13T00:00:00.000"
"SWV0277671","00","1000 100TH AVENUE LP","PO BOX 2422"," "," ","LYNNWOOD","WA","98036",,"8334431961","A","P",,,,,,"BILLING@AVENUE5.COM",,"2021-08-19T00:00:00.000"
"SWV0205959","00","1000 TOOLS INC","1327 JONES DR",,,"ANN ARBOR","MI","48105",,"2489533496","B","C",,,,,"C","ALAN@MUNIRENT.CO","WDOT","2018-05-17T00:00:00.000"
"SWV0283953","00","1000 W 5TH AVE LLC","DBA KENT MANOR","PO BOX 2422"," ","LYNNWOOD","WA","98036",,"8334431961","A","P",,,,,,"BILLING@AVENUE5.COM",,"2022-02-28T00:00:00.000"
"SWV0255677","00","1001 LINCOLN LLC","1001 LINCOLN ST",,,"HOQUIAM","WA","98550",,"3605331979","A","C",,,,,,"GINAMCONE@GMAIL.COM",,"2019-09-27T00:00:00.000"
"SWV0262335","00","1002 HILLCREST ST LLC","12804 132ND AVE NE"," "," ","KIRKLAND","WA","98034",,"4254433192","A","C",,,,,,"ROSS@MLJRE.COM",,"2020-04-02T00:00:00.000"
"SWV0290301","00","1002 MARGUERITE LLC","2715 64TH AVE NE STE A",,,"TACOMA","WA","98422",,"3604641031","A","P",,,,,"C","ACCOUNTING@FULCRUMRE.COM",,"2022-08-16T00:00:00.000"
"SWV0128626","00","1005 SPRING ST LLC","DBA BARONESS HOTEL","1005 SPRING ST"," ","SEATTLE","WA","98104","0000","2062237556","B","C",,,,,,,"TAX MASTER   235E AGY VEN NO","2013-03-05T00:00:00.000"
"SWV0128626","01","1005 SPRING ST LLC","DBA BARONESS HOTEL","1005 SPRING ST"," ","SEATTLE","WA","98104","1235","2062237556","A","C",,,,,,,"0259996      235E AGY VEN NO","2013-03-05T00:00:00.000"
"SWV0278829","00","1008 APARTMENTS LLC","PO BOX 77682"," "," ","SEATTLE","WA","98177",,"2064015039","A","C",,,,,,"JESSIE.BROWN@NEXGENHP.COM",,"2021-09-17T00:00:00.000"
"SWV0285868","00","100 ALOHA LP","DBA ALOHA HOUSE APARTMENTS","200 1ST AVE W STE 520"," ","SEATTLE","WA","98119",,"2062797593","A","P",,,,,,"SAEED@PACIFICCRESTRE.COM",,"2022-04-20T00:00:00.000"
"SWV0051773","00","100 BLACK MEN OF GREATER SEATTLE","1700 7TH AVE STE 116 #334",,,"SEATTLE","WA","98101",,"2538332305","B","X",,,,,"C","RENEEH@100BMGSEATTLE.COM",,"2014-07-25T00:00:00.000"
