"funding_program","proj","recip","website","administrative_organization","current_status","primary_contact","alternate_contact","grant_or_loan","program_description","eligible_projects_description","administrative_sub","percent_match","match_requirement_description","funding_limitation","funding_limitation_description","application_open_yr_1","application_closed_yr_1","application_open_yr_2","application_closed_yr_2","funding_award_duration","additional_application","supplemental_information","last_updated"
"Freshwater Algae Program (Ecology)","Combination (multiple project types)","Governmental Agencies (State)","https://ecology.wa.gov/Water-Shorelines/Water-quality/Freshwater/Freshwater-algae-control","Washington State Department of Ecology","Active","Lizbeth Seebacher; 360-407-6938; lizbeth.seebacher@ecy.wa.gov","Pat Brommer; 360-407-6566; patricia.brommer@ecy.wa.gov","Grant","The Freshwater Algae Program provides funding to manage or control of algae in water bodies that have had toxic algae blooms within the last three years.","n/a","Water Quality Program","0.25","n/a","$50,000","n/a","10/1/2018","12/15/2018","10/1/2019","11/15/2019","2 years","n/a","n/a","2018-08-19T00:00:00.000"
"Freshwater Algae Program (Ecology)","Combination (multiple project types)","Special Purpose Districts","https://ecology.wa.gov/Water-Shorelines/Water-quality/Freshwater/Freshwater-algae-control","Washington State Department of Ecology","Active","Lizbeth Seebacher; 360-407-6938; lizbeth.seebacher@ecy.wa.gov","Pat Brommer; 360-407-6566; patricia.brommer@ecy.wa.gov","Grant","The Freshwater Algae Program provides funding to manage or control of algae in water bodies that have had toxic algae blooms within the last three years.","n/a","Water Quality Program","0.25","n/a","$50,000","n/a","10/1/2018","12/15/2018","10/1/2019","11/15/2019","2 years","n/a","n/a","2018-08-19T00:00:00.000"
"Freshwater Algae Program (Ecology)","Education and Outreach","Counties, Cities, Towns","https://ecology.wa.gov/Water-Shorelines/Water-quality/Freshwater/Freshwater-algae-control","Washington State Department of Ecology","Active","Lizbeth Seebacher; 360-407-6938; lizbeth.seebacher@ecy.wa.gov","Pat Brommer; 360-407-6566; patricia.brommer@ecy.wa.gov","Grant","The Freshwater Algae Program provides funding to manage or control of algae in water bodies that have had toxic algae blooms within the last three years.","n/a","Water Quality Program","0.25","n/a","$50,000","n/a","10/1/2018","12/15/2018","10/1/2019","11/15/2019","2 years","n/a","n/a","2018-08-19T00:00:00.000"
"Freshwater Algae Program (Ecology)","Education and Outreach","Governmental Agencies (State)","https://ecology.wa.gov/Water-Shorelines/Water-quality/Freshwater/Freshwater-algae-control","Washington State Department of Ecology","Active","Lizbeth Seebacher; 360-407-6938; lizbeth.seebacher@ecy.wa.gov","Pat Brommer; 360-407-6566; patricia.brommer@ecy.wa.gov","Grant","The Freshwater Algae Program provides funding to manage or control of algae in water bodies that have had toxic algae blooms within the last three years.","n/a","Water Quality Program","0.25","n/a","$50,000","n/a","10/1/2018","12/15/2018","10/1/2019","11/15/2019","2 years","n/a","n/a","2018-08-19T00:00:00.000"
"Freshwater Algae Program (Ecology)","Education and Outreach","Special Purpose Districts","https://ecology.wa.gov/Water-Shorelines/Water-quality/Freshwater/Freshwater-algae-control","Washington State Department of Ecology","Active","Lizbeth Seebacher; 360-407-6938; lizbeth.seebacher@ecy.wa.gov","Pat Brommer; 360-407-6566; patricia.brommer@ecy.wa.gov","Grant","The Freshwater Algae Program provides funding to manage or control of algae in water bodies that have had toxic algae blooms within the last three years.","n/a","Water Quality Program","0.25","n/a","$50,000","n/a","10/1/2018","12/15/2018","10/1/2019","11/15/2019","2 years","n/a","n/a","2018-08-19T00:00:00.000"
"Freshwater Algae Program (Ecology)","Monitoring","Counties, Cities, Towns","https://ecology.wa.gov/Water-Shorelines/Water-quality/Freshwater/Freshwater-algae-control","Washington State Department of Ecology","Active","Lizbeth Seebacher; 360-407-6938; lizbeth.seebacher@ecy.wa.gov","Pat Brommer; 360-407-6566; patricia.brommer@ecy.wa.gov","Grant","The Freshwater Algae Program provides funding to manage or control of algae in water bodies that have had toxic algae blooms within the last three years.","n/a","Water Quality Program","0.25","n/a","$50,000","n/a","10/1/2018","12/15/2018","10/1/2019","11/15/2019","2 years","n/a","n/a","2018-08-19T00:00:00.000"
"Freshwater Algae Program (Ecology)","Monitoring","Governmental Agencies (State)","https://ecology.wa.gov/Water-Shorelines/Water-quality/Freshwater/Freshwater-algae-control","Washington State Department of Ecology","Active","Lizbeth Seebacher; 360-407-6938; lizbeth.seebacher@ecy.wa.gov","Pat Brommer; 360-407-6566; patricia.brommer@ecy.wa.gov","Grant","The Freshwater Algae Program provides funding to manage or control of algae in water bodies that have had toxic algae blooms within the last three years.","n/a","Water Quality Program","0.25","n/a","$50,000","n/a","10/1/2018","12/15/2018","10/1/2019","11/15/2019","2 years","n/a","n/a","2018-08-19T00:00:00.000"
"Freshwater Algae Program (Ecology)","Monitoring","Special Purpose Districts","https://ecology.wa.gov/Water-Shorelines/Water-quality/Freshwater/Freshwater-algae-control","Washington State Department of Ecology","Active","Lizbeth Seebacher; 360-407-6938; lizbeth.seebacher@ecy.wa.gov","Pat Brommer; 360-407-6566; patricia.brommer@ecy.wa.gov","Grant","The Freshwater Algae Program provides funding to manage or control of algae in water bodies that have had toxic algae blooms within the last three years.","n/a","Water Quality Program","0.25","n/a","$50,000","n/a","10/1/2018","12/15/2018","10/1/2019","11/15/2019","2 years","n/a","n/a","2018-08-19T00:00:00.000"
"Freshwater Algae Program (Ecology)","Other","Counties, Cities, Towns","https://ecology.wa.gov/Water-Shorelines/Water-quality/Freshwater/Freshwater-algae-control","Washington State Department of Ecology","Active","Lizbeth Seebacher; 360-407-6938; lizbeth.seebacher@ecy.wa.gov","Pat Brommer; 360-407-6566; patricia.brommer@ecy.wa.gov","Grant","The Freshwater Algae Program provides funding to manage or control of algae in water bodies that have had toxic algae blooms within the last three years.","n/a","Water Quality Program","0.25","n/a","$50,000","n/a","10/1/2018","12/15/2018","10/1/2019","11/15/2019","2 years","n/a","n/a","2018-08-19T00:00:00.000"
"Freshwater Algae Program (Ecology)","Other","Governmental Agencies (State)","https://ecology.wa.gov/Water-Shorelines/Water-quality/Freshwater/Freshwater-algae-control","Washington State Department of Ecology","Active","Lizbeth Seebacher; 360-407-6938; lizbeth.seebacher@ecy.wa.gov","Pat Brommer; 360-407-6566; patricia.brommer@ecy.wa.gov","Grant","The Freshwater Algae Program provides funding to manage or control of algae in water bodies that have had toxic algae blooms within the last three years.","n/a","Water Quality Program","0.25","n/a","$50,000","n/a","10/1/2018","12/15/2018","10/1/2019","11/15/2019","2 years","n/a","n/a","2018-08-19T00:00:00.000"
