"community_served_billing_entity","districts","treatment_facility_discharge_permit","median_household_income_est_2014","population_2015","population_range","county","permit","permit_type","base_rate_mo","cf_included_in_base","rate_per_100cf","rate_1000cf","low_income_rate_1000cf","outside_city_rate","rate_per_100cf_outside","low_fixed_income_senior_discount","discount_off","discount_rate","sw_fee","user_classes","year_rates_updated","_2017_base_rate_mo","_2017_outside","_2017_low_income_rate","_2018_base_rate_mo","_2018_low_income_rate","_2019_base_rate_mo","_2019_low_income_rate","_2006_rate_1000cf","website"
"Aberdeen City",,"Aberdeen STP","39735.00","16255","10,000- 25,000","Grays Harbor","Y","NPDES","36.78","Flat",,"36.78",,"No sewer",,"Yes",,,"$6.69","Many","2016",,,,,,,,,
"Airway Heights City",,"Airway Heights Water Reclamation Facility","37989.00","6545","5,001- 10,000","Spokane","Y","SWDP","67.50","Flat",,"67.50","50.63","No sewer",,"Yes","0.25","50.53","None",,"2009",,,,,,,,"41.56",
"Albion Town",,"Albion STP","40893.00","574","Up to 1000","Whitman","Y","NPDES","34.75","Flat",,"34.75",,"No sewer",,"No",,,"None","None","2016","36.00",,,"$37.00",,"$38.00",,"19.00","http://albionwa.com/index.php?page=contact_us"
"Alderwood Water & Wastewater District","District","Alderwood STP",,,,"Snohomish","Y","NPDES","54.00","1500","1.50","54.00","35.64","No sewer",,"Yes","0.34","35.64","None","Many","2013",,,,,,,,"32.21","http://www.alderwoodwater.com/YourAccount/RatesAndCharges/WastewaterRates.ashx?p=1216"
"Algona City",,"(King County METRO)","57098.00","3133","2,501- 5,000","King","N",,"53.77","Flat",,"53.77","45.70",,,"Yes","0.15","45.70","$9.50","Many","2016","57.50",,,,,,,"34.72","http://www.algonawa.gov/general/page/city-utilities"
"Almira Town",,,"42045.00","269","Up to 1000","Lincoln","Y",,"33.35","Flat",,"33.35",,"$33.35","Flat","No",,,"None","Few","Annually",,,,,,,,"17.54","http://www.almirawashington.com/wp-content/uploads/2014/08/Ord526-Utility-Rates-2016.pdf"
"Anacortes City",,"Anacortes WWTP","59369.00","16232","10,000- 25,000","Skagit","Y","NPDES","31.99","0","2.28","54.79","43.83","$82.19",,"Yes","0.2","25.59","$5.00","Many","Annually",,,,,,,,"46.03","http://www.cityofanacortes.org/new_utility_billing.php#UBRates"
"Arlington City",,"Arlington STP","61131.00","18808","10,000- 25,000","Snohomish","Y","NPDES","70.15","Flat",,"70.15",,,,"Yes",,,"$6.89",,"2013",,,,,,,,"40.99","http://www.arlingtonwa.gov/index.aspx?page=160"
"Asotin City",,"Asotin STP","53235.00","1290","1,001- 2,500","Asotin","Y","NPDES","61.30","Flat",,"61.30",,"$61.30","$61.30","No",,,"$4.00","Few","2016",,,,,,,,"33.00","http://cityofasotin.org/utilities/ ; http://www.asotincountystormwater.com/Stormwater-Utility-Program.html"
"Auburn City",,,"57635.00","76347","25000+","King/Pierce","N","NPDES","62.91","Flat",,"62.91",,"$39.47","Flat",,,,"$11.68","Many","2015",,,,,,,,"34.85","http://www.auburnwa.gov/Assets/Finance/AuburnWA/Docs/utility_rates_sheet.pdf"
